Entity,Sentiment_Word,Co_occurrence_Count,Inferred_Reason
主題曲,好聽,11,'主題曲' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
音樂,好聽,5,'音樂' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,好聽,4,'歌' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主題曲,讚,3,'主題曲' is a noun entity and '讚' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主角,年輕,2,'主角' is a noun entity and '年輕' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主題曲,期待,2,'主題曲' is a noun entity and '期待' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
代,希望,2,'代' is a noun entity and '希望' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
故事,希望,2,'故事' is a noun entity and '希望' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,需要,2,'歌' is a noun entity and '需要' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,好聽,2,'歌曲' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
背景,不同,2,'背景' is a noun entity and '不同' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
遊戲,好聽,2,'遊戲' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
遊戲,小,2,'遊戲' is a noun entity and '小' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
陣容,豪華,2,'陣容' is a noun entity and '豪華' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
IP...,新,1,'IP...' is a noun entity and '新' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主角,一樣,1,'主角' is a noun entity and '一樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主角,小,1,'主角' is a noun entity and '小' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主角,帥翻,1,'主角' is a noun entity and '帥翻' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主角,特別,1,'主角' is a noun entity and '特別' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主角,老,1,'主角' is a noun entity and '老' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主角,這樣,1,'主角' is a noun entity and '這樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主題曲,夭壽,1,'主題曲' is a noun entity and '夭壽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主題曲,好,1,'主題曲' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主題曲,忘記,1,'主題曲' is a noun entity and '忘記' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主題曲,知道,1,'主題曲' is a noun entity and '知道' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主題曲,神,1,'主題曲' is a noun entity and '神' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主題曲,等待,1,'主題曲' is a noun entity and '等待' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主題曲,肯定,1,'主題曲' is a noun entity and '肯定' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主體曲,好,1,'主體曲' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
久澤,希望,1,'久澤' is a noun entity and '希望' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
久澤,年輕,1,'久澤' is a noun entity and '年輕' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
事實,快,1,'事實' is a noun entity and '快' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
事實,緩慢,1,'事實' is a noun entity and '緩慢' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,一樣,1,'人' is a noun entity and '一樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,久,1,'人' is a noun entity and '久' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,失望,1,'人' is a noun entity and '失望' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,好,1,'人' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,新,1,'人' is a noun entity and '新' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,期待,1,'人' is a noun entity and '期待' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,活下來,1,'人' is a noun entity and '活下來' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,結束,1,'人' is a noun entity and '結束' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人心,好聽,1,'人心' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人龍,一樣,1,'人龍' is a noun entity and '一樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人龍,強,1,'人龍' is a noun entity and '強' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人龍,高興,1,'人龍' is a noun entity and '高興' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人龍0,神,1,'人龍0' is a noun entity and '神' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
代,期待,1,'代' is a noun entity and '期待' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
代,結束,1,'代' is a noun entity and '結束' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
代,超讚,1,'代' is a noun entity and '超讚' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
任務,小,1,'任務' is a noun entity and '小' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
作品,久,1,'作品' is a noun entity and '久' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
作品,那樣,1,'作品' is a noun entity and '那樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
傳,這樣,1,'傳' is a noun entity and '這樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
傳奇,感覺,1,'傳奇' is a noun entity and '感覺' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
元素,嚴肅,1,'元素' is a noun entity and '嚴肅' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
元素,硬核,1,'元素' is a noun entity and '硬核' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
元素,降低,1,'元素' is a noun entity and '降低' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
光,暗,1,'光' is a noun entity and '暗' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
光,淡,1,'光' is a noun entity and '淡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
內容,久,1,'內容' is a noun entity and '久' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
內容,期待,1,'內容' is a noun entity and '期待' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
刀,結束,1,'刀' is a noun entity and '結束' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
分支,小,1,'分支' is a noun entity and '小' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
刺客,長,1,'刺客' is a noun entity and '長' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
前,這樣,1,'前' is a noun entity and '這樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
劇情,希望,1,'劇情' is a noun entity and '希望' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
劇情,衰老,1,'劇情' is a noun entity and '衰老' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
劇本,好,1,'劇本' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
功夫,好,1,'功夫' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
動作,僵硬,1,'動作' is a noun entity and '僵硬' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
動作,感覺,1,'動作' is a noun entity and '感覺' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
動作,爽,1,'動作' is a noun entity and '爽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
占星,大,1,'占星' is a noun entity and '大' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
占星,热,1,'占星' is a noun entity and '热' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
卡司,疯狂,1,'卡司' is a noun entity and '疯狂' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
卡斯,恐怖,1,'卡斯' is a noun entity and '恐怖' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
原因,好聽,1,'原因' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
友人,活下,1,'友人' is a noun entity and '活下' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
反應,期待,1,'反應' is a noun entity and '期待' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
口合,正常,1,'口合' is a noun entity and '正常' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
口合,震驚到,1,'口合' is a noun entity and '震驚到' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
古牧,年輕,1,'古牧' is a noun entity and '年輕' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
名,期待,1,'名' is a noun entity and '期待' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
名字,死亡鎖,1,'名字' is a noun entity and '死亡鎖' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
呢,成功,1,'呢' is a noun entity and '成功' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
和號,大,1,'和號' is a noun entity and '大' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
問題,注意,1,'問題' is a noun entity and '注意' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
單曲,知道,1,'單曲' is a noun entity and '知道' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
回合制,好,1,'回合制' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
回合制,行,1,'回合制' is a noun entity and '行' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
國家,古老,1,'國家' is a noun entity and '古老' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
城田优,疯狂,1,'城田优' is a noun entity and '疯狂' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
場景,浪漫,1,'場景' is a noun entity and '浪漫' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
外傳,這樣,1,'外傳' is a noun entity and '這樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
大咖,太多,1,'大咖' is a noun entity and '太多' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
大塚,確定,1,'大塚' is a noun entity and '確定' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
大正,浪漫,1,'大正' is a noun entity and '浪漫' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
大麻,肯定,1,'大麻' is a noun entity and '肯定' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
天 ,雲集,1,'天 ' is a noun entity and '雲集' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
女角,好,1,'女角' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
宇宙,大,1,'宇宙' is a noun entity and '大' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
安傑洛,優真白,1,'安傑洛' is a noun entity and '優真白' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
完整版,等待,1,'完整版' is a noun entity and '等待' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
小姐,好奇,1,'小姐' is a noun entity and '好奇' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
嶋野,出現,1,'嶋野' is a noun entity and '出現' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
嶋野,年輕,1,'嶋野' is a noun entity and '年輕' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
差異,明顯,1,'差異' is a noun entity and '明顯' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
师,热,1,'师' is a noun entity and '热' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
帥哥,小,1,'帥哥' is a noun entity and '小' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
帥哥,年輕,1,'帥哥' is a noun entity and '年輕' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
帥哥,老,1,'帥哥' is a noun entity and '老' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
帽子,喜歡,1,'帽子' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
帽子,帥,1,'帽子' is a noun entity and '帥' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
帽子,直接,1,'帽子' is a noun entity and '直接' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
平台,上市,1,'平台' is a noun entity and '上市' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
平台,好聽,1,'平台' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
年貨感,濃,1,'年貨感' is a noun entity and '濃' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
引擎,新,1,'引擎' is a noun entity and '新' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
引響,知名,1,'引響' is a noun entity and '知名' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
循環,好聽,1,'循環' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
循環,瘋狂,1,'循環' is a noun entity and '瘋狂' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
惡靈9,聰明,1,'惡靈9' is a noun entity and '聰明' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
感覺,百花齊放,1,'感覺' is a noun entity and '百花齊放' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
感覺,超讚,1,'感覺' is a noun entity and '超讚' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
戰警,復活,1,'戰警' is a noun entity and '復活' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
政府,有效,1,'政府' is a noun entity and '有效' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
故事,不同,1,'故事' is a noun entity and '不同' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
故事,可惜,1,'故事' is a noun entity and '可惜' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
故事,感覺,1,'故事' is a noun entity and '感覺' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
故事,結束,1,'故事' is a noun entity and '結束' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
故事,覺得,1,'故事' is a noun entity and '覺得' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
故事,長,1,'故事' is a noun entity and '長' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
教條,這樣,1,'教條' is a noun entity and '這樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
教條,長,1,'教條' is a noun entity and '長' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
整體感,一樣,1,'整體感' is a noun entity and '一樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
新作,希望,1,'新作' is a noun entity and '希望' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
新作,強化,1,'新作' is a noun entity and '強化' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
方式,不同,1,'方式' is a noun entity and '不同' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
方面,強,1,'方面' is a noun entity and '強' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
日本,好,1,'日本' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
日本,這樣,1,'日本' is a noun entity and '這樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
日本,長,1,'日本' is a noun entity and '長' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
明星,所謂,1,'明星' is a noun entity and '所謂' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
明星,爛,1,'明星' is a noun entity and '爛' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
時代,不同,1,'時代' is a noun entity and '不同' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
時代,好聽,1,'時代' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
時代,浪漫,1,'時代' is a noun entity and '浪漫' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
時代,衰老,1,'時代' is a noun entity and '衰老' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
時代,覺得,1,'時代' is a noun entity and '覺得' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
時候,可惜,1,'時候' is a noun entity and '可惜' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
時候,流行,1,'時候' is a noun entity and '流行' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
時間,有限,1,'時間' is a noun entity and '有限' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
暴力,寫實,1,'暴力' is a noun entity and '寫實' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
