Comment_Author,Comment_Text,Comment_Date,Like_Count
@miku38801,有人跟我一樣? 是為了主題曲不斷回來刷觀看次數的,2026-05-09T07:44:31Z,202
@Firemanruby,鬍子男 x Ado x Snoop Dog ...靠杯喔這什麼神仙組合,2026-05-07T09:09:51Z,347
@luciusli7212,Snoop Dogg 一定是草藥商人🤣,2026-05-07T06:20:16Z,475
@dominationkidw,主題曲好聽到炸裂...,2026-05-07T01:12:03Z,686
@JCHinHK,"好期待...
聽著主題曲再看著故事背景 不同年代的推移 莫名很感動
竟然還有ado！",2026-05-07T02:43:21Z,204
@LaiJ-l4q,我好喜歡最後戴帽子最後那幾60幀👏👏,2026-05-08T15:46:16Z,48
@deananliu5589,背景歌配上主角一秒50年的變化簡直帥翻，而且主角年輕時是小帥哥，老了有滄桑感反而有股不服輸的銳氣。最近的遊戲很懂得捏熟男角色～惡靈9的里昂和這部男主，👍,2026-05-11T23:14:12Z,13
@lineage2223,"我的天 眾星雲集啊..
有狗哥 
藤岡靛
還有Ado跟大塚明夫

這必須加入願望清單了",2026-05-07T06:10:28Z,74
@richard124414,"原本遊戲還在觀望
聽到主題曲就打算第一時間預購了",2026-05-07T09:57:31Z,36
@WulyJ,"我真的覺得這預告片根本已經像是一個有愛的人製作的MAD，看到會想哭...
外加這首真的太西八好聽...第一次瘋狂循環預告片....",2026-05-09T13:34:52Z,15
@tahiro6708,主題曲殺瘋了.... 很少有大咖集合還可以毫不違和的...這首完全沒有違和感,2026-05-11T03:48:11Z,12
@蕃薯小份薯,一張音樂專輯順便送動作遊戲,2026-05-07T22:28:51Z,64
@cltom6326,所以主角就是東城會的初代會長！,2026-05-07T00:53:55Z,75
@柴犬賽高,救命啊 主題曲夭壽好聽,2026-05-07T03:34:28Z,47
@YGtech,期待 BGM也太神...,2026-05-07T02:24:27Z,154
@robin6416,最後一幕，一秒40年的光陰，雞皮疙瘩。,2026-05-09T10:50:00Z,9
@曾是皮,太酷了吧！ 音樂超好聽,2026-05-07T02:19:07Z,40
@GG俠,為甚離不開這預告😭我現在就需要整首歌😭然後瘋狂循環😭😭,2026-05-07T20:30:24Z,11
@佐藤めぐみ-f7x,音樂聽著聽到雞皮疙瘩，這遊戲根本是必買的！,2026-05-07T06:07:11Z,25
@胖次布拉賈,初代看見現在的東城會應該會從墳墓爬出來,2026-05-07T03:43:41Z,233
@KONNAN87,我生對年代啦！！！,2026-05-07T08:50:44Z,21
@王靖元-h3r,看完這預告，我真的有夠期待的!! 人龍一切的原點!! (PS: 主題曲真的太好聽了~),2026-05-09T01:17:32Z,6
@dantelamtravel,不是人中之龍的粉絲感覺都會喜歡上這個遊戲,2026-05-07T04:56:04Z,93
@bigsmoketaipei3348,這首OP終於讓我擺脫なぜ 謎 answer的洗腦了，感恩sega，感恩狗爺，已預購.,2026-05-08T12:55:59Z,8
@dashK-521,帥到不行 歌好好聽,2026-05-07T04:11:59Z,21
@artwex,這主題曲神了,2026-05-07T03:57:48Z,12
@ad8do,"當歌曲好聽到撼動人心
步伐也跟著節拍踏地",2026-05-09T05:50:38Z,5
@simplelove427,本來還看得很認真，看到snoop 直接笑出來,2026-05-07T08:24:29Z,11
@Mskickdesk,哇人龍工作室一直超越自己，目前看起來最有野心的一作。然後音樂太好聽了,2026-05-07T20:45:27Z,8
@pisfans,最後的戴帽子也太帥了,2026-05-08T09:27:38Z,12
@mantai234,真的被之前胡猜的網友說中了真的是東城會前傳啊🤣,2026-05-07T08:13:22Z,13
@Bayllen,主題曲超好聽！希望能放上Spotify,2026-05-07T15:11:20Z,8
@oppxshiku,這預告真的太強了,2026-05-07T05:15:31Z,13
@利姆路-i9y,繼丹尼·崔喬之後我們又迎來了史努比狗狗了😂😂😂,2026-05-07T02:37:42Z,114
@a0922720431,歌真的太頂了，頂到沒玩過人龍的我都想入坑了,2026-05-08T18:35:08Z,4
@sisqosnew,演員區沒有翻譯，Dean Fujioka(藤岡靛)曾長期在台灣發展的演員喔。身為影迷，看到藤岡靛演出，太開心了,2026-05-08T09:55:48Z,26
@lcw425,這音樂太神了,2026-05-07T04:47:03Z,13
@VictorLai6699,主題曲好好聽,2026-05-07T03:46:06Z,12
@pinyuanlin9091,這預告太帥了吧!,2026-05-07T04:36:26Z,12
@kingliu3231,"很好👍🏻這些才是我們大人想要
訂一定訂
預購
必買必玩",2026-05-07T05:54:44Z,17
@Leo-星詠み,主題曲真的頂天了 雞皮疙瘩都起來了,2026-05-12T06:23:37Z,2
@ej942l4,光是音樂就很讚了 ~ 今年度必玩,2026-05-07T04:33:09Z,10
@勝光-y7v,老天爺！主體曲整個神炸好聽到爆！！！配上預告超有感～！!,2026-05-07T05:05:00Z,22
@archoyp,"主題曲很好聽 ,東城會初代目50年故事 ,感覺像一部歷史傳奇人物的傳記",2026-05-12T15:48:59Z,1
@實話實說中肯哥,大正浪漫的場景必玩,2026-05-07T04:26:21Z,12
@akio7148,I need that song right now!🔥,2026-05-07T11:07:40Z,11
@katsunosamurai,看到菅原文太我就嗨了,2026-05-07T07:25:07Z,13
@Noah19381,主題曲真的超好聽 為了主題曲買遊戲,2026-05-08T12:59:05Z,4
@Max-5239,Ado民要承受不住了,2026-05-07T04:11:10Z,15
@Nayuki-jt,"ADO?!
史奴比!?
大咖太多了吧！",2026-05-07T04:50:41Z,33
@sieghart264,"看完這預告片, 感覺可以期待一下了",2026-05-07T03:27:37Z,5
@厭世肥宅,"為了聽音樂瘋狂重播
這必須支持啊",2026-05-09T05:41:13Z,2
@tailbite4815,遊戲界那個百花齊放的氛圍有感覺回來 然後音樂真的好聽 時代的浪漫風格全Buff都上好了 看看也很享受,2026-05-07T12:23:25Z,3
@金金-r4g,搭船到日本開展新生活那一段有天使心的味道😊,2026-05-07T04:17:23Z,5
@wsx74111,期待😊😊😊，主題曲真好聽,2026-05-07T04:52:29Z,4
@BaiDing0626,Great Soundtrack 真好听啊,2026-05-07T00:12:14Z,14
@power2058,2:40    為什麼狗哥這一段的遊戲對話可以跟他自己的RAP節拍對著這麼好😂😂,2026-05-07T11:23:44Z,63
@MrStanleyte,看起來也太讚了,2026-05-07T03:02:28Z,6
@iannai1588,BGM一出來馬上雞皮疙瘩，只要不是回合制一定衝首發,2026-05-07T04:44:34Z,13
@0xFF06B5,比神仙打架更可怕的大概就是神仙唱歌了吧 嗚給你錢快出OST！！,2026-05-10T07:50:17Z,3
@boringmusic1394,这首歌和剧情简直是绝配，氛围感拉满了！,2026-05-07T11:59:37Z,3
@ARMSKLEE,居然有史努比狗。太神啦！,2026-05-07T04:25:15Z,16
@D.Wapher,希望劇情和呈現能不讓人失望,2026-05-07T09:43:40Z,6
@kiwikiww,起雞皮疙瘩是正常的嗎！？,2026-05-07T00:37:37Z,160
@ddavidccat,"人中之龍起源
這應該東城會前傳的故事了",2026-05-07T13:42:58Z,5
@laik1028,人龍工作室還是那麼強啊，看得起雞皮疙瘩 這音樂加畫面真的好棒，希望有那麼好的畫面和演員陣容和角色設定 不要寫出人龍6那種東西出來,2026-05-07T06:22:58Z,7
@YAN760726,老闆對不起，我今年冬天想用光所有年假。,2026-05-07T07:09:35Z,3
@DavidShen0428,歌超好聽！,2026-05-07T09:57:56Z,3
@鄭小猴-e9y,主題曲也太讚了吧,2026-05-10T15:14:38Z,2
@sugebeykk,"虛構的人物的臉跟真人建模的臉, 真實度的差異非常明顯.",2026-05-07T04:34:57Z,5
@ponpon_oh,主題曲太讚了吧，好期待,2026-05-07T04:25:14Z,2
@namicute03,"太好聽了吧….還是神仙組合…..
不是人龍玩家但這次很有興趣…..",2026-05-09T15:12:24Z,2
@豔藍魔尊,帥😍,2026-05-07T01:44:40Z,4
@XO-ZAI,演員陣容真的豪華！,2026-05-07T09:34:57Z,2
@大自在天-v9f,這音樂歌曲一秒入魂❤,2026-05-09T08:39:11Z,1
@leehmmh153,好期待👍,2026-05-07T02:29:31Z,3
@TimWu5,這個陣容太豪華了啦！,2026-05-07T14:55:08Z,2
@SoaringFeathers,This is what exactly I wanted ❤👍🏻🙏🏻,2026-05-08T18:59:32Z,0
@莫斯吃不飽,音樂太好聽了吧,2026-05-08T15:55:33Z,2
@GILOSON,超級期待啊,2026-05-07T02:41:37Z,2
@aa348134,真的好難得聽歌聽到雞皮疙瘩 最後一幕帽子一戴直接全身雞皮疙瘩,2026-05-11T04:32:08Z,1
@shihjenchen,主題曲真是超好聽的...讚，預購啦,2026-05-07T10:39:01Z,1
@jayjayhohoho,"很有當年侍道4的感覺！！！
可否當作精神續作🤣",2026-05-07T05:33:47Z,3
@hotdog54585652,4:08 Snoop dogg 我也會打快拳 又有BGM 看在狗爺的面子上 該買了吧,2026-05-07T04:37:30Z,26
@WeiHongDa,期待S惹 🔥❤,2026-05-07T02:16:12Z,5
@a70311520,好燃阿!!!!超級期待的，沒有名越你們還是辦的到嘛!!!支持!,2026-05-07T13:41:21Z,0
@大翔-n4m,日廠今年要大爆發了嗎？🎉,2026-05-07T03:33:27Z,6
@realhoghost,這預告已可以讓我看到感動流淚，還未推出已經覺得是神作,2026-05-10T16:36:35Z,0
@imiz5792,主題曲太讚了，有這個主題曲整個預告充滿電影感，我不是人龍的玩家，可是這部就真的很有興趣了,2026-05-07T12:53:04Z,14
@shengyuanhsuphotography7255,好讚❤,2026-05-08T00:09:13Z,1
@mintcyc125,敲碗主題曲阿 拜託先上音樂平台 等不及到遊戲上市了,2026-05-08T15:41:29Z,5
@謝蟲蟲-n7k,好期待啊，做好點必買,2026-05-07T09:26:21Z,0
@yen-ti296,太期待啦,2026-05-08T14:04:01Z,1
@張小惠-o7i,期待,2026-05-07T02:42:09Z,2
@LSHenry,太好聽啦！！！,2026-05-07T13:00:46Z,1
@Tofu774,超期待啊啊,2026-05-07T08:04:54Z,1
@WinyoYoWin,首歌真係好撚正呀😍,2026-05-07T02:49:54Z,2
@rogre5454,"好酷喔 遊戲特別 音樂又好聽 
很高興人龍工作室找到自己的方向",2026-05-09T12:40:31Z,1
@stussypig,神仙組合，歌曲真的超好聽，不知道會不會出單曲,2026-05-11T16:45:08Z,0
@HGSuan,一定買！趕快上啊,2026-05-07T14:14:34Z,0
@jameslie001,感覺很讚,2026-05-07T17:14:34Z,1
@智ちゃんねるTheプレイヤー,還以為是新IP...原來是人中之龍：起源...看起來是從主角年輕玩到老,2026-05-08T19:36:35Z,5
@uY-cr2be,超讚,2026-05-07T11:44:06Z,1
@wanglitongwang2422,主題曲也太好聽,2026-05-07T05:34:21Z,1
@Tea-sf7cv,原本覺得還好，但看到這個預告跟陣容，以及不是還好了，而且這個預告配著歌意外的感動啊...,2026-05-07T04:37:44Z,6
@nanoha23ify,超好聽,2026-05-08T04:29:08Z,1
@呆頭-b4w,曾經在玩人中之龍時就有想過初代到底是怎麼開拓出東城會的，想不到現在真的要玩到了，超期待，主題曲也太好聽了,2026-05-07T08:29:11Z,2
@伊森-Eason,TAKE!!! MY!!!! MONEYYYYYYYYYYY!!!!!!!!!!!!!!,2026-05-07T05:07:40Z,7
@KOFWhip,為了我的藤原聰，我玩定了！❤,2026-05-07T05:38:45Z,2
@latee8967,居然有Ado!好帥啊！,2026-05-07T01:15:06Z,9
@edric6978,如龍+Ado粉絲 報到！,2026-05-07T14:37:27Z,2
@lines2002a,我以為是以前世嘉的麥可星際戰警要復活了,2026-05-07T05:37:06Z,4
@專打SJW,讚啦,2026-05-08T02:11:10Z,1
@mskcism,這是 Yakuza: Vice city 的感覺嗎,2026-05-07T02:33:09Z,14
@taiwanchris670,二代目代行！！！,2026-05-07T09:28:09Z,4
@linchuankawa,好有taste！,2026-05-07T05:28:01Z,1
@披薩披,我的年度最佳 預訂了,2026-05-07T03:58:03Z,2
@許堯辰,超期待!!熱血沸騰了~~~,2026-05-07T09:09:50Z,0
@洪聲華-d8y,這主題曲 非常有水準,2026-05-11T01:58:58Z,0
@eogyeung,竟然有Tori Kelly!!! 大家不要忘記主題曲好聽其中一個原因是因為有她啊😆,2026-05-07T20:22:47Z,5
@MagiKarp_hill_Carson,快上主題曲吧 我可以聽到遊戲出來 求求了,2026-05-08T12:52:14Z,1
@thegood987,哇操2:12是菅原文太嗎？Sega太狠了吧 超爽,2026-05-07T15:47:18Z,3
@阿狼-w8r,樂園的異鄉人啊,2026-05-07T04:30:07Z,4
@盧東東,幹 好期待啊 這個預告搭BGM太有fu了,2026-05-07T12:26:17Z,0
@勇者義彥-q2e,主題曲也太好聽了吧！搭配剪輯畫面覺得好讚,2026-05-07T10:32:49Z,9
@sentimentalcheung,太屌了,2026-05-08T06:32:34Z,1
@LAIKA087,這是“漢”的物語......,2026-05-07T04:57:36Z,2
@iamiko0823,哇靠 這主題曲真有帶入感…本來也沒什麼興趣，但這戰鬥系統很有與時俱進的進化。而且據情看起來很讓人期待內容…好久沒有一部遊戲作品再次讓我有看電影的感覺了~,2026-05-09T02:51:40Z,1
@llleguanGaming,快点出🎉,2026-05-07T06:28:05Z,0
