Comment_Author,Comment_Text,Comment_Date,Like_Count
@3fakeyuan,"自1998年起, 我們就試著讓麥特·戴蒙回家 🥲",2026-05-05T07:29:13Z,936
@WadeWeiLee,"諾蘭的電影❌
奧斯卡提名者大集合⭕️",2026-05-05T08:46:45Z,137
@a2017775,所以諾蘭真的找到傳說中的獨眼巨人了！！！,2026-05-05T05:18:47Z,528
@千羽無貌,"獨眼巨人「你確定我可以出現在螢幕前嗎？」
諾蘭「放心啦。他們只會以為我這次破例沒實拍而已。」",2026-05-05T10:47:55Z,138
@s966385527441,麥特戴蒙回家記+1,2026-05-05T06:14:53Z,171
@myshowlo1,笑死麥特戴蒙又要回家了,2026-05-05T07:43:44Z,377
@28369169,期待諾蘭和獨眼巨人的幕後花絮和訪談,2026-05-05T06:14:23Z,261
@AKA72713,"這是一個從別人救他回家變成自救回家的
偉大個人抒情史詩",2026-05-05T08:00:45Z,84
@eliskalcium,"朋友: 你最喜歡什麼類型的電影?
我: 麥特戴蒙回家",2026-05-05T13:33:23Z,33
@林承顥,今年是一直看到Robert Pattinson的一年,2026-05-05T07:50:49Z,99
@lawsonc.3562,"依照諾蘭導演的習慣
他會真的會為了電影飼養一批獨眼巨人",2026-05-05T12:25:26Z,14
@user-se8an5,挖靠這陣容太OMG了吧,2026-05-05T06:51:53Z,48
@阿濱-地方叔叔CYCLING,"麥特·戴蒙飾演奧德修斯[2]
湯姆·霍蘭德飾演忒勒瑪科斯[2]
安·海瑟薇飾演佩涅洛佩[3]
千黛亞飾演雅典娜[3]
羅伯·派汀森飾演安提諾俄斯[4]
莎莉·賽隆飾演喀耳刻[5]
強·柏恩瑟飾演墨涅拉俄斯[6]
約翰·李古查摩飾演歐墨魯斯[7]
希姆許·帕托飾演歐律羅科斯[8]
李威尹飾演奧德修斯的船員[9]
米亞·高斯飾演梅蘭妥[10]

這到底甚麼神仙陣容...................",2026-05-05T07:07:49Z,131
@yellowblue3567,麥特戴蒙回家系列再創高峰,2026-05-05T12:12:42Z,10
@shih-tangfu7174,也是種極限返航,2026-05-05T10:20:39Z,16
@tyler_chang,超級期待!!!!,2026-05-05T06:27:24Z,0
@totoyellow,好久沒這種大片了，期待,2026-05-05T10:02:29Z,0
@WisePenny-z7v,終於可以看到真實的獨眼巨人了，好期待❤,2026-05-08T19:40:29Z,2
@Kevin-Liuen,感覺真精彩XD,2026-05-05T10:20:18Z,0
@TheBen57824630,等好久啦啊啊啊啊！！,2026-05-05T05:39:10Z,0
@黃鉅程-e4v,全新預告終於來了！,2026-05-05T05:12:28Z,0
@RuMaow,又一部想辦法讓麥特戴蒙回家的電影,2026-05-05T08:31:04Z,3
@zato918,Matt Damon: 我就是要一起回家 ,2026-05-05T06:02:40Z,12
@冰晶神幻,好期待賽德克哦❤🎉,2026-05-05T14:34:29Z,0
@ಠ_ಠ_cherry,天啊!這陣容一定要去看😭,2026-05-05T10:52:13Z,0
@timothychen123,還蠻喜歡麥特戴蒙如何回家相關的電影~期待這部~~~~~,2026-05-05T07:20:25Z,6
@張先生-q4q,讓麥特·戴蒙拍鐵牛運功散的廣告..........,2026-05-05T09:36:11Z,8
@ethanw.8210,我要更多莎莉賽隆,2026-05-05T07:20:28Z,40
@cheric23710,這次麥特戴蒙要回家得靠自己努力囉～,2026-05-05T09:48:55Z,3
@Artie54088,麥特戴蒙從長城返家了！！,2026-05-05T07:24:15Z,4
@YetEthanOnly,還得是諾蘭才能把經典拍出味道來,2026-05-05T07:24:17Z,3
@pattern-xyhui77,所以這次又要花多少錢救麥特戴蒙回家,2026-05-05T07:33:38Z,62
@一級嘴砲技術士7,麥特．戴蒙終於要自己走回家了,2026-05-05T08:44:27Z,5
@史塔克特種影視,諾蘭出品 必屬精品,2026-05-05T11:08:18Z,0
@星辰-b1p,這是一個在希臘神話玩純愛的狠人回家的故事,2026-05-05T10:43:50Z,3
@MUYPHY123,"真不愧是諾導
一個沒有人笑話
都可以拍的這麼史詩",2026-05-05T10:30:50Z,1
@tangoal777,諾蘭令我回想以前708090年代還有大導演當打的年代。,2026-05-06T12:36:08Z,1
@簡宏儒-g2s,感覺會GG耶,2026-05-05T10:21:35Z,0
@wellkuo,太讚了，很多希臘神話怪物都出現了，諾蘭的片子大概片長超過四小時😂,2026-05-05T12:32:26Z,0
@jay88264076,想看戴蒙老哥回家 期盼已久的片子,2026-05-05T11:59:09Z,0
@zwc3737,哇❤,2026-05-05T05:09:52Z,0
@thundermitch,我要看！,2026-05-05T16:38:29Z,0
@bing337,瑪琍歐奧德賽,2026-05-05T06:58:44Z,2
@Bayllen,等不及看到獨眼巨人出現在演員訪談的片段了！,2026-05-05T16:29:09Z,1
@周禮-n9i,期待半年了😭,2026-05-06T14:25:35Z,0
@saolor,馬拉嘎~~~,2026-05-05T07:43:01Z,3
@賣身葬小強,這陣容太豪華了吧,2026-05-05T08:42:28Z,0
@kai_ning2509,永遠都在回家的那個人,2026-05-05T18:00:11Z,0
@MrSpringcha,奧德賽：麥特戴蒙回家記,2026-05-05T14:06:39Z,1
@書狂備用帳號,終於！我愛希臘神話❤❤❤🥹🥹🥹除了獨眼巨人跟求婚者外我還看到奧德修斯在冥界見到母親跟預言家，在 1:54 還有忠犬argos！😭,2026-05-05T12:15:08Z,0
@何其洋,今年安海瑟薇的第三部電影❤,2026-05-05T13:36:07Z,0
@徐徐-k2g,好抽象看不懂演啥但會會去看🤣,2026-05-05T16:23:37Z,0
@Anthbz,必须在IMAX多刷,2026-05-05T05:39:18Z,5
@jeans520,"電影中你看到的都是真的,非特效
當然~麥特·戴蒙想回家也是真的",2026-05-05T10:52:05Z,0
@jolee9902,眾星雲集😮👍,2026-05-05T13:09:22Z,0
@love451,主角是麥特戴蒙喔.. 好吧 gogogo!!,2026-05-05T05:34:21Z,8
@鄭又銘-m6p,依照諾蘭追求真實的尿性 他一定是用基因技術將獨眼巨人造出來,2026-05-06T00:53:49Z,1
@worldchampion93,近十年只有他的作品才会让我走进电影院！,2026-05-08T00:59:32Z,0
@峻豪劉,會看，😊 監製.副導演在做什麼？,2026-05-05T08:38:10Z,0
@shihchienlin4476,那隻木馬越做越誇張,2026-05-05T12:39:08Z,0
@黃小斌-t5s,Let’s bring Ryan back to home,2026-05-05T10:32:27Z,0
@wangallen,推,2026-05-06T11:30:04Z,0
@pekorasuki,神話世紀online 😊,2026-05-05T07:02:39Z,1
@roracutest,不同時空的麥特戴蒙的任務都是回家,2026-05-05T14:03:47Z,0
@黃光緣,"進擊的巨人❤麻煩 諾蘭拍了
地鳴🎉",2026-05-05T13:20:05Z,1
@anderson5451,諾蘭迷們，準備好迎接真實的獨眼巨人首次現世了嗎！,2026-05-05T15:17:58Z,1
@莊紘,這才是史詩鉅作,2026-05-05T07:46:50Z,4
@eliskalcium,蜘蛛人:等我爸返家日,2026-05-05T13:27:27Z,3
@potterhuang2570,NO.1,2026-05-05T05:09:58Z,0
@IchikawaVT,"明年的最佳選角獎就在這部片裡！！！！
能找真的獨眼巨人來演本身就是個傳奇！！！！",2026-05-05T16:04:13Z,0
@ivenhsieh,這個卡司，即使不放任何預告片，我還是進戲院看,2026-05-05T13:20:33Z,0
@8964_taiwan_yu,麥特戴蒙又要想辦法回家了,2026-05-05T08:52:32Z,0
@markyaya123,克里斯多夫諾蘭都希望特效都是用真的，所以你看到的都是真的。,2026-05-05T07:29:46Z,23
@h906230,他只是盡量少用特效沒說不用結果大家每次都要講一次😅,2026-05-07T02:25:01Z,1
@haochung3554,我就知道諾蘭找得到獨眼巨人!!!!,2026-05-05T13:01:21Z,1
@jnvic9832,1:08 羅伯搶人家的女朋友還這麼兇噢😂,2026-05-05T10:58:28Z,13
@RKL8213,Matt Damon演技越來越好，很期待,2026-05-05T10:15:30Z,0
@張欽宇,回家片😂,2026-05-06T09:36:30Z,0
@bird8130976,馬拉卡！！！,2026-05-05T08:29:14Z,1
@陳博翔-m5x,感覺戰鬥畫面太乾淨了...沒有那種戰場上廝殺的感覺，少了塵土飛揚，連演員的臉都那麼的乾淨無暇，對比特洛依木馬屠城還是神鬼戰士,2026-05-05T19:41:59Z,0
@DCR2369,很喜歡以前68台很常播的那部1997版的 戰神傳說 - 奧德賽 ，雖然規格不像大製作那般史詩，但不論是獨眼巨人還是海怪，視覺效果出乎意料的驚人，看起來沒有什麼CG動畫的痕跡,2026-05-05T07:08:34Z,14
@ZonJuChang,麥特戴蒙又要想辦法回家了...,2026-05-06T07:09:32Z,0
@avoid8244,有Travis Scott 莫名的好笑,2026-05-05T08:20:22Z,0
@yuliji1010,0:22 那个人，我还以为……,2026-05-08T14:35:11Z,2
@brutalcat0606,會有海妖斯庫拉與鼓手羅西和吉他手潔提一起演唱Coral Crown嗎？ 🧜🐙🎵🎶🎵🎸🥁,2026-05-06T09:58:03Z,0
@魔比斯-y8y,"聖鬥士奧德修斯
黑暗騎士
對決
Spider-Man",2026-05-05T13:01:42Z,1
@就来听个歌,看起来比雷神的拿破仑故事结构好多了😂❤,2026-05-05T08:25:43Z,0
@omega1881tw,諾蘭為了拍電影在地殼打個洞製造漩渦，我擔心他之後要面臨環保團體的拷打。,2026-05-06T12:01:28Z,0
@頹廢人生-h1y,我就知道神話中都是真實存在的,2026-05-05T08:01:04Z,12
@mnb250013,獨眼巨人會參加首映會嗎,2026-05-05T10:21:22Z,0
@LukaLu456,光看預告   太多大明星了  有點出戲   期待大戰爭場面,2026-05-06T12:45:05Z,0
@公孫糗,又要幫麥特戴蒙回家,2026-05-05T15:47:15Z,0
@咪咪貓貓-w9x,馬啦嘎,2026-05-07T03:27:49Z,0
@l.m.f1315,我雖然對希臘神話 不熟 ~~但 光看預告中的那演技  ..................... 神 !,2026-05-05T07:04:17Z,0
@f124f123,奧德賽◎巴萊,2026-05-05T09:03:54Z,0
@mango-xn9no,哇靠這卡司⋯,2026-05-06T16:31:04Z,0
@grandsonlin5439,預告我為什麼覺得賀蘭弟顯得很像AI😂,2026-05-07T16:36:39Z,1
@archiehung6361,I worry that Nolan is slipping.,2026-05-05T13:35:32Z,0
@brainhuang,黎明升起的預告即視感,2026-05-05T10:07:45Z,0
@T_T-A_A-Q_Q,"他去過諾曼第...火星......更是踏上過未知的旅程只為了全人類的一線生機...
現在.....
他要回家了😂",2026-05-05T11:51:44Z,0
@JevinLiu,諾蘭不知道花了幾年才找到獨眼巨人。,2026-05-05T08:43:45Z,0
@rafaelleenr,在 火星 都能回來了， 這個應該沒有問題的吧？,2026-05-05T11:48:34Z,0
@e57575959,第一次看到真的獨眼巨人，好緊張，那些問獨眼巨人是真是假的都太不相信導演了，應該要問獨眼巨人在片場需要吃幾份便當?才合理,2026-05-05T06:41:38Z,32
@Gulin83,"荷蘭弟很難跳出蜘蛛人這個框架,看到他的臉就好像蜘蛛人搞穿越,好像下一秒就要吐絲了",2026-05-06T17:29:52Z,0
@eileenhung3288,看預告不說不會想到是諾蘭拍的,2026-05-09T14:22:15Z,0
@Lion-hg4rs,I am the rainning king of Ithca ～～～,2026-05-05T14:42:09Z,0
@閃光拉丁,蜘蛛人、蝙蝠俠、貓女、女超、洛基,2026-05-05T07:51:29Z,50
@孫一方,半輩子都在想辦法回家的男人,2026-05-06T11:43:17Z,0
@徽章戰士kabuto,所以諾蘭真的找到獨眼巨人了？會有訪談嗎😂,2026-05-07T05:14:23Z,0
@YT-jq9ub,"雖然諾蘭的電影我會去電影院買單 但是看預告覺得有點無聊
感覺諾蘭還是比較適合拍科幻片",2026-05-05T10:50:01Z,1
@mjmods,Sorry Matt Damon we are running out of time!😂,2026-05-06T10:26:25Z,0
@BrightChu,"Home, 是诺兰永恒的主题",2026-05-05T13:18:06Z,0
@tangroro,黑人：“嚇到了吧？其實所有世界歷史我們都有参一腳”,2026-05-05T13:43:50Z,0
@KHL-w5y,台灣的預告片丟個4K會怎樣是不是，老是只有1080p,2026-05-05T16:10:55Z,0
@hardaway6901,"麥可戴蒙回家
希臘版",2026-05-05T10:10:38Z,0
@jeremy77511,又是物理攻擊,2026-05-05T14:40:04Z,0
@王大大-v9i,蘿蔔怎麼那麼像神鬼戰士的瓦昆😂,2026-05-09T09:26:36Z,0
@kasaunsento4367,"歐美的荷馬史詩相當於華人的西遊記
永遠都會有人翻拍電影",2026-05-05T08:46:41Z,30
@dxiixb,這支預告讓人失去期待,2026-05-05T07:28:54Z,2
@viakuo.0u0,所以說 麥特.戴蒙 什麼時候可以回家？😂😂😂😂😂😂,2026-05-07T19:20:01Z,0
@THanC97,電影院快來拿走我的錢吧！通通都給你！,2026-05-05T07:16:39Z,27
@Lokie6869,中世紀英雄聯盟😂,2026-05-05T09:09:32Z,2
@alian5195,怎麼沒看到艾連 ( 誤 ),2026-05-05T15:01:36Z,0
@大雄-v2u,這部片抓了幾個獨眼巨人來拍,2026-05-09T07:02:01Z,0
@MadSean0001,湯姆講爸爸用dad 那個時代有dad這個單字了嗎,2026-05-05T10:04:31Z,3
@gundamw3490,"虫知虫朱人 大戰 蝙蝠俠
對決
奧德修斯 大白鵝鋼彈",2026-05-05T12:58:18Z,2
@陳林梅-x1l,It's time to jump up in the air😂,2026-05-05T09:30:11Z,0
@melaopin,也太多大咖了吧,2026-05-05T10:18:19Z,0
@阿濱-地方叔叔CYCLING,蜘蛛人爸爸麥特戴蒙之後打了二戰~上了火星跟探索未知星球,2026-05-05T07:06:05Z,7
@lawchaosful,"諾蘭面試獨眼巨人時，差點引發片場衝突。

起因是巨人對自己的演技沒自信，怕會拍不好。
結果副導說了一句「我們會睜一隻眼閉一隻眼」。

獨眼巨人覺得這是歧視",2026-05-07T05:29:33Z,0
@train60125,看到又是一個想回家的男主角，我已經猜到演員是誰,2026-05-06T16:21:44Z,0
@蛋蛋破掉了,麥克戴蒙到底回家了沒XD,2026-05-05T11:10:50Z,0
@Dlyan1987,Home,2026-05-05T14:08:38Z,0
@BJ-xLab,有吸血鬼 有蜘蛛人 有太空人  還有啥?😂😂😂,2026-05-07T08:40:45Z,0
@ulric1662,等等，那海漩渦是真的嗎!?,2026-05-05T12:57:42Z,0
@postpat0722,蜘蛛人。綠巨人 蝙蝠俠都在😂,2026-05-05T09:51:39Z,0
@林彥廷-r9z,先看奧德賽後看蜘蛛人,2026-05-09T22:17:15Z,0
@Alex-m7c4g,這陣容得有多少票房才賺得回來0.0,2026-05-05T12:02:57Z,0
@橘色星球,馬拉卡,2026-05-05T12:46:53Z,0
@UOTAD,音乐很像TENET的风格，没找hans zimmer？,2026-05-07T15:53:22Z,0
@s9209122222,為什麼好好的預告到台灣就剩下 1080P？,2026-05-07T14:55:16Z,0
@MrK_Harekelas,我就想知道独眼巨人是不是实拍的😆,2026-05-05T11:44:43Z,0
@陳小龜-s7p,不太懂為什麼官方頻道放這種大片的預告片卻不是4K只有1080的畫質...?,2026-05-05T12:53:29Z,0
@chensir3,看起來像羅馬的故事，但還有巨人是在演什麼神話時代,2026-05-11T17:01:24Z,0
@韭韭冒險野郎,DC跟漫威要打起來了，我看到蝙蝠俠嗆蜘蛛俠。,2026-05-09T13:58:10Z,0
@chanwillson6686,"以防你不知道的 << 麥特戴蒙受困宇宙 >>
1998－Saving Private Ryan－全隊深入戰場救他
1999－The Talented Mr. Ripley－困在身份謊言之中
2002－The Bourne Identity－失憶特工尋找自己
2004－The Bourne Supremacy－被追殺仍找真相
2007－The Bourne Ultimatum－終極追尋自身身份
2014－Interstellar－宇航員困外星失控
2015－The Martian－NASA火星極限救援
2016－Jason Bourne－再度迷失身份記憶
2017－Downsizing－縮小人生陷入迷茫",2026-05-06T21:33:18Z,1
@歪嗶吧噗,奧德賽但為啥船看起來是維京人的長船？,2026-05-05T13:32:39Z,0
@克勞德艾米爾,我只能說2026【奧德賽】的海倫絕對是最爭議，但不是這電影最大的問題，2026她外貌完全不是能引發引發了特洛伊戰爭的女人，而且海倫在希臘神話中是宙斯之女，所以宙斯生了個女黑人?,2026-05-06T07:53:26Z,0
@世安王-h8e,蜘蛛人跟蝙蝠俠的戰爭,2026-05-05T09:32:11Z,0
@Stan_McWan,難得沒有尼哥的電影不然按照現代政確標準必須歐洲古代要黑人君主,2026-05-05T08:04:49Z,0
@JH-mg8ww,有些演員好像看了會出戲。。。 感覺不太適合這種題材,2026-05-06T14:12:28Z,1
@lilithqin3685,預告看不到黑皮海倫 很失望,2026-05-05T15:58:04Z,1
@ian78228,麥特.戴蒙不是失意、精神錯亂，就是找不到家,2026-05-05T14:49:48Z,0
@qisain,蝙蝠俠又來當壞人了😂,2026-05-05T11:13:06Z,0
@ian78228,"絕地救援 (The Martian, 2015)
劇情關聯： 麥特·戴蒙飾演太空人馬克·瓦特尼（Mark Watney）。他在火星任務中遭遇風暴，被隊友誤判死亡而遺留於火星。整部電影的劇情主軸為他如何利用植物學與工程知識在火星生存，並與地球的NASA團隊取得聯繫，尋求「回到地球」的救援計畫。

搶救雷恩大兵 (Saving Private Ryan, 1998)
劇情關聯： 他飾演二戰美國陸軍傘兵詹姆斯·雷恩（James Ryan）。劇情講述由於雷恩的三位兄長皆已於戰場陣亡，美國軍方高層下令派出一支由約翰·米勒上尉（湯姆·漢克飾）帶領的小隊深入戰區尋找他，任務的最終目標即是將雷恩「平安送回家」。

星際效應 (Interstellar, 2014)
劇情關聯： 麥特·戴蒙飾演曼恩博士（Dr. Mann）。作為「拉撒路任務」的先驅科學家之一，他被派往探測一個未知星球。由於無法忍受極度的孤獨與死亡恐懼，他偽造了該星球適合人類居住的數據以吸引主角團隊前來救援，其行為的動機是為了奪取太空船並「回到地球」。

神鬼認證系列 (The Bourne Series, 2002-2016)
劇情關聯： 他飾演失去記憶的中情局特務傑森·包恩（Jason Bourne）。此系列的核心驅動力在於包恩拼湊自己過去的記憶。他在各集中不斷追尋自己的真實身分，並多次「回到」計畫的發源地（如紐約或中情局設施），以尋找自己的起源與過去的真相",2026-05-06T06:49:33Z,0
@EmproveVC,17是怎樣 要不要改,2026-05-05T08:22:17Z,0
@情人節吉兒,沒看的懲罰者啊😢,2026-05-05T12:07:46Z,1
@shaokuan,"之前傳說這片演海倫的是黑人,有確定嗎?",2026-05-12T05:47:14Z,0
@e030149116,靠北 麥特戴蒙又要人家救喔??????????,2026-05-05T13:05:00Z,0
@蔡皓庭-e9m,為什麼你們片原只有1080,2026-05-08T03:14:59Z,0
@苏沐d十b,怎么没有娜迦海妖呢,2026-05-10T10:14:40Z,0
@泠然御風,这版预告片怎么没把那个丑蜘蛛女放进来啊？是不是大家反响负面，把那个人的戏份删除了？要是删除了我就去电影院看,2026-05-05T08:46:12Z,0
@eileenhung3288,喜歡諾蘭但不迷信諾蘭,2026-05-09T14:19:43Z,0
@passpassgogogo,Batman v. Spiderman,2026-05-05T07:05:49Z,3
@DIGGGG1,預告剪得像是照奧德賽原著拍的而已，真的就這樣?,2026-05-05T15:59:35Z,1
@fantafanta4642,Hahahaha hahahaha hahahaha hahahaha 回家終身成就獎 🤔🤔🤣🤣,2026-05-08T07:37:53Z,0
@dreamsky7641,蝙蝠俠打蜘蛛人,2026-05-06T15:10:31Z,0
@爖隼,呷烙賽 😂😂😂😂😂😂,2026-05-06T15:53:04Z,1
@meowmeowmeowli,綠帽的故事,2026-05-05T15:32:20Z,0
@bruceangel3196,"還沒上映嗎？
我都以為下檔了……",2026-05-05T10:25:38Z,0
@chardwilliam2553,這跟刺客教條有關係嗎?,2026-05-05T13:36:44Z,0
@snowkiller72,马拉卡,2026-05-06T11:43:23Z,0
@qwe38417,好扯 好多大咖,2026-05-11T15:10:18Z,0
@鍵盤魔術師,諾導的片，我智商太低，純推不看😅🤣,2026-05-05T08:23:25Z,2
@陳呈-e8c,誰能告訴我這是甚麼題材？,2026-05-07T09:34:33Z,0
@helojojo,天能的前傳？看見Neil 😮,2026-05-05T06:54:32Z,1
@Winston9527,看這預告ˋ......沒讓人提起想看得感覺诶.....,2026-05-05T13:11:46Z,1
@chanvoew6968,"注：全片沒有使用任何電腦CG/AI 特效
-諾蘭",2026-05-05T10:02:59Z,5
@viggoodin91,獨眼巨人是誰演的????,2026-05-05T06:34:20Z,0
@jerry51311,這跟育碧應該沒關係吧,2026-05-05T12:51:43Z,0
@Ioday456,2017年上映？时间还倒转了？,2026-05-05T07:53:29Z,0
@MercyChen-k6d,眾星雲集反而有點互搶風頭的感覺QQ,2026-05-05T11:42:27Z,1
@louielooyi,越来越没什么期待诺兰的电影了 ,2026-05-06T08:15:49Z,2
@ricosu192,听说海伦是黑人？,2026-05-12T03:15:42Z,0
@非資料片衝等中,看到荷蘭蜘及索爾，總覺得像漫威的某部復仇者外傳… 😑,2026-05-05T05:54:30Z,2
@如穎隨行-x1o,老梗~,2026-05-05T20:09:58Z,1
@BlancheChiang,好無聊,2026-05-07T04:36:24Z,1
@ericlu8183,演甚麼看不懂,2026-05-05T09:13:17Z,1
@MaleckLv,最烦荷兰弟了！真是看到就讨厌！要演技没演技。,2026-05-07T04:31:56Z,1
@zelda4649,有點不看好這部  預告挺尷尬的 沒有史詩感,2026-05-05T07:50:15Z,2
@拉拉拉AI2013,好普通喔 退休吧你,2026-05-05T14:21:55Z,1
