Comment_Author,Comment_Text,Comment_Date,Like_Count
@MuhammadHAMMAD-s9n7g,"""I know we're 7 but we ate"" OKAY AHYEON AND ASA 🛐",2026-05-04T09:22:57Z,22536
@ahyeonified.ৎ,"""I know we're 7 but we atee"" YEAH BABYMONSTER IS SEVENNN!!!! 💅",2026-05-04T09:26:03Z,22692
@BibhaMandal-f7g,"""yeah I know we're seven but we ate"" 
                                —ASA
                                —AHYEON
BABYMONSTER is seven 😭❤️",2026-05-04T13:48:32Z,13051
@yoorimkim4232,1:08 아사야…일케 잘하면 어떡하라고…벌써 돌려본지 86번째잖아….,2026-05-12T13:34:42Z,11
@soft_darkx,"""I know we're 7 but we ate"" PERIOD. 🛐",2026-05-04T13:36:30Z,8416
@Bouchramalak-or9wq,7 rappers + 7 vocalist + 7 dancers  + 7 visuals + 7 queens = BABYMONSTER,2026-05-04T15:20:23Z,4080
@Sofx-i8w,"""I khow we're 7 we ate"" OKAY AHYEON AND ASA",2026-05-04T09:52:45Z,5824
@ice8309,100M 까지 몬스티즈 화이팅 보여주세요!!🎉😊 🎊❤,2026-05-12T06:06:40Z,34
@Edits_by_hafsa,CHIQUITA AND RORA HOLY VISUAL IN THE INTROO ❤🙌,2026-05-04T09:48:52Z,3999
@push_67,"""I know we're 7 but we ate""
OKAY AHYEON AND ASA...🛐❤️‍🔥",2026-05-04T12:51:57Z,6212
@ANiMEGrull_iNzii,"""YEAH I KNOW WE'RE SEVEN BUT WE ATE""..🛐
                       - ENAMI ASA..
                    - JUNG AHYEON..",2026-05-04T09:24:39Z,11916
@nhdsltykmlfkjkr00,lets go 100M,2026-05-12T09:23:26Z,274
@xOXo-Monie,"""yeah I know we're seven but we ate""

Enami Asa and Jung Ahyeon, you just ATEEE💅🏼",2026-05-04T09:25:06Z,9383
@Haejin_now,조회수 속도봐라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2026-05-04T09:23:24Z,23716
@EnamiAsaForever,"""i know we're 7 but we atee"" Yesss Asa and Ahyeon!!",2026-05-04T10:03:33Z,5080
@nohnoh7072,와ㅋㅋㅋ뮤비보다 소름돋음ㅋㅋ최고다,2026-05-12T13:15:31Z,26
@omarahmedmahmoud5138,"Ahyeon and Asa saying ""i know we're seven but we ate""
and 
Ruka saying ""bow down""
it got me.......❤",2026-05-04T09:29:34Z,2140
@Maryam-p7u2o,CHIQUITA's DANCE IS SO CLEAN ..OMG I'M OBSESSED 😭,2026-05-04T12:38:37Z,3851
@baestaste,"Chiquita stands out so much with her insane dancing, people will not realize she had the least lines in Choom. i tell you, that's how people who have natural star aura work",2026-05-05T13:38:48Z,2425
@lovye_09,Let's go 100M 🔥,2026-05-13T02:27:04Z,13
@albagilmendoza7207,3:05 The dance of CHIQUITA AND RUKA omg,2026-05-04T10:27:31Z,445
@R.B.Gamer185,"“I know we’re 7 but we ate.
ASA and Ahyeon really owned this.”",2026-05-04T11:43:04Z,1915
@angelyuda766,"Chiquita’s face card never declines. Her expressive range is literally top-tier.""",2026-05-09T05:04:44Z,1895
@frankmichel2743,"앨범 75만장 팔았다네요 🎉
100만장 가쥬아",2026-05-13T01:58:04Z,17
@Only-LOSERS-hate-on-Ahyeon,0:57 PHARITA VISUAL QUEEN😍😍😍,2026-05-04T13:14:22Z,224
@Narcissa-n7o,"Can we talk about Chiquita’s facial expressions? She’s a literal performer, every second is a different vibe.",2026-05-05T08:49:49Z,2893
@Your_Aurelia1k,"0:49 ""I know we 7 but we're ate"" okay Ahyeon and Asa🔥",2026-05-04T12:31:24Z,121
@fakihaw,TRENDINGGGG GUYSSS❤❤❤❤❤❤,2026-05-12T09:20:18Z,21
@itschiyeonৎ,"""I know we're 7 but we ate"" OKAY BABYMONSTER WE UNDERSTAND  🛐",2026-05-04T09:36:52Z,2247
@Mily_yoon,3:03 CHIQUITAA and RUKAA dance OMGGG!!,2026-05-04T09:31:44Z,3134
@Phhraay,"Chiquita always has a way of making her performances look special. Her movements are clean, her expressions are on point, and her aura is truly strong",2026-05-04T09:22:15Z,2979
@안드로-p6b,와 진짜.. 찢었다.. 최고다,2026-05-12T13:26:35Z,10
@imenemenjel7484,why is nobody talking about rora and chiquita's deep voices at the beginning???????????????????,2026-05-04T23:23:47Z,1495
@RedbitRedbitGoldx,"오늘 누가 볼까요?
Who's watches it today ⁉️",2026-05-05T08:03:14Z,6826
@albagilmendoza7207,"2:19 CHIQUITA dance is in another level 
This IS her ERA",2026-05-04T10:30:17Z,360
@CLOUDDYKREWY,72 MILLION VIEWS IN 7 DAYS?!,2026-05-12T08:52:34Z,29
@SafinAhmed-y1w,Chiquita's dance style is always unique and shine!,2026-05-04T09:32:27Z,1363
@cityfantube,베몬 신곡 미쳤다.....,2026-05-04T09:22:28Z,4124
@jamalahmed3264,Ahyeon and her 1:35 Grrrrr reminds me Jennie like mother like daughter 🔥🧛🏻,2026-05-04T09:37:52Z,159
@SofiaImmordino,Rita vocals X Ruka deep voice is just heaven❤️😍,2026-05-12T05:26:39Z,61
@BABYCANN_09,Chiquita's dance lines are clean and sharp👏,2026-05-04T09:43:14Z,1129
@GudiaRajak-u2f,"3:01 ""I'm obsessed this part cannyyy you damn crazy "" 😆😻",2026-05-04T10:39:10Z,160
@tiny.peachy._.sparkle,Chiquita and asa ateee thiss up!!,2026-05-12T14:13:06Z,8
@nurfitriani4440,70M let’s choom 80M!!!,2026-05-11T22:39:21Z,169
@watanarobie,"2:08 Ahyeon's line ""Hypnotize"" is so chef's kiss🤌",2026-05-04T09:31:45Z,559
@jadewestot,"Chiquita is dancing like she was born to do this, cant believe shes the maknae look at herrr 1:23",2026-05-04T09:58:25Z,773
@DinukaShenal-n4u1r,Will be the most viewed kpop music vedio of 2026 ❤,2026-05-12T08:45:49Z,10
