Comment_Author,Comment_Text,Comment_Date,Like_Count
@grose4612,今天不看 整季白看,2026-05-16T13:35:02Z,205
@yuuki-s2i,2個bo3都是流量大戰 賺翻了賺翻了,2026-05-16T14:48:15Z,113
@Lucas-pd1dn,TAEYOON  第二把 選了尤娜拉 故意死了一次，就是告訴NS    殺尤娜拉~~~~,2026-05-16T14:19:20Z,73
@Ajia_0110,5:56:13   本日重點,2026-05-16T13:30:39Z,201
@suzukiyeow4044,"GEN VS T1
第一局 BP 50:59  开始 58:10 
第二局 BP 1:40:42  开始 1:49:44 
第三局 BP 2:54:54 开始 3:02:44 


BFX VS NS
第一局 BP 4:15:43  开始 4:22:23 
第二局 BP 5:09:23  开始 5:17:17",2026-05-16T20:13:18Z,53
@chiuan107,"全季最精采BO3
這個態勢 說真的韓華打到我也不確定誰會贏
恭喜T1 GG起床了",2026-05-16T20:45:28Z,19
@aokee2113,今天本季最好看的三場 T1對GG,2026-05-16T14:50:00Z,29
@30030,"今天的比賽太精彩了
宸瑞戴眼鏡好帥喔",2026-05-17T03:13:49Z,5
@Mrpopperer,這場不看真的整季白看😂,2026-05-16T16:07:21Z,11
@Holando_ho,"導播也是很會，上一秒拍到Diable蹲下去撿東西看起來就像在躲鏡頭
下一秒就接Taeyoon把前隊服蛋雕 7777777",2026-05-17T01:38:41Z,19
@程浮生-x4d2q,这应该是今年LCK最好看的bo3了,2026-05-16T18:35:32Z,9
@qqo7604,5:56:12,2026-05-16T13:31:25Z,37
@neednothing6969,來人啊！通通下放！,2026-05-16T13:33:06Z,17
@airds123ify,GG壓力更大了 上一場要贏推主堡麥克風氣氛就很差了 這場輸了還得了,2026-05-16T13:35:33Z,29
@kenny768,"1:49:47 二刷第二場 這場不看 整季白看
從頭重看一次",2026-05-16T15:07:40Z,25
@動態難度,上次用梅爾+派克，前期大優被對面撐住還是要輸，這次用卡蜜兒自己C,2026-05-17T05:52:47Z,2
@imiq1800,爽啊 刺啊😂,2026-05-16T16:01:05Z,1
@梅洛-f1d,史上最精彩的例行賽,2026-05-16T18:15:14Z,2
@johnlin7618,"去年(R1+R2 18場)
GEN 18-0 +31
HLE 14-4 +20
T1　11-7 +8
NS　10-8 +3
KT　10-8 +2

今年(目前 13 ~ 14場)
HLE 12-1 +18　剩KT、BFX、NS、GEN、BRO (前5有2隊)
KT　10-3 +11　剩HLE、NS、GEN、T1、DNS (前5有3隊)
T1　10-4 +13　剩KRX、BRO、KT、BFX (前5有1隊)
GEN 10-4 +12　剩KT、DNS、HLE、BRO (前5有2隊)
DK　7-7 +1　　剩BRO、BFX、KRX、NS (前5有0隊)",2026-05-17T01:45:36Z,4
@d83yd83yai,今天這場不看 這季白看,2026-05-16T17:03:11Z,2
@xrangerlin6761,超兇,2026-05-16T13:44:21Z,0
@椎名-w5l,"打得太激烈了，不但打贏了GENG
還把聊天室那些第一場和第二場前中期在那狗叫的T1黑子們的老媽給打沒了
後面都沒出來狗叫，不知道是不是去幫他們老媽辦後事了",2026-05-16T18:48:20Z,25
@j1122334419,超兇 超派,2026-05-16T13:50:06Z,0
@zst91209,2:10:09,2026-05-16T14:27:08Z,1
@小安-d6b,T1跟GG的第二局高打高 這場不看整季白看,2026-05-16T14:02:38Z,21
@WuBen-w1i,一度以为要被2:0，没想到😂😂😂今天绝对是总决赛的即视感🎉🎉🎉这周就靠今天的比赛下饭了～,2026-05-16T16:22:36Z,8
@爸爸vl,👍,2026-05-20T01:54:05Z,0
@ddyagoo8311,簽,2026-05-16T20:54:40Z,0
@johnlau6749,第3把T1赢就是因为下路（GenG第三把的命脉），更大的问题其实是GenG的BP搞砸了。你前3楼都决定了库奇做你的下路了，第4楼还不赶快按掉卡密尔结果跑去按掉滑板鞋🤦‍♂大家不要忘了库奇最怕的恰恰就是对面套圈圈,2026-05-17T02:01:39Z,1
@mpg4593,本来不知道啥情况，只看T1，但是搜了下背景故事，来补下恩怨局,2026-05-18T10:59:23Z,0
@johnlin7618,"BFX、NS交換AD之後 (聯賽+EWC)
BFX 8-6
NS 0-12 (最近6場小局打BRO、DK、BFX，NS將蓮子下放)
5/16 NS vs BFX 由BFX 2-0 獲勝，Taeyoon拿下POM (兩把DPM破千、KDA 10/2/17)",2026-05-16T22:52:45Z,4
@nelsontsang1682,Disable 太多啦,2026-05-18T18:49:41Z,0
@爸爸vl,😂,2026-05-19T15:42:04Z,1
@wasin2078,3:25:34  oner 猛阿 q斷 r推到,2026-05-16T14:11:05Z,13
@Kerry-findrich,卡牌当年FAKER无敌啊,2026-05-19T09:35:35Z,0
@HCY00125,看到 2:17:25 時候，很難想像T1會贏,2026-05-17T06:41:19Z,4
@gamawine1834,只能說NS活該，各種操作換來12連敗，再多理由都沒辦法證明自己是對的😂,2026-05-17T05:50:12Z,2
@陳柏君-u5b,好奇聊天室都沒板手嗎,2026-05-18T15:31:59Z,0
@ams6671,NS就是垃圾隊伍 換一個ADC也順便把聯盟創造力略低於小K的輔助換下來 真的是活該連敗,2026-05-16T13:36:40Z,16
@王王哈哈-b2g,踏马的，看片都不卡，看这个卡死😂😂,2026-05-16T13:50:44Z,2
@sentu1272,還好吧? T1，Gen G終究會贏下決賽冠軍,2026-05-17T02:08:43Z,1
@ほっぺたの赤いリンゴ,"1.爽嘞GG下去喽
2.GG这3场，打的就是自己这一年的缩影：赢输输，高开低走，虽然临死前有一波小高潮，但最终烂尾
3. 0.4GG>1GG",2026-05-16T15:15:38Z,5
