Comment_Author,Comment_Text,Comment_Date,Like_Count
@h906230,後室本來就不是怪物追殺片啊！它是沒有真相的無限恐懼絕望感，無限密室殺陣，專殺心理😅疑！想到異次元殺陣,2026-05-16T08:54:37Z,47
@nwd3TKyexjBA0y3XyVc,整部片長 1 小時 45 分，感覺劇情會很緊湊,2026-05-16T06:57:18Z,88
@Oswell4154,簡單的說喜歡單純怪物追殺，血腥恐怖的人不會喜歡；喜歡深層恐怖，故事背景龐大，世界觀細思極恐，越想越心寒的那種人會喜歡，可是對後室有興趣的大部分都是後者吧😂,2026-05-16T07:50:33Z,62
@徐昱安-x7f,台灣好像5/27就先上檔了,2026-05-16T19:27:05Z,12
@Chris-gs3nt,我不怕故事沉悶，看電影前我只擔心自己記不住K版後室所建立的世界觀，怕看電影時沒辦法發現各式各樣的彩蛋與新故事線😅,2026-05-17T04:54:40Z,3
@klh8660,還真有池核（Lv.37）😮！！,2026-05-16T06:03:04Z,12
@Dream_TW222,誒誒誒會不會我們在電影院看的時候突然掉進去！🥲,2026-05-16T06:06:38Z,12
@xx118118,就是喜歡那龐大未知的地方同無助感 好期待,2026-05-16T06:13:08Z,10
@silent-sea靜海,6月4日非常的政確呢😂,2026-05-16T05:27:21Z,28
@Shadow6101-TyM,0:12 這個日期很正夂確,2026-05-16T05:00:42Z,25
@VincentGPT-lol,我预测splendor 其中一个功能是全部空间的能量来源。毕竟是个太阳。😂,2026-05-17T10:35:25Z,3
@Lin_Jie,坐等電影上映後的完整解析，我個人就喜歡這種帶有懸疑科幻壓迫感的驚悚片，因此我非常期待後室的上映,2026-05-20T08:35:12Z,0
@iul9612,期待 電影播出後，能看到劇情解析影片,2026-05-17T10:43:36Z,2
@麵糰冰爆表,還有人劇透了80集的素材,2026-05-17T04:55:41Z,3
@符昌彬-b1x,后室如果故事要更庞大可以扁世界末日后很多人不得已都住后室了之类的,2026-05-16T05:08:59Z,5
@超愛冰淇淋,臺灣26號,2026-05-16T08:33:13Z,5
@johnnnyYXY666,說實話 我現在還是在懷念馬桶人😢,2026-05-16T05:07:29Z,96
@meiaigoh,等他更新啊會有直播嗎還是更新視頻後視/說一句實話想念馬桶的80集,2026-05-16T05:45:33Z,3
@YellowSeafood,至少負評應該沒提到不夠還原,2026-05-17T15:07:18Z,2
@黃暐晉-i8e,爽啦！沒想到出電影而且還比美國還快出，真想在電影院裡體驗一下，不過對電影期待不要放太高可能會讓你失望,2026-05-20T09:25:24Z,0
@546hfyino-c6r,為了仔細看清楚每個橋段，已經準備要好幾刷電影了,2026-05-18T15:02:15Z,0
@ToiletSkibidi-l9x,刚好神奇数字马戏团在6月4或5日上映,2026-05-16T06:53:09Z,14
@leistx92,真的，我对阈限空间梦核很有感觉但是我女朋友觉得梦核这些都没什么感觉的，看来她就是属于那种不会对这个感兴趣的了哈哈哈,2026-05-16T07:45:49Z,1
@MIKE-pe7fz,不知道在後室洗澡是什麼感覺,2026-05-16T04:59:55Z,10
@bangbangsheep514,那天去吃smile燒肉送backroom 優惠卷！ 我好期待啊啊啊啊啊！,2026-05-18T11:30:58Z,0
@VeqJB_Edits,丁丁我已經兩年沒來看你了，你聲音變得更深了,2026-05-16T13:39:49Z,0
@trash-bx9pi,I feel happy I feel healthy I'm human being,2026-05-16T07:35:56Z,1
@loaaaa-233,來了來了,2026-05-16T04:55:21Z,0
@samsaml2,真的好期待,2026-05-16T07:06:28Z,0
@吳宥辰-h8f,什麼時候解說Human being?,2026-05-16T04:38:30Z,2
@User-7777-y1x,超级期待，感谢分析❤❤,2026-05-16T05:15:01Z,0
@qihsu7754,你可以解析馬桶人現在情況嗎?,2026-05-18T09:02:48Z,0
@tsangjack,近期我不斷看後室的影片， 我感覺現在好像對後室 有一些恐懼，開始覺得會隨時掉入後室， 不知道是不是有恐懼症,2026-05-16T09:54:55Z,1
@OC817,"新預告釋出很多新內容
希望電影裡還有更多 不要被預告完
很擔心會不會塞很多細節彩蛋
需要去好幾刷

就試映會那些評論來看
應該就是維持氣氛營造、敘事與藝術展現的方向
能先了解內容類型就能知道適不適合看這部電影",2026-05-16T18:22:10Z,0
@AdrianChew-p9j,"6月4号
数字马戏团
Backroom😂😂😂😂",2026-05-16T07:25:38Z,5
@黃暐晉-i8e,馬桶人？非常懷念但真的回不來了😢,2026-05-20T09:26:29Z,0
@two5one_251,"有空可以看看GroovyGavin RAW的I Went to The Backrooms in Real Life (UNCUT)
能看到電影當中backrooms的場景實際情況是什麼樣子的~",2026-05-16T09:47:02Z,1
@CHUAYAOYANGMoe,丁丁能解说human being吗？,2026-05-16T05:19:31Z,0
@帽子Taco,不知道第八十集能不能再GTA6之前發佈,2026-05-17T02:40:24Z,1
@andilysiu3229,那是叫磁碟......,2026-05-18T13:10:02Z,0
@janeboa7187,是太陽模擬恐怖,2026-05-17T10:11:20Z,0
@distancezero3211,來了第一,2026-05-16T04:37:53Z,2
@未来遊戲頻道WeilaiGame,到时可以去电影院看看,2026-05-16T05:37:22Z,0
@友善的培根,嗨嗨,2026-05-16T05:07:42Z,0
@周曉東-f5j,😮,2026-05-16T04:39:01Z,0
@劉子俊-i3e,409有的,2026-05-19T16:20:19Z,0
@bloxdio666,6:45 bathrooms😂,2026-05-17T13:24:24Z,0
@2m_melon,六月四號,2026-05-16T05:10:53Z,0
@rayfeng1996,"10:27  現在很多恐怖片都都直接演給你看
12:28 短影片滑太多",2026-05-17T11:52:40Z,0
@KSAN原神gg,在香港無法看😢,2026-05-17T01:01:18Z,0
@eyes_eyes-r8b,I love poolrooms,2026-05-17T04:43:45Z,0
@宇崑廖,嗨,2026-05-16T04:37:45Z,0
@Paint-u7marster,409不是紙屋嗎？,2026-05-17T04:42:26Z,0
@Xow.189,我聽成黑化,2026-05-16T10:18:41Z,0
@bladmanlol,靠,2026-05-16T04:38:26Z,0
@yellowblue3567,這後室的攝影棚直接當成觀光景點了吧~超想去的,2026-05-16T06:27:34Z,2
@SX_Mercury,大陆看不到（悲）,2026-05-17T10:44:21Z,0
@口感樂狗,未滿十八歲可以看嗎,2026-05-16T06:02:07Z,1
@麵糰冰爆表,有人據透了泰坦音響人3.0的原型圖紙,2026-05-17T04:53:39Z,3
@張翔翔-v3t,膽小鬼也不適合看哪半夜沒辦法上廁所,2026-05-17T09:39:11Z,0
@Okarun-Cool,距离马桶人79集已经过了半年多,2026-05-16T05:29:57Z,3
@waiMinghao,我是第一个来🎉,2026-05-16T04:46:34Z,0
@waiMinghao,我觉得可能有一个要回来了就是Backrooms level???,2026-05-16T05:00:41Z,1
@Denstrex,自家演員還真的迷路了,2026-05-16T05:10:44Z,1
@YatWong-mt9fx,你可能真係要飛去美國嗰邊睇,2026-05-16T06:18:27Z,0
@罐頭開心,香港會不會有,2026-05-16T07:25:47Z,1
@培根先TW,2:34 我的英文名字也叫Bobby,2026-05-16T05:56:38Z,0
@YT_Faith-white,1,2026-05-16T04:37:47Z,0
@瑞瑞二世,嗨,2026-05-16T04:43:56Z,0
