Entity,Sentiment_Word,Co_occurrence_Count,Inferred_Reason
動物,不同,16,'動物' is a noun entity and '不同' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
音樂,流行,7,'音樂' is a noun entity and '流行' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,上癮,6,'人' is a noun entity and '上癮' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,毛骨悚然,5,'人' is a noun entity and '毛骨悚然' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,喜歡,5,'歌' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
年度,合作,4,'年度' is a noun entity and '合作' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
概念,獨特,4,'概念' is a noun entity and '獨特' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,好聽,4,'歌' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,興奮,3,'人' is a noun entity and '興奮' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,瘋狂,3,'歌' is a noun entity and '瘋狂' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
聲音,獨特,3,'聲音' is a noun entity and '獨特' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
‘軍,產生,2,'‘軍' is a noun entity and '產生' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主席,產生,2,'主席' is a noun entity and '產生' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,喜歡,2,'人' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,在一起,2,'人' is a noun entity and '在一起' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,失望,2,'人' is a noun entity and '失望' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,感到,2,'人' is a noun entity and '感到' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,滿意,2,'人' is a noun entity and '滿意' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,瘋狂,2,'人' is a noun entity and '瘋狂' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,酷,2,'人' is a noun entity and '酷' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,驚訝,2,'人' is a noun entity and '驚訝' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
原因,喜歡,2,'原因' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
原因,無聊,2,'原因' is a noun entity and '無聊' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
士兵,產生,2,'士兵' is a noun entity and '產生' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
女孩,新,2,'女孩' is a noun entity and '新' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
女王,流行,2,'女王' is a noun entity and '流行' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
實驗性,古怪,2,'實驗性' is a noun entity and '古怪' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
時代,新,2,'時代' is a noun entity and '新' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
時候,知道,2,'時候' is a noun entity and '知道' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
時間,活,2,'時間' is a noun entity and '活' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
時間,長,2,'時間' is a noun entity and '長' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
概念,古怪,2,'概念' is a noun entity and '古怪' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
概念,契合,2,'概念' is a noun entity and '契合' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
概念,新,2,'概念' is a noun entity and '新' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
概念,毛骨悚然,2,'概念' is a noun entity and '毛骨悚然' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
概念,瘋狂,2,'概念' is a noun entity and '瘋狂' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,大,2,'歌' is a noun entity and '大' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,感覺,2,'歌' is a noun entity and '感覺' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,棒,2,'歌' is a noun entity and '棒' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,知道,2,'歌' is a noun entity and '知道' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
