Entity,Sentiment_Word,Co_occurrence_Count,Inferred_Reason
音樂,流行,24,'音樂' is a noun entity and '流行' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,好聽,15,'歌' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,好,11,'歌' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,好,11,'歌曲' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,喜歡,8,'歌' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,好聽,8,'歌曲' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
音樂,好,8,'音樂' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,流行,7,'歌曲' is a noun entity and '流行' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,耳目一新,5,'人' is a noun entity and '耳目一新' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,棒,5,'歌' is a noun entity and '棒' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
事情,好,4,'事情' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
旋律,優美,4,'旋律' is a noun entity and '優美' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,喜歡,4,'歌曲' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,棒,4,'歌曲' is a noun entity and '棒' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,適合,4,'歌曲' is a noun entity and '適合' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
藝智,生日快樂,4,'藝智' is a noun entity and '生日快樂' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,上癮,3,'人' is a noun entity and '上癮' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
感覺,感覺,3,'感覺' is a noun entity and '感覺' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,優美,3,'歌曲' is a noun entity and '優美' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,清爽,3,'歌曲' is a noun entity and '清爽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,努力,2,'人' is a noun entity and '努力' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,喜歡,2,'人' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,失望,2,'人' is a noun entity and '失望' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,感動,2,'人' is a noun entity and '感動' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,懷舊,2,'人' is a noun entity and '懷舊' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人們,好,2,'人們' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
們,努力,2,'們' is a noun entity and '努力' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
副歌,上癮,2,'副歌' is a noun entity and '上癮' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
印象,深刻,2,'印象' is a noun entity and '深刻' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
女團,好,2,'女團' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
女孩,獲勝,2,'女孩' is a noun entity and '獲勝' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
專輯,棒,2,'專輯' is a noun entity and '棒' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
座右銘,喜歡,2,'座右銘' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
座右銘,感覺,2,'座右銘' is a noun entity and '感覺' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
座右銘,感謝,2,'座右銘' is a noun entity and '感謝' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
座右銘,棒,2,'座右銘' is a noun entity and '棒' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
感覺,好,2,'感覺' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
感覺,感受,2,'感覺' is a noun entity and '感受' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
感覺,清涼,2,'感覺' is a noun entity and '清涼' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
感覺,習習,2,'感覺' is a noun entity and '習習' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
排行榜,流行,2,'排行榜' is a noun entity and '流行' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
時代,勝利,2,'時代' is a noun entity and '勝利' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
時代,喜歡,2,'時代' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
時代,新,2,'時代' is a noun entity and '新' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,值得,2,'歌' is a noun entity and '值得' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,希望,2,'歌' is a noun entity and '希望' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,適合,2,'歌' is a noun entity and '適合' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,偉大,2,'歌曲' is a noun entity and '偉大' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,完美,2,'歌曲' is a noun entity and '完美' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,感覺,2,'歌曲' is a noun entity and '感覺' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,精心,2,'歌曲' is a noun entity and '精心' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,美妙,2,'歌曲' is a noun entity and '美妙' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,適當,2,'歌曲' is a noun entity and '適當' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
海灘,感受,2,'海灘' is a noun entity and '感受' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
海灘,清涼,2,'海灘' is a noun entity and '清涼' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
海灘,習習,2,'海灘' is a noun entity and '習習' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
涼風,好,2,'涼風' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
涼風,感受,2,'涼風' is a noun entity and '感受' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
涼風,清涼,2,'涼風' is a noun entity and '清涼' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
涼風,習習,2,'涼風' is a noun entity and '習習' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
潮流,喜歡,2,'潮流' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
禮智,生日快樂,2,'禮智' is a noun entity and '生日快樂' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
視圖,正式,2,'視圖' is a noun entity and '正式' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
錄影帶,美,2,'錄影帶' is a noun entity and '美' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
隊長,生日快樂,2,'隊長' is a noun entity and '生日快樂' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
韓流,感受到,2,'韓流' is a noun entity and '感受到' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
音樂,不同,2,'音樂' is a noun entity and '不同' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
音樂,喜歡,2,'音樂' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
音樂,感覺,2,'音樂' is a noun entity and '感覺' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
音樂,美,2,'音樂' is a noun entity and '美' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
一生,喜歡,1,'一生' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
一生,好,1,'一生' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
一生,悲傷,1,'一生' is a noun entity and '悲傷' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
世界觀,喜歡,1,'世界觀' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主歌,正確,1,'主歌' is a noun entity and '正確' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主題,空洞,1,'主題' is a noun entity and '空洞' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
乐,流行音,1,'乐' is a noun entity and '流行音' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
事實,重要,1,'事實' is a noun entity and '重要' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
事情,希望,1,'事情' is a noun entity and '希望' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
事情,變,1,'事情' is a noun entity and '變' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,不同,1,'人' is a noun entity and '不同' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,值得,1,'人' is a noun entity and '值得' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,出現,1,'人' is a noun entity and '出現' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,失敗,1,'人' is a noun entity and '失敗' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,實際,1,'人' is a noun entity and '實際' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,復出,1,'人' is a noun entity and '復出' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,悲傷,1,'人' is a noun entity and '悲傷' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,愉快,1,'人' is a noun entity and '愉快' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
