Comment_Author,Comment_Text,Comment_Date,Like_Count
@Jade_dreamingforever,"a song that is over 3 minutes with proper verses, prechoruses, choruses, bridge, oh itzy thank you for saving kpop",2026-05-18T09:40:40Z,20206
@SriHartati-t1x2r,"I hope itzy can get at least one win for this comeback. The girls have worked so hard and we’ll celebrate their 50th win together. Keep streaming and voting midzy, we can do it.",2026-05-25T07:48:26Z,799
@Pearlfov,Finally a kpop song longer than 2 minutes with no empty chorus or party themes thank you itzy,2026-05-18T09:15:58Z,10610
@shin_ryujinnie,ITZY IS SO DOWN-TO-EARTH THEY ARE SO DILIGENT AND WORKING HARD WE SHOULD DO THAT TOO MIDZYSSS,2026-05-26T13:40:48Z,36
@SitiAisyahUmrah,"This is what Kpop should be, Itzy really brought pure Kpop back",2026-05-20T21:55:44Z,1841
@竜影-s8x,No matter what South Korea's sound source score ranking is. But this is the best Korean pop song I've heard recently. ITZY deserves more encouragement and attention.,2026-05-21T19:59:48Z,3381
@yuanlin2872,"This song feels like a summer breeze, bringing back all the beautiful memories we've made over the years.",2026-05-20T08:53:24Z,1167
@thithuytienphan5899,This song is so underrated! I'm not a Midzy but it has been on replay since it was released...,2026-05-25T05:59:13Z,271
@moonskyee_,HELLO??? im literally feeling the old kpop through my veins... EVERYONE GIVE ITZY THEIR DESERVED FLOWERS IM SO SERIOUS RIGHT NOW,2026-05-18T11:52:35Z,7440
@alvinacetrndd16,"its so rare in kpop nowadays to serve a full, complete song. and here they did. welcome back itzy!!!",2026-05-18T09:25:15Z,5804
@sjzb_fn,"The m/v is so perfect, this is actually pure kpop that everyone wants !",2026-05-18T15:31:27Z,3375
@Ice_lEmon4,"I miss when Kpop had its own unique identity. These days many songs sound too globalized, that i almost forgot what kpop Kpop is.. thank you ITZY ❤",2026-05-27T04:15:12Z,18
@jaevdiola-mf4pk,the most kpop sounding song i've heard in recent years. wow itzy is bringing back kpop to its roots,2026-05-18T12:22:24Z,1684
@YamilUrielPáez-z4q,"Honestly, this is their year, first with That's a No No, then Ice Cream Yuna, and now Motto 🗣️🗣️📈📈",2026-05-22T00:12:25Z,1735
@turndownfowhat29,this is for the ppl who stayed and understood the motto ITZY has been giving out for the last 7 years. paying tribute to the past mv and dedicating this song to midzys shows how thoughtful ITZY is to the fans. It’s a very nostalgic but refreshing sound that might lure new fans. Motto is a statement. It is everything ITZY stands for,2026-05-18T19:43:33Z,1881
@Rachel-w3n1x,The song flows so smoothly,2026-05-25T16:46:15Z,36
@Ichancarlo,Wishing Itzy a successful comeback! Fighting!,2026-05-18T09:00:48Z,9068
@itziconic_finalver,"Now that i think about it, itzy is one of the only few grps that releases quality music and no, not to state it just because of flop allegations by haters. they actually enjoy their job",2026-05-20T07:00:55Z,1676
@roumisaroumisa-g3j,I can't hold back my tears; it seems they put in a tremendous effort on this comeback. 😢😢😢,2026-05-24T21:04:37Z,112
@k-popularity,"They're about to be the so-called Leaders of the 4th Gen K-pop but then as years pass, it shifted. Still happy and proud that they have a stable fandom of MIDZYs who's always ready to support them. Let's go YEJI, LIA, RYUJIN, CHAERYEONG and YUNA ❤",2026-05-26T12:42:40Z,116
@ILLUS10N_soraa,"Thanks to ITZY, we felt real kpop again after a long time. They are a real kpop group.",2026-05-21T23:09:50Z,613
@OBSESiDiANedits,"they traded the dark girl-crush for this surreal, melodic masterpiece and it paid off SO well. ITZY’s versatility is unmatched! 👑",2026-05-18T16:54:51Z,1101
@Ryunnie_06,"Honestly, it’s a total summer hit and the MV feels so fresh. Come on MIDZY, let’s give them what they deserve",2026-05-18T14:36:19Z,1510
@user-sm-k3h,청량 있지/청순 있지/다크 있지/상큼 있지/몽환 있지/발랄 있지/힙합 있지/쎅쉬 있지--갈아 끼워가며 활동하는 능력자들,2026-05-25T22:05:04Z,22
@LeNguyen-b7h,JYP Entertainment's aesthetic sense is getting better and better! Wishing Itzy a successful comeback!!!,2026-05-18T13:11:40Z,1424
