Entity,Sentiment_Word,Co_occurrence_Count,Inferred_Reason
專輯,喜歡,11,'專輯' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,喜歡,10,'歌' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,好聽,6,'歌' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
車窗,幸福,6,'車窗' is a noun entity and '幸福' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
願望,知道,6,'願望' is a noun entity and '知道' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
風,幸福,6,'風' is a noun entity and '幸福' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
專輯,新,5,'專輯' is a noun entity and '新' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
專輯,好聽,4,'專輯' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
周杰倫,好聽,3,'周杰倫' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
周董,好,3,'周董' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
哥,懂,3,'哥' is a noun entity and '懂' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
哥,浪漫,3,'哥' is a noun entity and '浪漫' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
旅途,浪漫,3,'旅途' is a noun entity and '浪漫' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
晚霞,暈開,3,'晚霞' is a noun entity and '暈開' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
杰倫,帥,3,'杰倫' is a noun entity and '帥' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
極光,出現,3,'極光' is a noun entity and '出現' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
極光,可惜,3,'極光' is a noun entity and '可惜' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
極光,懂,3,'極光' is a noun entity and '懂' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,好,3,'歌' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
事,浪漫,2,'事' is a noun entity and '浪漫' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
側臉,暈開,2,'側臉' is a noun entity and '暈開' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
側臉,緊抱,2,'側臉' is a noun entity and '緊抱' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
傑倫,好,2,'傑倫' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
公路,浪漫,2,'公路' is a noun entity and '浪漫' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
哥,帥,2,'哥' is a noun entity and '帥' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
時候,冷,2,'時候' is a noun entity and '冷' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
時間,感覺,2,'時間' is a noun entity and '感覺' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
晚霞,柔和,2,'晚霞' is a noun entity and '柔和' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
晚霞,緊抱,2,'晚霞' is a noun entity and '緊抱' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
晚霞,變,2,'晚霞' is a noun entity and '變' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
晚風,這樣,2,'晚風' is a noun entity and '這樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
杰伦,么,2,'杰伦' is a noun entity and '么' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
杰倫,可惜,2,'杰倫' is a noun entity and '可惜' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
極光,冷,2,'極光' is a noun entity and '冷' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
極光,好聽,2,'極光' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
極光,幸運,2,'極光' is a noun entity and '幸運' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
極光,浪漫,2,'極光' is a noun entity and '浪漫' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
極光,需要,2,'極光' is a noun entity and '需要' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,期待,2,'歌' is a noun entity and '期待' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,棒,2,'歌' is a noun entity and '棒' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,浪漫,2,'歌' is a noun entity and '浪漫' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,讚,2,'歌' is a noun entity and '讚' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,適合,2,'歌' is a noun entity and '適合' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,喜歡,2,'歌曲' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,新,2,'歌曲' is a noun entity and '新' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌詞,浪漫,2,'歌詞' is a noun entity and '浪漫' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
