Comment_Author,Comment_Text,Comment_Date,Like_Count
@台中周興哲,我昨晚播這首歌，被鄰居報警說我播太大聲，警察來之後把鄰居抓走了。,2026-05-20T04:01:38Z,1546
@南投粥劫輪,一直以為MV會有極光,2026-05-20T04:07:25Z,634
@benlinmarketing,"開車、走路、手打開、加油、喝咖啡
沒有極光 因為周董本人就是那道極光",2026-05-20T13:46:30Z,230
@歐柏延,哇！是要浪漫死誰啊，是知道今天是520嗎，祝全天下情人520快樂啊，還有MV拍的超棒的啦。,2026-05-20T04:03:51Z,283
@hanzhiwang-g4f,哥真的不走尋常路，極光MV全是晴天，不愧是太陽之子😆,2026-05-20T04:05:29Z,224
@chiangchris8093,戴帽子造型像回到第一張專輯最初的杰倫！👍🏻👍🏻👍🏻,2026-05-20T05:19:04Z,109
@tfsu43,歌詞的寓意：方文山更形容，「在七月看到極光的機率很低，就像遇到珍貴愛情一樣幸運，『七月的極光』象徵愛情中的甜蜜與美好。」,2026-05-20T07:54:23Z,196
@趙國寶-k8o,周杰倫本身就是極光，所以MV不需要極光，謝謝,2026-05-20T05:11:54Z,192
@ingridchang9999,我覺得Aurora in July 很屌，怎麼那麼好聽，現代的歌手很難一張專輯全部歌都好聽，只有周董專輯是每一首都好聽❤🎉,2026-05-20T05:42:16Z,116
@王Adan,這首感覺杰倫很努力在找回以前MV的自己，頂著一個鴨舌帽的杰倫回來了,2026-05-20T12:45:15Z,32
@ywT-qe8qd,怎麼感覺 Jay 還有在學一些新的 FLOW 這男人真帥,2026-05-20T05:02:53Z,48
@wchkelvin,七月的 “極度陽光”😂👍🏻,2026-05-20T05:04:44Z,42
@SilverBWS,"七月的極光怎麼都沒有極光😂
但是鴨舌帽的哥最對味
好懷念同名專輯",2026-05-20T04:40:22Z,30
@yggg22ggh,"終於出了 等好久呀
雖然還是站在原地唱歌 不過場景視角甚至還要開車畫面呢
我也很喜歡這首！",2026-05-20T04:01:34Z,52
@pumpkin1207,"一如既往的走路風
怎麼看都看不膩呢❤",2026-05-20T04:17:17Z,44
@蕭淑玲-t1d,沒想到在520出了這首MV，實在太浪漫了🥰🥰🥰,2026-05-20T04:09:34Z,23
@soonstartsoonstart,周杰倫這張專輯爆炸好聽😮,2026-05-20T09:13:26Z,24
@哆啦JAY梦,520这天出 七月的极光mv  哥真的太懂浪漫啦～哥 请一直走花路❤❤❤❤,2026-05-20T04:00:16Z,62
@開心最重要-q5b,"感謝杰倫 沒在MV走路拍完了
這次改開車 超棒👍 
沒看歌詞之前 一直聽成 
我突然硬來 愛上妳不意外😂

也感謝周董每一首都願意拍MV 👍👍👍
我生在杰倫的時代 我驕傲",2026-05-20T06:31:32Z,20
@officelily7439,專輯最喜歡這首❤終於有MV了！七月沒有極光但有哥的光彩可以了😊,2026-05-20T04:51:48Z,19
@KittyKungPiano,"走來走去開來開去🤣😻
25年粉每個MV都要報到😻",2026-05-20T04:49:56Z,15
@anxia6271,我一直以为这首歌叫《爱就要喊出来》，原来是Aurora in July。不愧是周董，这么多年过去了，还是得看一看歌词才行。,2026-05-21T01:06:36Z,7
@mumaowo,520有這麼棒的歌陪伴 太讚了🥰,2026-05-20T04:49:25Z,15
@freemanfreeman1983,上班看MV聽歌 中午吃飯也聽歌 下班繼續聽歌 七月的極光讚啦 周董戴帽子就是帥慘了,2026-05-20T05:52:49Z,13
@4K音樂瞬間,如果你正在為生活努力著，請一定要相信，好事正在慢慢靠近你。願你往後的每一天都有陽光，也有勇氣去擁抱屬於自己的幸福,2026-05-26T03:54:31Z,8
@IITTWu,周董的七月極光 ... 值得一聽 ~ 直到永久 超喜歡 ❤ 😊,2026-05-20T06:24:05Z,19
@s永里奈,とても素敵な曲🐦🎶✨💖,2026-05-26T02:11:11Z,5
@smallcz2,520這天出七月的極光mv  哥真的太懂了!!!,2026-05-20T04:08:50Z,12
@宏本徐,"520聽這首歌,別有一番味道😊",2026-05-20T04:06:56Z,18
@宅鍋,開車、走路、張開手，金帥！,2026-05-20T04:20:56Z,15
@janicechou5258,七月的極光MV在520這天上線超浪漫❤❤❤,2026-05-20T04:04:07Z,12
@rainny6036,"是熟悉的鴨舌帽🧢🥰💕
520快樂！",2026-05-20T04:11:06Z,16
@swarmtoten,本張專輯最愛的一首!,2026-05-20T06:21:48Z,13
@cp3941p4,到底誰拿加油槍也可以那麼帥啦😍,2026-05-20T04:35:57Z,18
@5410,這張專輯的杰倫好帥,2026-05-20T05:45:17Z,13
@kaiyanzhang9335,520七月的極光！🎉🎉,2026-05-20T04:00:43Z,16
@Sheeta_____pu,這次專輯我最喜歡的一首❤❤❤,2026-05-20T04:36:09Z,33
@JaydenT-m8c,這首歌的旋律實在太洗腦了，好聽,2026-05-22T09:10:25Z,7
@tyc3600,"整張專輯聽來聽去最愛這首!!!
可惜MV沒出現極光 (電腦動畫也好)
但哥還是很帥❤❤❤",2026-05-20T07:16:57Z,13
@jp6jp6,新專輯裡 我最喜歡這首 副歌很抓耳 歐洛拉印九賴,2026-05-20T04:29:02Z,22
@cardikikid,❤❤❤循環最多的一首,2026-05-20T04:01:40Z,12
@Theamxy,終於等到最喜歡的新歌MV啦！,2026-05-20T04:05:11Z,9
@japマン,おしゃれな場所だ、歌も品があるよ,2026-05-25T15:00:55Z,2
@Wadiimusic,"1.雙手打開，身體律動，鏡頭拉遠
2.左手摸胸，右手向鏡頭往前伸。
3.雙手向前伸出，收回後摸頭或放胸前，重複2.或握拳律動",2026-05-21T15:02:11Z,13
@Sooo888oooS,傳說就是傳說，還得是周董，寶刀未老，延續輝煌,2026-05-20T08:40:46Z,8
@cobbycorner2078,竟在选在520这天发新歌！520的惊喜来自周董！🥰,2026-05-20T04:59:53Z,8
@MrW606062000,這麼浪漫的歌在公路上浪費一首好歌,2026-05-20T04:16:39Z,17
@asqw432,這張專輯真的每一首都很好聽,2026-05-20T10:30:40Z,6
@姓周的V,我彷彿看到了 黑色幽默 怎麼了 錯過的煙火 各種帥氣的杰倫合為一體 滿滿的回憶真感動 讚,2026-05-20T04:52:56Z,22
@Chenec811,"這首歌是我專輯內最愛的一首 喜歡到設為鬧鈴聲~ 充滿現代潮流的一些節奏混音外加周式唱腔與旅行浪漫的壯闊感. 真的有別以往的曲風 超級大愛外  因為這首歌長度才3分初頭 真的就像極光.. 深刻燦爛但卻倏忽即逝.. 很想繼續聽 突然就在聲音越來越模糊漸變到消逝.. 害我一直重覆循環聽好幾次 神奇的事 一點都不膩 很愛那幾句""所有的願望我都留給妳許 我知道我會在妳願望裡""
""傍晚的風替 我們指路
閃爍著幸福 明亮清楚
極光灑滿天 在我們面前 將愛描述 相互依賴著 共渡這一場 浪漫旅途"" ""在我懷裡發呆 我想妳應該明白"" ""愛上妳不意外 像我對妳的依賴"" ... 這首歌真的很讚阿~~~~ 文山歐巴的歌詞也是跳tone的寫出雞皮疙瘩霸氣又浪漫的詞 這對歷史級別在亞洲華人流行音樂創造神話的搭檔 還是一直跟著時代走在最前面.. 已哭😢",2026-05-20T06:29:16Z,22
