Comment_Author,Comment_Text,Comment_Date,Like_Count
@陳佳文-e4r,小蘭聲優遺作 大家一定要去支持啊！,2026-05-21T10:11:12Z,810
@hcghgnhcg680,小蘭聲優的最後一部,2026-05-21T07:33:46Z,434
@kisspin999,不到兩分鐘炸了四次，不愧是柯南劇場版,2026-05-21T09:15:55Z,372
@侑衡吳,日本的小蘭姊姊走了，剩台灣的小蘭姊姊陪著我們,2026-05-21T09:23:03Z,280
@東風離雨,有注意到這次劇場版的人，這次真的不要錯過，這是蘭姊姊聲優陪伴我們的最後一部遺作...,2026-05-21T15:17:40Z,150
@Kozan2783,我會帶著敬意去看的🙏🙏🙏蘭內醬😢😢😢,2026-05-21T08:05:28Z,102
@小小-o9j,最後聽到山崎和佳奈配小蘭的聲音了😢😢😢,2026-05-21T11:07:59Z,98
@林易慶,小蘭日文聲優山崎和佳奈的遺作….😢絕對會去看😭😭😭,2026-05-21T10:02:15Z,89
@Lin_Jie,小蘭原聲優山崎和佳奈的最後一舞了😭,2026-05-21T10:16:58Z,66
@jhang0204,不知道為什麼，這次的主題曲一播出來心裡開始悸動，甚至有點感動,2026-05-21T12:15:02Z,70
@象粉正男,"每年都特別期待柯南劇場版😭
一路好走小蘭配音員😢",2026-05-22T00:03:32Z,40
@林佩錡-l4x,山崎和佳奈小姐過世前最後一部為小蘭配音的名柯劇場版，且看且珍惜😢,2026-05-21T10:19:26Z,40
@書歆林,柯南那一句我來負責拆彈八成讓千速想起了萩原和松田,2026-05-21T23:28:12Z,23
@d.c.n124,米希亞 獻唱主題曲,2026-05-22T00:27:58Z,23
@rick0708,"00:12 類 CB1000F 跟 Bonneville T120 系
00:26 類  CB1300P 日本警隊版
00:38 / 00:49 類 Ninja H2/R 系
00:50 類 NM4-02 混合車型

不過都不重要，每一台都能飛，依然是娛樂性強大的柯南劇場版！",2026-05-21T14:08:11Z,32
@ViviReed,又要去夏威夷學拆炸彈，你乾脆去跟小哀學製藥好了，自己研發解藥，反正我看小哀研究出來了也不會給你,2026-05-21T13:01:53Z,20
@MCkwok-gv6bz,1:03 真的被死神帶走了😢,2026-05-21T10:58:26Z,48
@OdinOu0409,這兩天才複習經典的貝克街的亡靈 與 迷宮的十字路口,2026-05-22T02:30:03Z,11
@明明-h5b,嗚嗚 小蘭姊姊走了 這次是最後一次聽到她的聲音了 所以打算刷很多次😭,2026-05-21T16:13:31Z,13
@嗑畫龍,這是柯南(工藤)救小蘭唯一失敗的一次、無法拯救的一次、也是最後一次了...😢,2026-05-21T13:54:30Z,33
@黃鉅程-e4v,台灣上映要來了！,2026-05-21T07:25:46Z,19
@王紹任おうしょうにん,😢還好我上個月先衝日本三刷，這週再去三刷，六月底再三刷，多聽聽幾次小蘭妹子的聲音😢,2026-05-21T13:48:18Z,8
@權力之望齁勝,台灣人看不懂系列 為什麼摩托車可以上高速公路,2026-05-21T11:37:19Z,54
@曾建超-i6y,6月很忙…可能每個禮拜都要一趟 甚至一趟看兩部了🎬,2026-05-21T10:58:02Z,7
@esft8753,哦！有世良，感覺會有很帥的騎車畫面,2026-05-22T06:41:17Z,3
@台灣黑鮪魚,這角色真的太新了,2026-05-21T17:07:31Z,5
@YiCi-42,杜比的海報很讚耶,2026-05-21T09:58:34Z,5
@譚益森,期待台灣上映囉,2026-05-21T09:16:58Z,6
@chun-qu-chun-you-lai,犯人は毛利小五郎,2026-05-21T15:40:16Z,5
@Chris-oh6ly,支持起來!,2026-05-21T11:59:31Z,5
@卡man賴打,bgm響起，我就落淚了，柯南就是這麼厲害,2026-05-22T11:07:06Z,1
@night-start9,山崎和佳奈老師QQ 我們會想念您,2026-05-23T11:13:46Z,2
@aki-hd5fp,小蘭她 真的被帶走了,2026-05-23T05:58:16Z,2
@君-k9d,覺得近年的主題曲都好好聽，今年的尤其感動🥹❤！,2026-05-26T09:42:21Z,0
@lancization2002,天使和风之女神与你的最后一舞。,2026-05-21T23:23:27Z,5
@chuni-89,一定要去看,2026-05-21T10:07:48Z,5
@白喬娜,小蘭姐姐😭,2026-05-22T09:46:56Z,3
@黃敬哲黃敬哲-o7w,終於來了！,2026-05-21T17:55:45Z,4
@小韓_98,好期待！,2026-05-21T07:36:20Z,6
@annygao2014,必須去支持😭😭😭😭😭,2026-05-22T11:42:51Z,1
@煌自由-z5j,那姐妹花女警是不是驚爆危機追著男女主角過😂,2026-05-22T03:57:44Z,2
@蔣家齊-q4y,願小蘭姐姐在天上看著,2026-05-22T09:33:18Z,1
@封流影,期待這部🎉,2026-05-22T13:45:49Z,1
@QianNiYan,好期待😚,2026-05-25T10:55:09Z,0
@冰嘎ICE,刷起來😢😢,2026-05-27T07:39:10Z,0
@林威誠-y9l,6月24日還有超少女要上映,2026-05-21T08:59:07Z,4
@我是小小國中生,暑假衝去看,2026-05-24T01:40:19Z,0
@Tokyo-Mikey-08,好期待,2026-05-22T14:34:20Z,1
@hrf8272,😢🙏,2026-05-26T12:01:33Z,0
@余仕崴,支持😢,2026-05-22T11:26:11Z,1
@ほろよい-k6o,不用期待推理了！犯罪工具的技術壁壘過高，是簡單地把資金.工程師.訓練ai的騎手.場地這些訓練Ai需要的東西填上的填空題，大倉又很喜歡寫彆腳的商業間諜戲跟黑吃黑劇情來拖時間……m29登場的配角全員惡役😂日本上映前2天預告基本上把情報都給了……,2026-05-22T01:34:58Z,2
@Chth0605,看到警用機車總會想到龜友的本田😂,2026-05-22T04:28:43Z,3
@洪嘉成,好看,2026-05-23T06:49:12Z,0
@安娜貝兒-r6h,Oh No！小蘭！！,2026-05-25T14:51:35Z,0
@edogawaconan4869,墮天使還真的...讓Angel掛了,2026-05-26T10:54:55Z,0
@WuHsinghua,希望最終篇~一次來個12小時的大作= =,2026-05-22T11:56:38Z,1
@郭修齊-w3f,一黑一白的機甲對決，原來是機動警察啊！,2026-05-22T17:24:12Z,0
@MeimeiLiu-f6z,小蘭姐姐😭😭😭😭,2026-05-23T14:43:01Z,0
@MrS8209252000,上周從台中跑去大阪看完了，最後有互動彩蛋,2026-05-23T01:21:13Z,0
@李秉蒝-v5l,想看了,2026-05-26T15:48:10Z,0
@阿呆曾,期待 每年必看的,2026-05-21T10:08:33Z,5
@DudeSF,不知道為啥想到 遊戲王 騎摩托車對決,2026-05-21T13:21:37Z,3
@無量-t6d,終於等到柯南新作品，但最讓我難過的是同時也是山崎和佳奈老師的遺作了,2026-05-23T14:49:12Z,0
@denghuaying,有澤城讚讚讚,2026-05-23T10:49:05Z,0
@RG-uk6wz,"雖然知道電影未來大概都偏爆破動作片了 但是還是希望有推理阿  \\
小蘭聲優最後之作必支",2026-05-26T18:13:22Z,0
@a0983527822,"1:49 
A3海報一組共四款
會不會跟去年一樣
集章兌換呢~",2026-05-21T13:08:06Z,3
@maxsheng9628,意難平😢,2026-05-23T14:28:28Z,0
@chingyang0323,唯一一個跟海賊王比氣長的作品,2026-05-23T11:59:22Z,0
@李秉蒝-v5l,我也是,2026-05-24T11:56:03Z,0
@小羅-w8k,南十字星墮天使,2026-05-26T10:40:39Z,0
@uni-1314,蘭時隔這麼多年又被綁架了嗎😂,2026-05-23T15:29:36Z,1
@JasonLu820,"兇手是
.
.
.
.
.
.
.",2026-05-21T12:30:08Z,6
@dlablo272,過幾年我看就要開太空梭了,2026-05-23T12:59:02Z,0
@陳宥廷-l1q,😅🎉❤,2026-05-26T12:56:44Z,0
@melody6268,所以只有特殊版本有海報嗎？,2026-05-21T12:47:29Z,3
@yungyu,小蘭姐姐 ,2026-05-22T09:30:53Z,1
@張欣琳-v7d,只有我覺得主題曲聽起來幾分像台語歌《必巡》嗎😂,2026-05-24T12:41:33Z,0
@switchsu4578,小蘭聲優遺作，結果又是被綁走的弱勢角色,2026-05-23T16:03:41Z,0
@nfia215,那個束帶這樣束安全帶解得開嗎😂,2026-05-23T15:29:17Z,0
