Comment_Author,Comment_Text,Comment_Date,Like_Count
@andy0623,"奇怪！我聽完怎麼有種熟悉感🤔
聽著聽著就哭了…",2026-05-20T12:19:20Z,1490
@Ipowinwin,這根本是Andy老師的故事呀！洋蔥和Andy老師要來個大合唱版本吧😂,2026-05-21T01:12:20Z,181
@Mio家家,上片時間 直接兩種520欸😎,2026-05-20T02:23:46Z,98
@小湯匙-c3q,旋律有之前玖壹壹當初的感覺😢,2026-05-23T06:17:42Z,56
@RockRecordsTaipei,洋蔥+狗柏！帥上加帥！太酷了啦！大家520快樂！,2026-05-20T09:29:38Z,138
@monalihan,"這個MV應該找ANDY老師拍😂
然後在那間套房拍攝",2026-05-22T12:38:19Z,45
@silverfiber,洋蔥也瘦太多了吧 帥,2026-05-20T09:45:20Z,116
@LofiSadSong-m7n,太好听了我有預感，看到這條評論的人，痘痘會慢慢消下去，皮膚會變白變瘦，吃多不長肥肉，你喜歡的人會向你表白，身邊在乎的人健康長壽，而你心想事成，幸福快樂.,2026-05-23T02:39:24Z,18
@Ot-of5rr,這才是我當初喜歡的玖壹壹,2026-05-26T15:17:39Z,6
@李婕瑜-s1k,狗柏洋蔥是憨憨可愛組嗎,2026-05-20T09:26:53Z,44
@RR-sf8qi,唱給 andy 跟 范姜彥豐的歌...,2026-05-22T04:05:17Z,30
@Angu-s4,從來沒想過會看到洋葱跟狗柏合作，但我很高興這真的發生了，這組合真的神了😂😂,2026-05-20T10:12:32Z,15
@柒柒魚_x7j,愛上家寧 財富歸零,2026-05-24T09:02:12Z,8
@user-05-v5e,夢幻聯動 愛死了TT❤兩個人聲音也好合ㄛ⋯,2026-05-20T09:47:22Z,20
@阿原-o3f,MV是不是有接多力多滋的頁配,2026-05-22T14:00:27Z,33
@DirtyPigParty1006,洋蔥這樣超帥  這首最適合Andy唱,2026-05-27T15:02:09Z,0
@ariel850131,狗柏怎麼可以帥成這樣,2026-05-25T00:36:13Z,4
@joshlee4721,兩人和聲的時候怎麼有在聽動力火車的感覺😂。,2026-05-20T12:07:09Z,21
@cheee,😂太喜歡了啦現在已經聽至少五十次了,2026-05-27T14:45:23Z,0
@echenhaha,這種土味情歌最對味👍🏻👍🏻👍🏻,2026-05-21T04:49:04Z,10
@iaj2251,哇洋蔥變好帥！非常好聽！洋蔥聲音真的很好聽,2026-05-21T05:58:10Z,9
@chipichipichapachapa921,夢幻組合我真的愛死😢,2026-05-20T17:20:23Z,8
@user-ky9ps8py1b,洋蔥也太帥❤❤❤❤,2026-05-20T09:28:36Z,14
@Camellia0725,從hito過來的 超好聽……非常喜歡……愛死這種風格❤️,2026-05-23T19:23:57Z,3
@yixianglin4982,這洋蔥年紀越大越帥！,2026-05-21T02:46:47Z,7
@HsuPeter-o8m,我以為ANDY老師 有合唱,2026-05-27T14:20:36Z,2
@00紅豆小冰,超喜歡那句-早就知安呢,2026-05-22T08:26:28Z,3
@石竣祥,我已經聽十幾遍但還是很好聽,2026-05-21T14:23:37Z,6
@yellowfish44,感謝  有一開始911的調調  喜歡,2026-05-24T04:27:28Z,2
@林家佑-e6o,這個多利多茲我喜歡😂,2026-05-20T11:01:57Z,7
@kisslaba,太好聽了吧！超愛狗柏的！洋蔥也變得超帥！,2026-05-23T05:58:20Z,3
@孫妙旻,超夢幻組合，重點都超帥的，最受歡迎團體，實至名歸，白廳不膩，感動👍,2026-05-21T19:42:34Z,3
@孫添財,冷知識 這是多力多滋的業配,2026-05-21T13:36:08Z,3
@ch_o98,這波夢幻聯動真的超喜歡😍,2026-05-20T10:02:35Z,4
@k0937978089,希望這輩子不要遇到渣女，過來人，經歷過,2026-05-22T16:21:06Z,2
@diegochang725,"520還在聽的
👇",2026-05-20T10:10:52Z,66
@GuXinXuanlu68,有些人即使曾經傷得很深，心裡還是會偷偷想著：如果可以，我甘願重新再愛你一次。〈我甘願重新愛過〉那種不後悔的深情感，真的太讓人鼻酸了。,2026-05-27T00:57:17Z,1
@楊竣麟-h9n,洋蔥唱很有911的Feel，但是中間狗伯出現變成很有美秀的Feel😊😊😊太好聽了，這首歌要說是911還是美秀的歌都毫無違和,2026-05-24T14:57:19Z,1
@Cmkxkxmxm,洋蔥好帥喔,2026-05-21T04:58:29Z,6
@pao-hunglin1212,挖靠  洋蔥變好瘦!!!!!!!!,2026-05-21T14:51:10Z,3
@MrLaughcat1,一開始以為是洋蔥+唐從聖,2026-05-20T19:24:31Z,3
@高莉雯-m7t,有狗柏就是暈,2026-05-21T14:11:26Z,2
@沈昱帆-m6x,洋蔥變好帥,2026-05-20T21:20:38Z,2
@mikemike5581,美秀粉  路過~,2026-05-22T12:51:38Z,2
@thingweichan4774,"跟10年前一样又好像不一样 
人生又要重新来过呢 哭哭🥹",2026-05-20T14:41:28Z,3
@adsl6847,超好聽 可是點閱率提升很慢 狗柏聲音唱台語真好聽,2026-05-22T10:28:40Z,13
@maggiehsu1910,"0:26到0:29
這個音色太美了
好聽到出汁🎉",2026-05-27T06:36:17Z,1
@CHI-bn7pb,"好聽～洋蔥變帥囉
然後這首歌曲真是令人感傷⋯",2026-05-21T06:29:15Z,2
@台仔TaiJaiYT,2026最新神曲🎉,2026-05-20T09:36:55Z,2
@古孟杰-t1x,寫滿了我的感情史,2026-05-20T13:15:55Z,2
@sh9624,狗柏也變太帥了吧...,2026-05-22T17:15:48Z,1
@monalihan,"多利多滋表示無辜😂
新迷因
你個這個香菜偷吃多利多滋",2026-05-22T12:37:31Z,1
@MrAngelthehome,正港台灣男子漢…女馬白勺…洋蔥+狗柏怎麼可以帥成這樣…誰說台灣音樂沒人材…,2026-05-22T13:23:47Z,1
@寶貝雅,好聽 👍,2026-05-26T22:49:49Z,1
@nhatml1461,這是我選擇的路 管他有誰人在乎~,2026-05-27T10:15:06Z,0
@GR-uy5kd,洋蔥跟王士榛寫曲 編曲越來越強了,2026-05-20T09:36:02Z,1
@eightchen,狗柏❤,2026-05-20T13:02:56Z,4
@suitabako,0:28~0:44這段solo吉他旋律讓我雞皮疙瘩..爽...洋蔥+狗柏搭唱起來的整首旋律很慵懶自在唱著歌~這首會中~好聽,2026-05-22T15:35:09Z,2
@agoniwedding,先讚再說！！,2026-05-21T04:11:21Z,3
@杰蟲,好聽 有以前的感覺❤❤,2026-05-20T11:40:47Z,3
@AMAF_翰昇ガイ,捲煙＋癡情男子漢❤完美了🎉,2026-05-26T14:50:02Z,0
@boyapp255,一聽就是會紅的歌,2026-05-25T09:42:27Z,0
@mingmoomoo,夢幻聯動,2026-05-22T14:03:14Z,1
@caseyangel85,神組合,2026-05-22T04:36:50Z,1
@skykociao,我 0:11 的時候在那邊按 CC  想說字幕怎麼沒出現.....,2026-05-20T14:29:46Z,14
@賴柏誠-n4i,"我甘願重新愛過 
不擱再聽你的話
早就知安內 就放給你飛
我實在憨頭 聽你在那豪小
可惜我的青春 
被你賣光光 被你賣光光

你竟然在我生活裡面 無法無天
所有的蛛絲馬跡都在你手機裡面
我想問你到底是 還要不要臉
這段感情到底怎麼往前

你竟敢背對著我偷吃 我多力多滋
都吃到舔手指還裝作 沒發生的事
你說你昨晚很乖 早早就回來
我還不現在跟你翻牌

我又還能怎麼做 我該怎麼說出口
從今以後別聯絡 
再把你公諸於世別怪我

我甘願重新愛過 不擱再聽你的話
早就知安內 就放給你飛
你實在見笑 解釋嘛無卡好
可惜我的人生 被你吃光光

我甘願重新愛過 不擱再給你機會
早就知安內 就別愛太多
我實在憨頭 聽你在那豪小
可惜我的青春 被你賣光光
被你賣光光 被你賣光光 
被你賣光光 被你賣光光

你竟然在我生活裡面 無法無天
訊息最後出現的時間 永遠是昨天
我想問你到底是 在醉幾點
每次說小酌 最後都睡路邊

你竟然背對著我亂來 談情說愛
所有的理由都是怪我 是我活該
早上起來我發現 你還沒回來
別怪我來跟你翻牌

我又還能怎麼錯 不過是走錯入口
從今以後不等候 
這次絕不挽留換我先走

我甘願重新愛過 不擱再聽你的話
早就知安內 就放給你飛
你實在見笑 解釋嘛無卡好
可惜我的人生 被你吃光光

我甘願重新愛過 不擱再給你機會
早就知安內 就別愛太多
我實在憨頭 聽你在那豪小
可惜我的青春 被你賣光光
被你賣光光 被你賣光光 
被你賣光光 被你賣光光",2026-05-25T11:38:20Z,3
@liu2007candice,狗柏的片段還是有美秀的感覺！好讚！,2026-05-20T23:35:40Z,1
@Cih652,合音好頂～～～～,2026-05-23T02:33:06Z,1
@強強17,有的人台面上說的很漂亮⋯檯面下卻惡毒至極⋯心黑透了,2026-05-26T05:23:03Z,0
@kilakila0416,洋蔥 變太帥了 快要認不出來,2026-05-20T17:11:27Z,1
@gas89555978,一樣是911萬年曲風,2026-05-21T15:43:38Z,1
@胡嘉宏-y2g,我希望下次他們合作,2026-05-21T11:49:25Z,1
@施榮泉-l2h,美秀集團,2026-05-23T08:09:21Z,1
@悠悠no,倒數倒數！！,2026-05-20T09:15:22Z,2
@邱歆棻,好愛這首歌❤❤❤這就是玖壹壹的風格,2026-05-24T22:43:44Z,0
@mm-ct7bh,哇靠狗柏變超級帥的,2026-05-20T18:06:09Z,1
@yoyolu6511,洋蔥也變太帥,2026-05-21T09:30:49Z,1
@junjin93,洋蔥越來越瘦耶~,2026-05-23T15:33:43Z,1
@locien44,幹！聽這首的時候我正在吃多力多滋！,2026-05-20T16:39:41Z,1
@楊建華-u8j,"洋蔥的帥度 
依肉眼可見的速度 構成威脅
春風呀～ 門面擔當的地位 危險了
沒事千萬別靠近..  驢子",2026-05-27T05:19:43Z,0
@楊清宇-x8y,真的好好聽唷😊😊😊😊😊😊,2026-05-20T11:43:11Z,2
@毅志力-r6d,好聽，越聽越上頭,2026-05-19T22:46:51Z,1
@袁宛妤,超好聽🫢👍🏻,2026-05-20T08:50:48Z,1
@唐綰綰,讚 合作歌曲,2026-05-22T13:33:44Z,1
@807qi5,洋葱太帅啦~~~~~,2026-05-20T09:27:44Z,2
@juicecccc,洋蔥變好瘦好帥呀～～😂😂聽爆,2026-05-20T09:40:16Z,1
@黃小虎-h6p,"洋蔥變好帥,歌太好聽了，每天聽，百聽不膩🎉",2026-05-24T16:45:34Z,0
@yanglove4556,洋蔥哥 這我,2026-05-24T11:50:30Z,0
@侯雄-i8d,洋蔥大帥哥,2026-05-20T09:51:20Z,2
@Dharm-k2u,"好好聽！兩人的組合也是非常的讚讚！很愛這種曲風～熟悉的曲風回來了～
MV也好看❤",2026-05-21T13:56:09Z,1
@Xiaoxin-s2d,跑步有成功欸！,2026-05-22T11:41:06Z,1
@黑達達,香菜多力多滋,2026-05-20T11:20:57Z,2
@申申-n8d,好聽❤洋蔥加油😊🎉,2026-05-22T17:17:43Z,1
@林暐宸-d2o,洋蔥好帥,2026-05-20T10:54:47Z,1
@chichi9115,"現在看到洋蔥就是想到一鍋出!
越來越帥了~",2026-05-22T04:20:02Z,0
@盧室辰,這洋蔥太帥,2026-05-23T11:39:36Z,0
@_wyuuuu,來看狗柏👍🏻,2026-05-24T14:20:26Z,0
@陳佑昇-k2x,這首歌讓我回到癡情男子漢的年代,2026-05-20T09:44:57Z,0
@向日葵-n4v5k,我的童年跟我的現在的青春,2026-05-20T10:07:25Z,0
@goehkarwin8876,非常意外的好听耶✌🏻,2026-05-23T02:36:47Z,1
@澈嘯,洋蔥好帥!~,2026-05-21T01:23:18Z,1
@偉明-m7q,離譜 這是誰 有夠帥❤,2026-05-20T14:39:25Z,1
@Ablll,911唯一一個有歌手實力的洋蔥,2026-05-20T10:25:55Z,0
@xun.2423,洋蔥好帥✌️愛了愛了🎀,2026-05-20T11:09:08Z,1
@ipis71111,夢幻聯動~一首不夠,2026-05-22T02:37:29Z,0
@鍾佩婷-k6f,好聽！,2026-05-25T15:16:46Z,0
@harllysynfu5980,洋蔥瘦了 酷....,2026-05-20T14:22:32Z,0
@five5wood,怎麼那麼好聽,2026-05-22T06:39:24Z,0
@Chang-Angelo,這首歌 我的路  影子好重...,2026-05-20T12:27:32Z,0
@Peculiar音樂,洋蔥好棒！,2026-05-20T10:26:11Z,1
@flyfish061,本已多年不聽台灣樂壇的歌了，但這次真的好聽！,2026-05-20T11:50:05Z,0
@user-ky9ps8py1b,每天都在狂聽,2026-05-22T06:42:30Z,0
@AKBIDFSKY,滿滿香菜多力多滋,2026-05-25T11:49:55Z,1
@林志偉-c7d,就是這個味道👍,2026-05-23T18:11:35Z,0
@括約肌,另類的動力火車,2026-05-20T12:15:53Z,1
@沈昱帆-m6x,一開始預告出來的時候我就喜歡這首了！🎉🎉🎉🎉🎉,2026-05-20T21:10:04Z,0
@黃傑-r7o,狗柏跟洋蔥實在太合了❤,2026-05-21T00:57:12Z,0
@FlyOnTheClouds,太瘦了吧~~~,2026-05-22T05:46:11Z,1
@kuo4137,哇喔！好聽喔！,2026-05-20T09:27:40Z,1
@陳冠豪-q6v,洋蔥的衣服10000000分,2026-05-21T05:52:59Z,0
@文文-b9h,期待好久的夢幻聯動 終於😢,2026-05-20T10:50:01Z,0
@銘崑,又一神曲,2026-05-20T10:51:34Z,1
@alanliu5551,吼你沒鳥鳥 一直環繞 是正常的嗎,2026-05-20T09:31:23Z,2
@saveqq9020,好愛❤,2026-05-20T10:27:18Z,1
@user-ky9ps8py1b,聽第N次,2026-05-24T09:54:28Z,0
@艾格-iger,好久沒聽911了❤,2026-05-20T23:45:45Z,0
@cheng300KK,希望錢櫃可以趕快上❤❤❤,2026-05-21T03:55:52Z,0
@zongcheng30,好聽,2026-05-20T09:56:02Z,0
@帥哥-s6h,金曲獎水準...😍😍,2026-05-20T09:36:14Z,0
@jou7439,旋律滿熟悉的,2026-05-21T15:53:17Z,0
@小樹蛙-y8o,愛你們😭❤️,2026-05-20T11:55:31Z,0
@yuchiaoshiao1009,"這是一首讚歌❤
520快樂",2026-05-20T10:43:01Z,0
@g045016123,神仙組合❤️,2026-05-21T07:44:41Z,0
@tropicalfruitXfishing,我愛你,2026-05-20T10:34:44Z,0
@shinway0726,變超帥,2026-05-22T00:55:19Z,0
@assi8082,這組合太太太讚了❤❤❤超爆帥,2026-05-21T03:49:56Z,0
@roooruo,好開心好開心❤❤,2026-05-20T09:22:35Z,0
@林潔-e6b,"洋蔥和狗伯都超好聽的，mv也都超好看的最後影片有520好酷喔👍👏😍
原來是上片時間跟日期2個都是一樣的🤣😂",2026-05-20T09:34:53Z,1
@LØUIS1-Y-728,夢幻連動 太棒了吧,2026-05-21T10:39:05Z,0
@謝正南-i2i,520後總是會變521,2026-05-21T00:25:48Z,0
@panda-bd3bd6bd9,想到被超自私的人偷來暗去騙到害到,2026-05-20T13:23:13Z,0
@郝實在,洋蔥瘦了耶!  聽了很有感 好聽👏,2026-05-22T00:57:35Z,0
@游信得-g8x,❤❤❤就是好聽 ❤❤❤,2026-05-20T23:27:08Z,1
@jnyjohnny9442,為今年的南北二路鋪路🎉,2026-05-20T11:24:49Z,0
@Kiwi-j7,超好聽😭❤,2026-05-20T17:16:38Z,0
@羅啟宜,新影片😍😍😍,2026-05-24T00:34:28Z,0
@星羽陽,超愛這首 太強了,2026-05-21T20:50:59Z,0
@呂政彥-z6e,夢幻連動,2026-05-21T08:52:12Z,0
@Hochchuan,🎉😢😮😅😊❤❤❤❤❤太好聽,2026-05-26T13:23:19Z,0
@黃翔文-c8n,霸軒唱歌真好聽,2026-05-20T11:12:12Z,0
@a456789541,我最愛的組合耶！😍,2026-05-20T10:20:57Z,0
@liuliu3805,洋蔥520快樂❤,2026-05-20T09:46:37Z,0
@JWChen-e1u,期待今年演唱會了!,2026-05-20T11:23:59Z,0
@maybadyf,真的很好聽,2026-05-20T09:30:13Z,0
@dinosaur02,好聽欸🤩，520快樂❤️,2026-05-20T09:30:20Z,0
@a0956723885,好聽到不行,2026-05-20T02:50:45Z,0
@y59861,有料餒,2026-05-25T13:56:53Z,0
@shanon_chill,夢幻聯動，好喜歡喔❤❤❤❤,2026-05-20T09:43:25Z,0
@ap_i1019,愛了,2026-05-20T01:34:20Z,1
@Evannnnn.,瘋掉 超好聽🔥,2026-05-20T18:02:52Z,0
@时间节拍Melody,雖然我們是陌生人，但是我們看見的都是同一個月亮，同一片夜空。願你們的每一天都過得有意義又精彩。不好的都過去了，迎來的是一陣全新的清風，全新的一天。無論你身在哪兒，都會有人為你打氣，即使是陌生人。加油～,2026-05-21T01:41:38Z,0
@邱永勝-q6l,有狗柏就是讚,2026-05-20T11:16:03Z,0
@沈昱帆-m6x,這首新歌我喜番🎉,2026-05-20T21:12:13Z,0
@孫韻涵Daisy,OMG超好聽的😍🎉一直重複聽😊❤,2026-05-20T09:43:47Z,0
@蔡孟宏-q3b,這首是多力多滋香菜口味的主題曲嗎,2026-05-22T01:00:37Z,0
@cheee,真酷的組合,2026-05-20T11:38:51Z,0
@danieltan000,哇😮洋葱瘦了好多啊🎉🎉,2026-05-23T11:14:34Z,0
@di-cb6me,❤❤❤,2026-05-20T14:06:14Z,0
@RF0729haley,超好聽❤,2026-05-20T09:38:14Z,0
@sansui-b2g2f,超好聽,2026-05-20T09:19:19Z,0
@xi-iq2nn,夢幻聯動！,2026-05-20T09:21:56Z,0
@波小卡,洗腦又好聽，喜歡,2026-05-20T15:50:08Z,0
@CHINAGGBoy,520快乐❤,2026-05-20T10:44:14Z,0
@楊承-y7z,超好聽🤩🤩,2026-05-20T09:56:13Z,0
@adversityisurfriend,我還以為是唐從聖..XD,2026-05-22T18:57:37Z,2
@roooruo,好帥喔天啊！！,2026-05-20T09:25:35Z,0
@r-new8681,洋蔥可以單飛,2026-05-20T09:48:06Z,0
@皇極道,可樂果 蔥辣,2026-05-20T15:49:21Z,0
@Jatoudau_76,😮😮😮,2026-05-22T11:44:20Z,1
@王亭-b7e,簽到,2026-05-20T09:23:53Z,1
@xi-iq2nn,有夠讚！❤❤,2026-05-20T09:21:35Z,0
@爽文011,太棒了吧!,2026-05-20T09:37:03Z,1
@心烈,夢幻連動 超好聽 洋蔥帥慘🎉,2026-05-19T23:45:13Z,0
@莊老-l9b,Andy老師～～,2026-05-26T17:01:55Z,0
@陳千華,愛了~ 跟狗柏ㄟ,2026-05-24T14:41:48Z,0
@DJ-最强音乐趋势来了,洋蔥也瘦太多了吧 帥,2026-05-20T21:55:39Z,3
@KIRIN_7-z8z,有狗柏就是讚,2026-05-21T14:07:44Z,1
@品蓁-x7m,夢幻連動,2026-05-21T17:59:36Z,0
@cheee,好好聽,2026-05-22T09:45:50Z,0
@張家維-i6s,超好聽❤❤❤,2026-05-21T03:49:17Z,0
@moonbabydj,洋蔥也太帥❤❤,2026-05-20T09:39:51Z,1
@欒潔熙-w9z,超好聽的😍,2026-05-20T10:17:09Z,0
@許赫宸,超好聽,2026-05-20T10:49:02Z,0
@張施工,好聽,2026-05-20T12:09:33Z,0
@cheee,❤❤❤❤,2026-05-23T17:54:23Z,0
@yeeyo69878,簽到,2026-05-20T09:31:16Z,0
@蔡昀珊-s4z,好聽❤,2026-05-27T13:59:06Z,0
@user-ky9ps8py1b,超級好聽,2026-05-20T16:39:46Z,0
@911_nineoneone_borman_local,好聽,2026-05-21T01:53:25Z,0
@RiceCake3785,好聽❤,2026-05-27T14:41:30Z,0
@GR-uy5kd,好聽！！這首有中,2026-05-20T09:33:53Z,0
@沒自信-n2r,超好聽,2026-05-19T21:44:47Z,0
@rrrbb-i6q,讚的讚的!!超好聽啦~,2026-05-20T09:41:09Z,0
@sdfg16357,520超讚👍👍👍,2026-05-20T11:35:45Z,0
@MingtingJian,好聽,2026-05-20T09:23:02Z,0
@evanteoh9409,好听,2026-05-26T16:15:18Z,0
@user-ky9ps8py1b,超愛啊啊啊啊啊啊❤❤❤,2026-05-20T09:28:30Z,0
@林政甫-c8h,愛了,2026-05-20T10:14:09Z,0
@陳芸睫,🎉🎉🎉啊啊啊好帥,2026-05-20T09:19:40Z,0
@周敬昇-r5u,會紅 加油!!!!,2026-05-20T11:24:30Z,0
@owoz_z_z,❤❤❤,2026-05-20T14:05:11Z,0
@おの0832,不錯❤,2026-05-20T10:14:05Z,0
@黎安怡-z5u,超級好聽讚,2026-05-20T15:52:40Z,0
@johnlu9428,MV 要ft 粿王啊 才會爆,2026-05-21T16:03:22Z,0
@a456789541,有夠讚,2026-05-20T10:15:24Z,0
@dancer_leo,❤,2026-05-20T09:36:36Z,0
@謝宗源-j9q,變好瘦!,2026-05-20T10:41:45Z,0
@jibaila,發瘋了,2026-05-20T01:40:59Z,0
@chenyeh7619,瘦洋蔥帥,2026-05-21T02:41:39Z,0
@huachen9285,來了！,2026-05-20T09:27:55Z,0
@Achai.0227,帥,2026-05-20T17:32:22Z,0
@蔡彧安-d1m8w,🎉🎉🎉🎉,2026-05-25T19:37:13Z,0
@day_by_day_,❤️❤️❤️,2026-05-20T09:22:49Z,0
@沈昱帆-m6x,🎉讚🎉,2026-05-20T21:09:41Z,0
@阿仁耍廢短影片,讚！,2026-05-20T09:48:21Z,1
@21陳崇元,🔥🔥🔥,2026-05-20T13:01:46Z,0
@李圓圓-k7m,❤❤,2026-05-20T09:27:41Z,0
@xi-iq2nn,🎉🎉🎉,2026-05-20T09:26:44Z,0
