Comment_Text,Source_Row_Index,CKIP_Analysis_Text,CKIP_Matched_Pairs,CKIP_Matched_Pair_Count,CKIP_Matched_Sentences
as always aespa being unique without changing themselves,0,一如既往，aespa 獨一無二，不改變自己,,0,
"it’s like WHIPLASH and SPICY had a child, love it",1,就像 WHIPLASH 和 SPICY 有了一個孩子一樣，喜歡它,孩子|一樣; 孩子|喜歡,2,就 像  WHIPLASH  和  SPICY  有 了 一 個 孩子 一樣 ， 喜歡 它
sm finally remembered they have rappers in their ggs,2,sm終於想起來他們的gg裡還有rapper,,0,
"Finally a song to put on loop for 24 hours straight after so long 

Aespa saved Kpop with Lemonade",3,"這麼久之後終於有一首可以連續24小時循環播放的歌曲了

Aespa 用檸檬水拯救了韓國流行音樂",小時|連續; 循環|連續; 檸檬水|流行; 音樂|流行,4,這麼 久 之後 終於 有 一 首 可以 連續 24 小時 循環 播放 的 歌曲 了 || Aespa  用 檸檬水 拯救 了 韓國 流行 音樂
"i love this 1960's-ish scenery and outfits, aespa being different and unique as always",4,我喜歡這個 1960 年代的風景和服裝，aespa 一如既往地與眾不同和獨特,服裝|一如既往; 服裝|與眾不同; 風景|一如既往,3,我 喜歡 這 個  1960  年代 的 風景 和 服裝 ， aespa  一如既往 地 與眾不同 和 獨特
spicy's energy + whiplash's attitude + supernova's chaos = lemonade 🍋,5,辣的能量+鞭打的態度+超新星的混亂=檸檬水🍋,態度|混亂; 新星|混亂; 檸檬水|混亂; 能量|辣,4,辣 的 能量 + 鞭打 的 態度 + 超 新星 的 混亂 = 檸檬水 🍋
"EVERYONE who is responsible for the production, filming, editing and directing should be given a raise because DAMN they did an amazing job!!",6,每個負責製作、拍攝、編輯和導演的人都應該得到加薪，因為他們做得太棒了！,,0,
aespa's songs are always my favorite,7,aespa的歌一直是我的最愛,,0,
""" I'll take my karma straight, I'll make it lemonade "" is officially my life motto now, period",8,「我會正視我的業力，我會把它做成檸檬水」現在正式成為我的人生座右銘，句號,人生|正式; 座右銘|正式; 檸檬|正式; 水|正式,4,「 我 會 正視 我 的 業力 ， 我 會 把 它 做成 檸檬 水 」 現在 正式 成為 我 的 人生 座右銘 ， 句號
"I love how this era all the girls had their moment in the spotlight, they all shone so brightly.",9,我喜歡這個時代所有女孩在聚光燈下的時刻，她們都閃閃發光。,女孩|喜歡; 時代|喜歡; 時刻|閃閃發光,3,我 喜歡 這 個 時代 所有 女孩 在 聚光燈 下 的 時刻 ， 她們 都 閃閃發光
