Comment_Author,Comment_Text,Comment_Date,Like_Count
@rednyz,as always aespa being unique without changing themselves,2026-05-29T16:38:34Z,3091
@gonchiii,"it’s like WHIPLASH and SPICY had a child, love it",2026-05-29T13:34:33Z,13340
@potato_chip01,sm finally remembered they have rappers in their ggs,2026-05-29T06:18:37Z,20230
@HeeseungStanForever,"Finally a song to put on loop for 24 hours straight after so long 

Aespa saved Kpop with Lemonade",2026-06-02T13:06:53Z,32
@aerigeddon,"i love this 1960's-ish scenery and outfits, aespa being different and unique as always",2026-05-29T04:45:41Z,5847
@vid6804,spicy's energy + whiplash's attitude + supernova's chaos = lemonade 🍋,2026-05-29T04:39:18Z,14558
@æ닝닝,"EVERYONE who is responsible for the production, filming, editing and directing should be given a raise because DAMN they did an amazing job!!",2026-05-30T06:41:05Z,7453
@littlejessica9668,aespa's songs are always my favorite,2026-06-02T07:11:19Z,39
@SitiAisyahUmrah,""" I'll take my karma straight, I'll make it lemonade "" is officially my life motto now, period",2026-05-29T10:07:39Z,7722
@joybestgirlfr,"I love how this era all the girls had their moment in the spotlight, they all shone so brightly.",2026-05-30T01:05:53Z,867
@Nabisonyeo_ss,aespa really is THAT group,2026-05-29T04:37:31Z,3637
@littlejessica9668,We need to vote for music show wins.,2026-06-02T13:53:48Z,31
@spvcemagic,Their retro outfits are so elegant and suit them so much now I want a retro concept,2026-05-29T14:50:45Z,1009
@dinodinosaur0211,Winter's rap line is so satisfying on first verse,2026-05-29T04:04:49Z,3454
@vxrycn,winter rapping is something i never knew i needed so badly,2026-05-29T04:34:26Z,6317
@Miz-w8x,"커하미쳤네
국내 어떤 걸그룹도 음악력과 그룹 시너지로 이런 폼을 보여준적 없다고 생각함",2026-06-02T16:55:21Z,17
@CaptainElijahAviation,This is that loud aespa that I’ve been so desperate to get back omg. SM this is how you utilize vocalists and rappers,2026-05-29T10:38:30Z,1037
@keizzzy,AESPA IS TOO ICONIC,2026-06-02T07:13:29Z,215
