Comment_Text,Source_Row_Index,CKIP_Analysis_Text,CKIP_Matched_Pairs,CKIP_Matched_Pair_Count,CKIP_Matched_Sentences
COME MY WAY right here: ➡ https://mmusicrecords.lnk.to/comemyway ⬅,0,來吧：➡ https://mmusicrecords.lnk.to/comemyway ⬅,,0,
"I'm from Korea, and I love this! 🇰🇷❤",1,我來自韓國，我喜歡這個！ 🇰🇷❤,,0,
Số người vẫn cày cho tới thời điểm hiện tại 👇,2,至今仍在耕種的人數👇,,0,
"more of this pls🙏
Afrobeat to the world 🌍
you've earned a new fan",3,"更多這個請🙏
非洲節奏走向世界🌍
你贏得了一位新粉絲",粉絲|新,1,你 贏得 了 一 位 新 粉絲
"Cày từ lúc ra đến bây giờ😢
Xin 1 cánh tay cho những người vẫn âm thầm cày nàooooooooooooo🎉",4,"從一開始耕耘到現在😢
請為還在默默耕耘的人們伸出援手🎉",,0,
"Mới đọc báo Hypebest, Forbes viết về Tùng, càng thêm hãnh diện về anh. Sky hãy tiếp tục ủng hộ Tùng nhé!!!",5,剛讀到Hypebest報紙，《富比士》就寫到了Tung，讓他更為他感到驕傲。 Sky，請繼續支持Tung！ ！ ！,,0,
"De la France, avec amour. J’ai été séduit par la mélodie dès la première fois que je l’ai entendue par hasard.",6,來自法國，充滿愛。當我第一次偶然聽到它的時候，我就被它的旋律所吸引。,,0,
"Nice one Son Tung, AfroBeat pass ❤",7,Son Tung 不錯，AfroBeat 通行證❤,通行證|不錯,1,Son Tung  不錯 ， Afro Beat  通行證 ❤
"hay thật sự, ngày nào cũng phải vô nghe vài lần mới chịu nổi",8,或者說真的，每天都要聽好幾遍才能受得了,,0,
"Tính ra view ngày lên 2tr là đỉnh đó bây, mấy sao quốc tế giờ ra nhạc , cũng có 4-5tr view 1 ngày nên là sơn tùng vậy là giỏi roiii🎉",9,估計一天200萬播放量是頂峰，現在國際明星都發音樂了，一天播放量也有4-500萬，真的很棒🎉,,0,
"Số người còn đang cày 
👇",10,"仍在耕地的人數
👇",,0,
From Spain. This is truly a great song ! 🇪🇦🇪🇦🇻🇳🇻🇳,11,來自西班牙。這確實是一首很棒的歌曲！ 🇪🇦🇪🇦🇻🇳🇻🇳,歌曲|棒,1,這 確實 是 一 首 很 棒 的 歌曲
Số người vẫn cày view cho sếp ❤,12,還在看boss的人數❤,,0,
Afrobeat begin in Africa to Vietnam 🇻🇳 woow,13,Afrobeat 從非洲開始到越南🇻🇳 哇,,0,
本当に驚きました。世界で最も人通りが多いと言われる新宿の交差点に行ったのですが そこでたくさんの外国人がMTPとしてあなたのことを知っていて 憧れ ていました。 🎉,14,我真的很驚訝。我去了新宿的一個十字路口，據說是世界上最繁忙的十字路口，那裡很多外國人都知道你是MTP，而且很佩服你。 🎉,外國人|知道,1,我 去 了 新宿 的 一 個 十字路口 ， 據說 是 世界 上 最 繁忙 的 十字路口 ， 那裡 很多 外國人 都 知道 你 是 MTP ， 而且 很 佩服 你
"新曲が素晴らしく、またソントゥンにハマっています！
今日は仕事帰りにベトナム語入門の本を買いました、これから本格的にベトナム語を勉強するつもりです🇻🇳♡
日本から応援しています！",15,"新歌太棒了，我又迷上宋東了！
今天下班回家買了越南語入門書，打算從現在開始認真學越南語🇻🇳♡
我們在日本為你加油！",新歌|棒; 越南語|認真,2,新歌 太 棒 了 ， 我 又 迷上 宋東 了 || 今天 下班 回家 買 了 越南語 入門書 ， 打算 從 現在 開始 認真 學 越南語 🇻🇳♡
Ủa gần 1 ngày rồi mà vẫn thấy đứng yên ở mốc 23tr trời. Ae ơi cày đê 😗,16,已經快一天了，我仍然看到它站在 2300 萬大關上。嘿夥計們，繼續耕耘吧😗,,0,
Big fan of amapiano,17,阿皮亞諾的忠實粉絲,粉絲|忠實; 阿皮亞諾|忠實,2,阿皮亞諾 的 忠實 粉絲
"U40 nhưng cày được 79 view từ hôm qua đến giờ, vẫn không nhận được 1 like từ sky 😊",18,U40昨天到現在已經有79次瀏覽了，還沒收到來自天空的1個讚😊,,0,
Saludos desde España 🇪🇸,19,來自西班牙的問候🇪🇸,,0,
Muốn mọi điều tốt đẹp nhất. Sẽ đến với cậu ấy. 1 người tôi luôn yêu thich và ngưỡng mộ.,20,想要一切都最好。會來找他。一個我一直喜歡和敬佩的人。,人|喜歡,1,一 個 我 一直 喜歡 和 敬佩 的 人
"인기곡 목록에서 이 노래를 발견했는데, 들어볼 만한 가치가 충분했어요. 완전히 빠져버렸어요!",21,我在流行歌曲排行榜上發現了這首歌，非常值得一聽。我完全著迷了！,排行榜|流行; 歌|值得; 歌曲|流行,3,我 在 流行 歌曲 排行榜 上 發現 了 這 首 歌 ， 非常 值得 一 聽
I love TYGA!!!!! NIce video love it!! SON TUNG M-TP IS AMAZING TOO!!!,22,我愛泰嘉！ ！ ！ ！不錯的影片很喜歡！ ！ SON TUNG M-TP 也太棒了！ ！ ！,影片|不錯; 影片|喜歡,2,不錯 的 影片 很 喜歡
"You’re awesome, amazing, fantastic, excellent, brilliant, wonderful, incredible, top-notch….",23,你太棒了，太棒了，太棒了，太棒了，太棒了，太棒了，太棒了，太棒了，太棒了，太棒了…,,0,
"3/6/2026 còn ai cày nữa không, tui vẫn ngày chục lần nha.",24,2026年6月3日 別人犁地，我還是一天犁十次。,,0,
The rap part in this song is really catchy. Love it !!,25,這首歌的rap部分真的很朗朗上口。愛它 ！ ！,,0,
"Its very amazing that one song has african beats, Asian voice and American rap, Traw did it this time ❤🎉",26,非常神奇的是，一首歌曲有非洲節奏、亞洲聲音和美國說唱，Traw 這次做到了❤🎉,,0,
Kêu cả cty cày hoài mà không được 100 tym từ sky sao 😭,27,叫全公司努力工作卻還是沒有拿到天上的100泰姆😭,,0,
Kenh Cee Jay nói rất hay. Cảm ơn Cee Jay. Cảm ơn sếp Tùng đã mang văn hóa Việt Nam ra thế giới. Rất tự hào. 😊,28,Kenh Cee Jay 說得很好。謝謝你，傑伊。感謝董老闆將越南文化帶給世界。非常自豪。 😊,文化|感謝; 老闆|感謝; 董|感謝,3,感謝 董 老闆 將 越南 文化 帶給 世界
Saludos desde Colombia 🇨🇴,29,來自哥倫比亞的問候🇨🇴,,0,
"From iraq, i really liked this song so much, i love son tung and vietnam ❤
🇮🇶❤🇻🇳",30,"來自伊拉克，我真的非常喜歡這首歌，我愛兒子同和越南❤
🇮🇶❤🇻🇳",歌|喜歡,1,來自 伊拉克 ， 我 真的 非常 喜歡 這 首 歌 ， 我 愛 兒子 同 和 越南 ❤
