Comment_Author,Comment_Text,Comment_Date,Like_Count
@Sontungmtp,COME MY WAY right here: ➡ https://mmusicrecords.lnk.to/comemyway ⬅,2026-05-27T05:19:55Z,29175
@ned-vibes,"I'm from Korea, and I love this! 🇰🇷❤",2026-06-02T05:41:07Z,814
@haochuofficial,Số người vẫn cày cho tới thời điểm hiện tại 👇,2026-06-02T16:15:30Z,676
@stevenchristopher2384,"more of this pls🙏
Afrobeat to the world 🌍
you've earned a new fan",2026-06-01T11:04:01Z,743
@NamHoang-ip1qz,"Cày từ lúc ra đến bây giờ😢
Xin 1 cánh tay cho những người vẫn âm thầm cày nàooooooooooooo🎉",2026-06-03T05:46:59Z,32
@nhonho-y4x,"Mới đọc báo Hypebest, Forbes viết về Tùng, càng thêm hãnh diện về anh. Sky hãy tiếp tục ủng hộ Tùng nhé!!!",2026-06-02T02:49:27Z,765
@o1kn-w1j,"De la France, avec amour. J’ai été séduit par la mélodie dès la première fois que je l’ai entendue par hasard.",2026-05-31T15:44:43Z,1044
@adeyemovictor,"Nice one Son Tung, AfroBeat pass ❤",2026-06-02T17:36:22Z,165
@ChuSang-u7c,"hay thật sự, ngày nào cũng phải vô nghe vài lần mới chịu nổi",2026-06-03T01:43:41Z,16
@GiaQuách-b2x,"Tính ra view ngày lên 2tr là đỉnh đó bây, mấy sao quốc tế giờ ra nhạc , cũng có 4-5tr view 1 ngày nên là sơn tùng vậy là giỏi roiii🎉",2026-06-02T17:44:50Z,166
@shi-2M,"Số người còn đang cày 
👇",2026-05-31T09:03:10Z,11954
@Yeudh38rvh3jsu,From Spain. This is truly a great song ! 🇪🇦🇪🇦🇻🇳🇻🇳,2026-06-01T14:53:28Z,833
@Kinhvu-bestflo,Số người vẫn cày view cho sếp ❤,2026-06-03T05:00:08Z,67
@JAYSUPERSTARock,Afrobeat begin in Africa to Vietnam 🇻🇳 woow,2026-06-01T13:56:29Z,713
@とみやす1911,本当に驚きました。世界で最も人通りが多いと言われる新宿の交差点に行ったのですが そこでたくさんの外国人がMTPとしてあなたのことを知っていて 憧れ ていました。 🎉,2026-05-31T14:42:12Z,1062
@73miharu,"新曲が素晴らしく、またソントゥンにハマっています！
今日は仕事帰りにベトナム語入門の本を買いました、これから本格的にベトナム語を勉強するつもりです🇻🇳♡
日本から応援しています！",2026-06-02T12:59:57Z,463
@phamthanhtung9100,Ủa gần 1 ngày rồi mà vẫn thấy đứng yên ở mốc 23tr trời. Ae ơi cày đê 😗,2026-06-03T04:38:54Z,31
@hakimiug,Big fan of amapiano,2026-06-01T11:09:32Z,622
@hoanhdothac3812,"U40 nhưng cày được 79 view từ hôm qua đến giờ, vẫn không nhận được 1 like từ sky 😊",2026-05-29T08:32:42Z,21873
@LaLunaNest,Saludos desde España 🇪🇸,2026-06-01T18:03:14Z,665
