Comment_Text,Source_Row_Index,CKIP_Analysis_Text,CKIP_Matched_Pairs,CKIP_Matched_Pair_Count,CKIP_Matched_Sentences,Stage1_Relevance_Score,Gemini_Emotion,Gemini_Reason,Gemini_Model
정말 개성 있고 인상적인 음악이네요. @SON TUNG M-TP님의 이 노래를 너무 좋아해요!,38,這確實是一種獨特而令人印象深刻的音樂。 @SON TUNG 我非常喜歡M-TP的這首歌！,人|深刻; 人|獨特; 印象|深刻; 印象|獨特; 歌|喜歡; 音樂|深刻,6,這 確實 是 一 種 獨特 而 令 人 印象 深刻 的 音樂 || @SON TUNG  我 非常 喜歡 M-TP 的 這 首 歌,3,興奮,表達對歌手與歌曲的喜,gemini-3.1-flash-lite
The song is beautiful and impressive. I think it will thrive in Habhf in many countries🎉,63,這首歌優美而令人印象深刻。我認為它會在許多國家的 Habhf 蓬勃發展🎉,人|優美; 人|深刻; 印象|優美; 印象|深刻; 國家|蓬勃; 歌|優美,6,這 首 歌 優美 而 令 人 印象 深刻 || 我 認為 它 會 在 許多 國家 的  Habhf  蓬勃 發展 🎉,2,期待,看好歌曲在國際的發展,gemini-3.1-flash-lite
Có ai thấy nhạc cuối bài vừa yên bình vừa có chút buồn không nhỉ,72,還有人覺得這首歌結尾的音樂既平靜又有點悲傷嗎？,人|覺得; 歌|平靜; 歌|覺得; 結尾|平靜; 結尾|覺得; 音樂|平靜; 音樂|悲傷,7,還 有 人 覺得 這 首 歌 結尾 的 音樂 既 平靜 又 有點 悲傷 嗎,2,感動,感受到音樂中的平靜與,gemini-3.1-flash-lite
3:35 sáng vẫn còn cày view mặc dù ko ai like cmt 😢,133,凌晨 3:35 儘管沒有人喜歡這則評論，但仍在觀看😢,人|喜歡; 評論|喜歡,2,凌晨  3:35   儘管 沒有 人 喜歡 這 則 評論 ， 但 仍 在 觀看 😢,2,反諷,自嘲刷榜卻沒人按讚,gemini-3.1-flash-lite
1:03  Many of us love this song; I think that in 7 days we'll reach 100 million views on this video.,135,1:03 我們很多人都喜歡這首歌；我認為 7 天內我們的影片觀看次數將達到 1 億。,人|喜歡; 歌|喜歡,2,1:03   我們 很多 人 都 喜歡 這 首 歌,2,期待,預測歌曲能快速破億,gemini-3.1-flash-lite
"Come my way thuộc thể loại Afrobeats, mà ở Việt Nam không phổ biến thể loại này nên có người không thấy hay cũng không gì là lạ . Lúc Sơn Tùng làm bài này chắc chắn cũng biết thừa sẽ có người không thích. Nhưng đó là điểm t thích ở Sơn Tùng, dám thay đổi, dám thử, dám làm, mang âm nhạc Việt Nam ra thế giới. Nhìn come my way lọt top trending ở nước ngoài là biết ngay. Và yên tâm đây chỉ mà món mở màn cho album thôi, 2 năm không ra nhạc để chuẩn bị rồi thì không gì phải lo lắng cả, tận hưởng thôi",136,《Come My Way》屬於非洲節奏音樂類型，在越南並不流行，所以有些人覺得它不有趣也就不足為奇了。當孫同寫這篇文章時，他一定知道會有人不喜歡它。但這就是我喜歡Son Tung的地方，敢於改變，敢於嘗試，敢於行動，將越南音樂推向世界。只要看看《Come My Way》了解國外的熱門趨勢，您就會立即知道。請放心，這只是專輯的開場曲，經過兩年沒有發布音樂的準備，沒有什麼可擔心的，只是享受它。,人|喜歡; 人|有趣; 人|流行; 人|知道; 人|覺得; 地方|喜歡; 專輯|放心; 文章|知道; 趨勢|熱門,9,《 Come  My  Way 》 屬於 非洲 節奏 音樂 類型 ， 在 越南 並 不 流行 ， 所以 有 些 人 覺得 它 不 有趣 也 就 不足為奇 了 || 當 孫同 寫 這 篇 文章 時 ， 他 一定 知道 會 有 人 不 喜歡 它 || 但 這 就 是 我 喜歡 Son  Tung 的 地方 ， 敢於 改變 ， 敢於 嘗試 ， 敢於 行動 ， 將 越南 音樂 推向 世界 || 只要 看看 《 Come  My  Way 》 了解 國外 的 熱門 趨勢 ， 您 就 會 立即 知道 || 請 放心 ， 這 只 是 專輯 的 開場曲 ， 經過 兩 年 沒有 發布 音樂 的 準備 ， 沒有 什麼 可 擔心 的 ， 只是 享受 它,2,感動,佩服歌手勇於創新的精,gemini-3.1-flash-lite
"Theo dõi Sơn Tùng M-TP nhiều năm mới thấy hiếm ai giữ được sức hút như vậy. Từ âm nhạc tới cách làm showbiz đều có chất riêng. Come My Way mới chỉ teaser thôi mà đã khiến mình rùng mình nhiều lần, cảm giác lần comeback này sẽ rất khác 👀! Chúc cho bài nhạc được top 1 trending nhanh nhất Việt Nam ❤❤❤",188,跟隨Son Tung M-TP多年後，我發現很少人能保持這樣的魅力。從音樂到演藝風格，一切都有自己的特質。 《Come My Way》雖然只是預告片，但已經讓我顫抖了很多次，我覺得這次的回歸會很不一樣👀！祝這首歌成為越南最快流行歌曲第一名❤❤❤,人|這樣; 歌|快; 歌|流行; 歌曲|快; 歌曲|流行; 魅力|這樣,6,跟隨 Son  Tung  M-TP 多 年 後 ， 我 發現 很少 人 能 保持 這樣 的 魅力 || 祝 這 首 歌 成為 越南 最 快 流行 歌曲 第一 名 ❤❤ ❤,2,期待,對新專輯與回歸感到興,gemini-3.1-flash-lite
The familiar afrobeat melody and tone have made this song incredibly addictive. Gotcha hopes this song goes viral worldwide.,199,熟悉的非洲節奏旋律和音調讓這首歌令人難以置信地上癮。 Gotcha 希望這首歌能在全世界流行起來。,人|上癮; 歌|上癮; 歌|希望; 歌|流行,4,熟悉 的 非洲 節奏 旋律 和 音調 讓 這 首 歌 令 人 難以置信 地 上癮 || Gotcha  希望 這 首 歌 能 在 全 世界 流行 起來,2,期待,希望歌曲能全球爆紅,gemini-3.1-flash-lite
Có ai chờ từ phút từng  giờ từng ngày MV mới của sếp như mình không nhà. Ae mình ơi cày view nào 🎉...,214,有沒有人像我一樣無家可歸，每一分鐘、每一個小時、每一天都在等待你老闆的新MV？大家好，讓我們來看看吧🎉...,人|一樣; 人|無家可歸; 老闆|新; 老闆|等待,4,有 沒有 人 像 我 一樣 無家可歸 ， 每 一 分鐘 、 每 一 個 小時 、 每 一 天 都 在 等待 你 老闆 的 新 M V,2,期待,表達對新MV的熱切期,gemini-3.1-flash-lite
"Every time someone likes this comment, I'll listen to it again. I love ST MTP. I love the whole family.",290,每次有人喜歡這個評論，我都會再聽一次。我喜歡ST MTP。我愛整個家庭。,人|喜歡; 評論|喜歡,2,每 次 有 人 喜歡 這 個 評論 ， 我 都 會 再 聽 一 次,2,興奮,以按讚數作為循環播放,gemini-3.1-flash-lite
