Comment_Text,Source_Row_Index,CKIP_Analysis_Text,CKIP_Matched_Pairs,CKIP_Matched_Pair_Count,CKIP_Matched_Sentences
阿彌陀佛姐以後有新的版本可以唱了,0,阿彌陀佛姐以後有新的版本可以唱了,版本|新; 阿彌陀佛姐|新,2,阿彌陀佛姐 以後 有 新 的 版本 可以 唱 了
看完這個MV，前面對於第一次的阿彌陀佛每個人表情都帶一點邪氣的時候充滿不解，直到到了揭諦揭諦那段的時候，原來前面那段是每個人雖然口說阿彌陀佛，但是那個不好的念頭卻持續緊抓著，而開始放手開始都不要了的時候，反而那些想要的自在以及世界卻到來了，善與惡如同倒影般存在一念之間，經過涅槃後重生。後面那段吹笛真的超級喜歡。,1,看完這個MV，前面對於第一次的阿彌陀佛每個人表情都帶一點邪氣的時候充滿不解，直到到了揭諦揭諦那段的時候，原來前面那段是每個人雖然口說阿彌陀佛，但是那個不好的念頭卻持續緊抓著，而開始放手開始都不要了的時候，反而那些想要的自在以及世界卻到來了，善與惡如同倒影般存在一念之間，經過涅槃後重生。後面那段吹笛真的超級喜歡。,吹笛|喜歡; 念頭|好; 時候|不解; 涅槃|重生; 邪氣|不解,5,看完 這 個 MV ， 前面 對於 第一 次 的 阿彌陀佛 每 個 人 表情 都 帶 一點 邪氣 的 時候 充滿 不解 ， 直到 到 了 揭諦 揭諦 那 段 的 時候 ， 原來 前面 那 段 是 每 個 人 雖然 口 說 阿彌陀佛 ， 但是 那 個 不 好 的 念頭 卻 持續 緊抓 著 ， 而 開始 放手 開始 都 不 要 了 的 時候 ， 反而 那些 想要 的 自在 以及 世界 卻 到來 了 ， 善 與 惡 如同 倒影 般 存在 一 念 之間 ， 經過 涅槃 後 重生 || 後面 那 段 吹笛 真的 超級 喜歡
"感覺「觀自在」可以理解成：
透過深刻的覺察，而達到內在自由的人。
能看見這些執著、理解它、放下它，
最後不再被它控制的能力。

好期待Marz23的新歌曲！",2,"感覺「觀自在」可以理解成：
透過深刻的覺察，而達到內在自由的人。
能看見這些執著、理解它、放下它，
最後不再被它控制的能力。

好期待Marz23的新歌曲！",歌曲|新; 歌曲|期待,2,好 期待 Marz23 的 新 歌曲
2026年後 感覺全世界的神佛都升級了 用更年輕的方式和大眾溝通與互動  好愛,3,2026年後 感覺全世界的神佛都升級了 用更年輕的方式和大眾溝通與互動  好愛,方式|年輕; 神佛|升級; 神佛|感覺,3,2026 年 後   感覺 全 世界 的 神佛 都 升級 了   用 更 年輕 的 方式 和 大眾 溝通 與 互動     好愛
"我感受到的是，這首歌無關宗教，而是宇宙間的內在交流✨
把重心放回自己身上，感受人生就像水循環，沒有既定的開始與結束。",4,"我感受到的是，這首歌無關宗教，而是宇宙間的內在交流✨
把重心放回自己身上，感受人生就像水循環，沒有既定的開始與結束。",人生|感受; 內在|交流; 宇宙|交流; 宇宙|無關; 宗教|無關; 歌|無關; 水|感受; 身|感受,8,我 感受到 的 是 ， 這 首 歌 無關 宗教 ， 而是 宇宙 間 的 內在 交流 ✨ || 把 重心 放回 自己 身 上 ， 感受 人生 就 像 水 循環 ， 沒有 既定 的 開始 與 結束
"這可能是我第一個喜歡的AI 元素MV
凸顯內觀有多重要
每次拜拜其實都是對自己許願
希望自己不要放棄對人生的期盼
每個人都是自己的菩薩",5,"這可能是我第一個喜歡的AI 元素MV
凸顯內觀有多重要
每次拜拜其實都是對自己許願
希望自己不要放棄對人生的期盼
每個人都是自己的菩薩",人生|希望; 元素|喜歡; 內觀|重要,3,這 可能 是 我 第一 個 喜歡 的 AI  元素 M V || 凸顯 內觀 有 多 重要 || 希望 自己 不要 放棄 對 人生 的 期盼
拿著十字架唱著心經✝️🙏🏻,6,拿著十字架唱著心經✝️🙏🏻,,0,
"聽了不知道為什麼我覺得23不只是藝術超越也代表有內化內顯放下

從0:35到0:58那個表情有情緒的轉折，拍的超細節mv也非常棒，值得細品",7,"聽了不知道為什麼我覺得23不只是藝術超越也代表有內化內顯放下

從0:35到0:58那個表情有情緒的轉折，拍的超細節mv也非常棒，值得細品",內顯|代表; 內顯|內化; 藝術|代表; 藝術|內化; 藝術|覺得; 超細節|棒,6,聽 了 不 知道 為什麼 我 覺得 23 不只 是 藝術 超越 也 代表 有 內化 內顯 放下 || 從 0:35 到 0:58 那 個 表情 有 情緒 的 轉折 ， 拍 的 超細節 mv 也 非常 棒 ， 值得 細品
"真的是永遠無法被定義的23…
這歌完全在體現23歌詞裡的理念
「帶天命下凡把這世界改造一番」
「為了讓你感知到更高維度的奇觀」
最後只剩笛子獨奏時，真的有從混濁到平靜的感覺
有被好好淨化了一番՞⸝⸝ᵒ̴̶̷ 𓈞 ᵒ̴̶̷⸝⸝՞

還有超喜歡MV造型和製作，超有質感(ृ´͈ ᵕ `͈ ृ )
被綻放中的蓮花內成千上萬的黑手不斷蹂躪的畫面也很有fu~~",8,"真的是永遠無法被定義的23…
這歌完全在體現23歌詞裡的理念
「帶天命下凡把這世界改造一番」
「為了讓你感知到更高維度的奇觀」
最後只剩笛子獨奏時，真的有從混濁到平靜的感覺
有被好好淨化了一番՞⸝⸝ᵒ̴̶̷ 𓈞 ᵒ̴̶̷⸝⸝՞

還有超喜歡MV造型和製作，超有質感(ृ´͈ ᵕ `͈ ृ )
被綻放中的蓮花內成千上萬的黑手不斷蹂躪的畫面也很有fu~~",天命|下凡; 奇觀|感知到; 奇觀|高; 感覺|平靜; 感覺|混濁; 維度|感知到; 維度|高; 造型|喜歡,8,「 帶 天命 下凡 把 這 世界 改造 一 番 」 || 「 為 了 讓 你 感知到 更 高 維度 的 奇觀 」 || 最後 只 剩 笛子 獨奏 時 ， 真的 有 從 混濁 到 平靜 的 感覺 || 還 有 超 喜歡 MV 造型 和 製作 ， 超 有 質感 ( ृ´͈ ᵕ `͈ ृ  )
第一句的切入點直接起雞皮疙瘩 很壓抑的氛圍突然進心經 像走投無路的人最終只能講信念寄託於宗教 無力感超重,9,第一句的切入點直接起雞皮疙瘩 很壓抑的氛圍突然進心經 像走投無路的人最終只能講信念寄託於宗教 無力感超重,人|走投無路; 切入點|直接; 宗教|超重; 心經|走投無路; 無力感|超重; 雞皮疙瘩|直接,6,第一 句 的 切入點 直接 起 雞皮疙瘩   很 壓抑 的 氛圍 突然 進 心經   像 走投無路 的 人 最終 只 能 講 信念 寄託 於 宗教   無力感 超重
