Comment_Author,Comment_Text,Comment_Date,Like_Count
@kang-yuwu472,阿彌陀佛姐以後有新的版本可以唱了,2026-05-26T14:02:35Z,315
@yosam359,看完這個MV，前面對於第一次的阿彌陀佛每個人表情都帶一點邪氣的時候充滿不解，直到到了揭諦揭諦那段的時候，原來前面那段是每個人雖然口說阿彌陀佛，但是那個不好的念頭卻持續緊抓著，而開始放手開始都不要了的時候，反而那些想要的自在以及世界卻到來了，善與惡如同倒影般存在一念之間，經過涅槃後重生。後面那段吹笛真的超級喜歡。,2026-05-26T14:44:42Z,139
@doyu777,"感覺「觀自在」可以理解成：
透過深刻的覺察，而達到內在自由的人。
能看見這些執著、理解它、放下它，
最後不再被它控制的能力。

好期待Marz23的新歌曲！",2026-05-25T14:35:05Z,156
@Inesannie,2026年後 感覺全世界的神佛都升級了 用更年輕的方式和大眾溝通與互動  好愛,2026-05-26T16:00:15Z,171
@王貝拉-w4e,"我感受到的是，這首歌無關宗教，而是宇宙間的內在交流✨
把重心放回自己身上，感受人生就像水循環，沒有既定的開始與結束。",2026-05-28T00:36:00Z,65
@鍾佳伶-h5g,"這可能是我第一個喜歡的AI 元素MV
凸顯內觀有多重要
每次拜拜其實都是對自己許願
希望自己不要放棄對人生的期盼
每個人都是自己的菩薩",2026-05-26T13:17:13Z,293
@Linnnn1019,拿著十字架唱著心經✝️🙏🏻,2026-05-26T13:25:58Z,71
@77105love,"聽了不知道為什麼我覺得23不只是藝術超越也代表有內化內顯放下

從0:35到0:58那個表情有情緒的轉折，拍的超細節mv也非常棒，值得細品",2026-05-27T00:48:34Z,32
@FIGHTINGYAN,"真的是永遠無法被定義的23…
這歌完全在體現23歌詞裡的理念
「帶天命下凡把這世界改造一番」
「為了讓你感知到更高維度的奇觀」
最後只剩笛子獨奏時，真的有從混濁到平靜的感覺
有被好好淨化了一番՞⸝⸝ᵒ̴̶̷ 𓈞 ᵒ̴̶̷⸝⸝՞

還有超喜歡MV造型和製作，超有質感(ृ´͈ ᵕ `͈ ृ )
被綻放中的蓮花內成千上萬的黑手不斷蹂躪的畫面也很有fu~~",2026-05-27T14:16:50Z,45
@Ray_shan,第一句的切入點直接起雞皮疙瘩 很壓抑的氛圍突然進心經 像走投無路的人最終只能講信念寄託於宗教 無力感超重,2026-05-27T04:07:45Z,23
@worldpeacesu11,老馬說：以後人類不用工作 錢不在重要 缺的是能量 看來先向內觀了😌,2026-05-24T13:11:44Z,37
@快樂唲瞳參,去年演唱會現場有表演吹一小段笛子就覺得好有才藝了，現在笛聲運用在這首歌裡 好驚喜 好喜歡❤️‍🔥未來演唱會上如果唱這首一定很震撼,2026-05-26T14:38:15Z,21
@RuanSean,居然聽的時候會起雞皮疙瘩  能量太強?😄,2026-05-27T19:00:21Z,11
@日青女口,"gate gate, pāragate, pārasaṃgate, bodhi! svāhā!
這段讓我情緒湧上來❤️‍🔥",2026-05-27T02:45:06Z,7
@司馬柏陵,真的愛死了0:58時邊阿彌陀佛邊搖頭晃腦的眾生相，不只抓耳了還抓眼，但腦中總莫名想起我是傳奇裡的喪屍(?,2026-05-29T13:59:58Z,9
@有愛療癒,"好厲害的詞曲
MV的設計也好好看
23全新昇華了
看到揭諦揭諦那段轉變到水滴溶於湖川直接淚流🥹

看完MV的解讀：每個人如那一滴水
那一滴水外還有很大的世界
觀自在不抓
放下後往外延伸的視角就可以很大💖",2026-05-27T02:04:23Z,16
@anitachen4702,"追到首播～～
看完好震撼！用更高的維度看苦難，似乎能理解一切終將邁向更好的自己。
平常聽心經是平靜，聽23版像用更覺知的感官理解自己的感受🧘",2026-05-26T13:10:35Z,16
@jasonlin4263,"我從來都沒想過佛經可以這樣唱
這不單純只是唱
是藝術",2026-06-03T05:48:51Z,0
@葉子睿-v5m,追求自我平靜是最重要的事,2026-05-26T13:33:09Z,10
@roger小傑,上善若水，就像你說的一切如水，一場大雨能讓天上的人與地上的人連結，代表有很深的思念，複雜的社會裡我能感受到這首歌給人的能量，曲就像一封email(給人第一印象)，詞就像內在的真誠，兩者的平衡讓我感受到你破繭而出的過程，謝謝給我們這首歌，我很喜歡!,2026-05-29T01:25:14Z,3
@h.studio,這MV開頭的表情細節有震撼到 呈現出喜怒哀樂的氛圍,2026-05-28T17:14:04Z,3
@joshyu9427,超級愛這首，一聽就抓耳，希望之後還能再聽到類似的曲。,2026-05-30T04:20:52Z,2
@harry7539511,歌很頂，MV也有夠頂，好久沒看到這麼頂的歌跟MV,2026-06-02T04:57:44Z,1
@shiuanliu0311,現場聽一定是震撼版本🪷,2026-05-26T15:27:18Z,6
@Tommyjiuan,真正的自己、真正的真實，是孤獨的朝聖，是往內走的旅程，沒人能陪，只有從獨自一人願意向前行。而在今天，透過流行音樂具有影響力的阿夜，將人類必須向內觀的本質與責任，終於用娛樂圈、用演藝圈、用大眾化的流行文化開始傳遞了，恭喜台灣、恭喜華人，大家一起觀自在。,2026-05-27T11:40:31Z,34
@yu_.qiao__,就知道笛子是自己吹的！！真的好強好聽,2026-05-26T17:20:00Z,12
@Scully0311,感覺很適合當神仙類電視劇主題曲欸🤣  超好聽！！！,2026-06-03T05:40:16Z,0
@waterink,"我不是歌迷
第一次偶然被推播看到背後故事的介紹後
我就搜尋了一下找到這裡來

我喜歡後面電車那段
我的感覺是那是在表達輪迴與過客
今天的歌者，前世可能是各種各樣的人、有老有小有男有女有好有壞（其實也可能有動物有植物有精靈有天人的）

那段不知為何讓我有點被觸動到，眼淚還默默的從眼角流下來。",2026-06-02T14:20:56Z,1
@meowlin9436,超棒的，聽到後面梵文揭諦那一串的部分，有在關注佛經的人聽了也會起了雞皮疙瘩，整體風格有一種在聽黑悟空神話的主題曲感覺，融合的真好，不愧是阿夜,2026-05-27T04:57:28Z,18
