Comment_Text,Source_Row_Index,CKIP_Analysis_Text,CKIP_Matched_Pairs,CKIP_Matched_Pair_Count,CKIP_Matched_Sentences,Stage1_Relevance_Score,Gemini_Emotion,Gemini_Reason,Gemini_Model
"This song is GREAT!! good lyrics, good beats! Loving this song! If Marz23 perform this song in Singapore will be awesome! LETS GO! Greetings from Singapore! Much Love!",35,這首歌太棒了！ ！歌詞好，節奏好！喜歡這首歌！如果Marz23在新加坡演唱這首歌那就太棒了！我們走吧！來自新加坡的問候！非常有愛！,歌|喜歡; 歌|棒; 歌詞|好; 節奏|好,4,這 首 歌 太 棒 了 || 歌詞 好 ， 節奏 好 || 喜歡 這 首 歌 || 如果 Marz23 在 新加坡 演唱 這 首 歌 那 就 太 棒 了,3,興奮,表達對歌曲的極度喜愛,gemini-3.1-flash-lite
"觀自在不怕 惡念像海嘯一樣襲來
依然臨在當下不跟它附和",151,"觀自在不怕 惡念像海嘯一樣襲來
依然臨在當下不跟它附和",念|怕; 念|自在; 海嘯|怕,3,觀 自在 不 怕  惡 念 像 海嘯 一樣 襲來,3,中立,單純引用歌詞內容,gemini-3.1-flash-lite
"觀自在菩薩 行深般若波羅蜜多時
照見五蘊皆空度一切苦厄
觀自在不怕 惡念像海嘯一樣襲來
依然臨在當下不跟它附和
觀自在菩薩 行深般若波羅蜜多時
照見五蘊皆空度一切苦厄
觀自在不抓 所有該不該發生的執念
就不被任何痛苦抓住了

「阿彌陀佛 阿彌陀佛
阿彌阿彌阿彌阿彌 阿彌陀佛」

誰不希望有天能夠脫離苦海
卻不知道放手能立地成如來
把所有的念頭當作電影獨白
才發現祈求的自在終於向我走來

一朵綻放的蓮花
必須生長在水面下最污濁的淤泥
一個振奮人心的
故事都要具備會讓人哭透的劇情
我抽離看著自己
不抓緊也不癡迷 就這麼起飛

觀自在菩薩 行深般若波羅蜜多時
照見五蘊皆空度一切苦厄
觀自在不怕 惡念像海嘯一樣襲來
依然臨在當下不跟它附和
觀自在菩薩 行深般若波羅蜜多時
照見五蘊皆空度一切苦厄
觀自在不抓 所有該不該發生的執念
就不被任何痛苦抓住了

「gate gate pāragate pārasamgate
bodhi svāhã 」

「阿彌陀佛 阿彌陀佛
阿彌阿彌阿彌阿彌 阿彌陀佛」",196,"觀自在菩薩 行深般若波羅蜜多時
照見五蘊皆空度一切苦厄
觀自在不怕 惡念像海嘯一樣襲來
依然臨在當下不跟它附和
觀自在菩薩 行深般若波羅蜜多時
照見五蘊皆空度一切苦厄
觀自在不抓 所有該不該發生的執念
就不被任何痛苦抓住了

「阿彌陀佛 阿彌陀佛
阿彌阿彌阿彌阿彌 阿彌陀佛」

誰不希望有天能夠脫離苦海
卻不知道放手能立地成如來
把所有的念頭當作電影獨白
才發現祈求的自在終於向我走來

一朵綻放的蓮花
必須生長在水面下最污濁的淤泥
一個振奮人心的
故事都要具備會讓人哭透的劇情
我抽離看著自己
不抓緊也不癡迷 就這麼起飛

觀自在菩薩 行深般若波羅蜜多時
照見五蘊皆空度一切苦厄
觀自在不怕 惡念像海嘯一樣襲來
依然臨在當下不跟它附和
觀自在菩薩 行深般若波羅蜜多時
照見五蘊皆空度一切苦厄
觀自在不抓 所有該不該發生的執念
就不被任何痛苦抓住了

「gate gate pāragate pārasamgate
bodhi svāhã 」

「阿彌陀佛 阿彌陀佛
阿彌阿彌阿彌阿彌 阿彌陀佛」",人心|振奮; 如來|知道; 念|怕; 念|自在; 海嘯|怕; 淤泥|污濁; 苦海|希望,7,觀 自在 不 怕  惡 念 像 海嘯 一樣 襲來 || 誰 不 希望 有 天 能夠 脫離 苦海 || 卻 不 知道 放手 能 立地 成 如來 || 必須 生長 在 水面 下 最 污濁 的 淤泥 || 一 個 振奮 人心 的 || 觀 自在 不 怕  惡 念 像 海嘯 一樣 襲來,3,中立,完整轉貼歌曲歌詞,gemini-3.1-flash-lite
追求自我平靜是最重要的事,18,追求自我平靜是最重要的事,事|平靜; 事|重要,2,追求 自我 平靜 是 最 重要 的 事,2,感動,認同歌曲傳達的平靜感,gemini-3.1-flash-lite
上善若水，就像你說的一切如水，一場大雨能讓天上的人與地上的人連結，代表有很深的思念，複雜的社會裡我能感受到這首歌給人的能量，曲就像一封email(給人第一印象)，詞就像內在的真誠，兩者的平衡讓我感受到你破繭而出的過程，謝謝給我們這首歌，我很喜歡!,19,上善若水，就像你說的一切如水，一場大雨能讓天上的人與地上的人連結，代表有很深的思念，複雜的社會裡我能感受到這首歌給人的能量，曲就像一封email(給人第一印象)，詞就像內在的真誠，兩者的平衡讓我感受到你破繭而出的過程，謝謝給我們這首歌，我很喜歡!,人|代表; 人|感受到; 歌|喜歡; 歌|感受到; 社會|感受到; 社會|複雜; 者|感受到; 過程|感受到,8,上 善 若水 ， 就 像 你 說 的 一切 如 水 ， 一 場 大雨 能 讓 天 上 的 人 與 地 上 的 人 連結 ， 代表 有 很 深 的 思念 ， 複雜 的 社會 裡 我 能 感受到 這 首 歌 給 人 的 能量 ， 曲 就 像 一 封 email ( 給 人 第一 印象 ) ， 詞 就 像 內在 的 真誠 ， 兩 者 的 平衡 讓 我 感受到 你 破繭而出 的 過程 ， 謝謝 給 我們 這 首 歌 ， 我 很 喜歡,2,感動,深刻體會歌曲帶來的能,gemini-3.1-flash-lite
感覺很適合當神仙類電視劇主題曲欸🤣  超好聽！！！,26,感覺很適合當神仙類電視劇主題曲欸🤣  超好聽！！！,主題曲|好聽; 主題曲|適合; 神仙類|感覺; 神仙類|適合; 電視劇|好聽; 電視劇|感覺; 電視劇|適合,7,感覺 很 適合 當 神仙類 電視劇 主題曲 欸 🤣   超 好聽,2,興奮,覺得曲風適合影視作品,gemini-3.1-flash-lite
"觀自在菩薩，觀自我內在一切煩惱五蘊，接受情緒的發生，接受人是會感受到痛苦的，已知感悟，不受外在環境影響自我內心清淨，已到體悟，斷一切苦厄，心清淨無怨無恨，蓮花出淤泥而不染，即為蓮花座上菩薩。

阿彌陀佛。

佛說過，眾人不要拜他為佛，眾生皆是佛，眾生皆有佛心，而人生在世不懂如何解脫煩惱與痛苦，那就去透過生活上的事情去悟，理解經文只是踏入的第一步，讀懂經文意義後，去進行體悟，每個人的道路皆不同，有的人是透過生活體悟，有的人是透過創作藝術，但都能修行，證道即是佛菩薩。

感謝Marz23用音樂創作表達，讓更多人明白觀自在的境界。

願眾生能內觀己身本心，照見如來，總有一天你們也能從泥濘中走出來，成為菩薩，渡一切苦厄，得先渡己。",153,"觀自在菩薩，觀自我內在一切煩惱五蘊，接受情緒的發生，接受人是會感受到痛苦的，已知感悟，不受外在環境影響自我內心清淨，已到體悟，斷一切苦厄，心清淨無怨無恨，蓮花出淤泥而不染，即為蓮花座上菩薩。

阿彌陀佛。

佛說過，眾人不要拜他為佛，眾生皆是佛，眾生皆有佛心，而人生在世不懂如何解脫煩惱與痛苦，那就去透過生活上的事情去悟，理解經文只是踏入的第一步，讀懂經文意義後，去進行體悟，每個人的道路皆不同，有的人是透過生活體悟，有的人是透過創作藝術，但都能修行，證道即是佛菩薩。

感謝Marz23用音樂創作表達，讓更多人明白觀自在的境界。

願眾生能內觀己身本心，照見如來，總有一天你們也能從泥濘中走出來，成為菩薩，渡一切苦厄，得先渡己。",事情|理解; 人|不同; 人|明白; 人|自在; 人生|在世; 人生|懂; 佛心|在世; 內心|清淨; 境界|明白; 境界|自在; 外在|感悟; 外在|清淨; 外在|知; 心|斷; 心|清淨; 怨|清淨; 恨|清淨; 接受人|感受到; 接受人|痛苦; 本心|願; 煩惱|在世; 煩惱|懂; 煩惱|痛苦; 環境|感悟; 環境|清淨; 眾生|願; 經文|理解; 苦厄|斷; 苦厄|清淨; 道路|不同; 音樂|感謝,31,觀 自在 菩薩 ， 觀 自我 內在 一切 煩惱 五蘊 ， 接受 情緒 的 發生 ， 接受人 是 會 感受到 痛苦 的 ， 已 知 感悟 ， 不 受 外在 環境 影響 自我 內心 清淨 ， 已 到 體悟 ， 斷 一切 苦厄 ， 心 清淨 無 怨 無 恨 ， 蓮花 出 淤泥 而 不 染 ， 即為 蓮花座 上 菩薩 || 佛 說 過 ， 眾人 不要 拜 他 為 佛 ， 眾生 皆 是 佛 ， 眾生 皆 有 佛心 ， 而 人生 在世 不 懂 如何 解脫 煩惱 與 痛苦 ， 那 就 去 透過 生活 上 的 事情 去 悟 ， 理解 經文 只是 踏入 的 第一 步 ， 讀懂 經文 意義 後 ， 去 進行 體悟 ， 每 個 人 的 道路 皆 不同 ， 有的 人 是 透過 生活 體悟 ， 有的 人 是 透過 創作 藝術 ， 但 都 能 修行 ， 證道 即 是 佛 菩薩 || 感謝 Marz23 用 音樂 創作 表達 ， 讓 更多 人 明白 觀 自在 的 境界 || 願 眾生 能 內觀 己身 本心 ， 照見 如來 ， 總有一天 你們 也 能 從 泥濘 中 走出來 ， 成為 菩薩 ， 渡 一切 苦厄 ， 得 先 渡 己,2,感動,對歌曲意境有深刻體悟,gemini-3.1-flash-lite
為什麼叫觀自在菩薩呢！因為菩薩在世的時候 他的爸爸生了很多女兒 但偏偏爸爸不愛菩薩這個女兒 在有需要的時候 連他爸爸最愛的女兒都不幫他 覺得爸爸活該 但偏偏菩薩覺得說人要心存善念 不可以有這種想法 我們要懂的感恩！後來菩薩上去以後 就多了很多隻手變成 「千手觀音」 這就叫觀自在🙏 這是菩薩的故事,229,為什麼叫觀自在菩薩呢！因為菩薩在世的時候 他的爸爸生了很多女兒 但偏偏爸爸不愛菩薩這個女兒 在有需要的時候 連他爸爸最愛的女兒都不幫他 覺得爸爸活該 但偏偏菩薩覺得說人要心存善念 不可以有這種想法 我們要懂的感恩！後來菩薩上去以後 就多了很多隻手變成 「千手觀音」 這就叫觀自在🙏 這是菩薩的故事,人|覺得; 心|覺得; 想法|懂; 手|多; 時候|在世; 爸爸|活該; 爸爸|覺得; 菩薩|在世; 菩薩|多; 菩薩|活該; 菩薩|覺得,11,因為 菩薩 在世 的 時候   他 的 爸爸 生 了 很多 女兒   但 偏偏 爸爸 不 愛 菩薩 這 個 女兒   在 有 需要 的 時候   連 他 爸爸 最 愛 的 女兒 都 不 幫 他   覺得 爸爸 活該   但 偏偏 菩薩 覺得 說 人 要 心 存 善念   不可以 有 這 種 想法   我們 要 懂 的 感恩 || 後來 菩薩 上去 以後   就 多 了 很多 隻 手 變成   「 千 手 觀音 」   這 就 叫 觀自在 🙏   這 是 菩薩 的 故事,2,中立,分享關於菩薩的民間故,gemini-3.1-flash-lite
阿彌陀佛姐以後有新的版本可以唱了,0,阿彌陀佛姐以後有新的版本可以唱了,版本|新; 阿彌陀佛姐|新,2,阿彌陀佛姐 以後 有 新 的 版本 可以 唱 了,1,反諷,調侃特定網紅的迷因梗,gemini-3.1-flash-lite
"真的是永遠無法被定義的23…
這歌完全在體現23歌詞裡的理念
「帶天命下凡把這世界改造一番」
「為了讓你感知到更高維度的奇觀」
最後只剩笛子獨奏時，真的有從混濁到平靜的感覺
有被好好淨化了一番՞⸝⸝ᵒ̴̶̷ 𓈞 ᵒ̴̶̷⸝⸝՞

還有超喜歡MV造型和製作，超有質感(ृ´͈ ᵕ `͈ ृ )
被綻放中的蓮花內成千上萬的黑手不斷蹂躪的畫面也很有fu~~",8,"真的是永遠無法被定義的23…
這歌完全在體現23歌詞裡的理念
「帶天命下凡把這世界改造一番」
「為了讓你感知到更高維度的奇觀」
最後只剩笛子獨奏時，真的有從混濁到平靜的感覺
有被好好淨化了一番՞⸝⸝ᵒ̴̶̷ 𓈞 ᵒ̴̶̷⸝⸝՞

還有超喜歡MV造型和製作，超有質感(ृ´͈ ᵕ `͈ ृ )
被綻放中的蓮花內成千上萬的黑手不斷蹂躪的畫面也很有fu~~",天命|下凡; 奇觀|感知到; 奇觀|高; 感覺|平靜; 感覺|混濁; 維度|感知到; 維度|高; 造型|喜歡,8,「 帶 天命 下凡 把 這 世界 改造 一 番 」 || 「 為 了 讓 你 感知到 更 高 維度 的 奇觀 」 || 最後 只 剩 笛子 獨奏 時 ， 真的 有 從 混濁 到 平靜 的 感覺 || 還 有 超 喜歡 MV 造型 和 製作 ， 超 有 質感 ( ृ´͈ ᵕ `͈ ृ  ),1,感動,讚賞歌曲與MV的質感,gemini-3.1-flash-lite
