Entity,Sentiment_Word,Co_occurrence_Count,Inferred_Reason
奎托斯,明白,5,'奎托斯' is a noun entity and '明白' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
奎托斯,知道,4,'奎托斯' is a noun entity and '知道' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
博士,奇異,3,'博士' is a noun entity and '奇異' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
奎托斯,漂亮,3,'奎托斯' is a noun entity and '漂亮' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
朋友,好,3,'朋友' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,喜歡,2,'人' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,討厭,2,'人' is a noun entity and '討厭' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
凱倫,好,2,'凱倫' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
叫聲,哀鴿,2,'叫聲' is a noun entity and '哀鴿' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
名字,酷,2,'名字' is a noun entity and '酷' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
奎托斯,好,2,'奎托斯' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
奎托斯,希望,2,'奎托斯' is a noun entity and '希望' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
奎托斯,肯定,2,'奎托斯' is a noun entity and '肯定' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
妻子,這樣,2,'妻子' is a noun entity and '這樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
弗蘭克,可愛,2,'弗蘭克' is a noun entity and '可愛' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
生物,可愛,2,'生物' is a noun entity and '可愛' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
神話,酷,2,'神話' is a noun entity and '酷' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
立方體,可愛,2,'立方體' is a noun entity and '可愛' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
設計師,新,2,'設計師' is a noun entity and '新' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
路,自由,2,'路' is a noun entity and '自由' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
遊戲,興奮,2,'遊戲' is a noun entity and '興奮' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
400K ,喜歡,1,'400K ' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
丈夫,一樣,1,'丈夫' is a noun entity and '一樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
丈夫,憤怒,1,'丈夫' is a noun entity and '憤怒' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主角,意味,1,'主角' is a noun entity and '意味' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
主題,喜歡,1,'主題' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
事,喜歡,1,'事' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
事情,多,1,'事情' is a noun entity and '多' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
事情,廉價,1,'事情' is a noun entity and '廉價' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
事情,有趣,1,'事情' is a noun entity and '有趣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
事情,知道,1,'事情' is a noun entity and '知道' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
事物,美好,1,'事物' is a noun entity and '美好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,上當,1,'人' is a noun entity and '上當' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,冷靜,1,'人' is a noun entity and '冷靜' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,容易,1,'人' is a noun entity and '容易' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,寧願,1,'人' is a noun entity and '寧願' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,期待,1,'人' is a noun entity and '期待' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,理智,1,'人' is a noun entity and '理智' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,眩暈,1,'人' is a noun entity and '眩暈' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,知道,1,'人' is a noun entity and '知道' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,神奇,1,'人' is a noun entity and '神奇' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,肯定,1,'人' is a noun entity and '肯定' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,腳踏實地,1,'人' is a noun entity and '腳踏實地' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,興奮,1,'人' is a noun entity and '興奮' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,覺得,1,'人' is a noun entity and '覺得' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,適合,1,'人' is a noun entity and '適合' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,酷,1,'人' is a noun entity and '酷' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人們,忘記,1,'人們' is a noun entity and '忘記' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人口,肯定,1,'人口' is a noun entity and '肯定' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
但丁,這樣,1,'但丁' is a noun entity and '這樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
位置,準確,1,'位置' is a noun entity and '準確' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
們,瘋狂,1,'們' is a noun entity and '瘋狂' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
