Comment_Author,Comment_Text,Comment_Date,Like_Count
@JoseRuiz-yh2eh,"Kratos: your mother is resting now
The mother:",2026-06-02T23:32:18Z,77546
@firegodmiguel,Got to the afterlife and immediately started throwing hands and collecting bodies. That's Kratos' woman alright,2026-06-03T00:26:44Z,38125
@Natejoe615,"She gave him her axe and shield.

He gave her double jump and air combos",2026-06-03T08:28:12Z,28213
@El_Charro88,"Somebody call Shrek, they're rounding up the fairytale creatures again",2026-06-09T17:27:52Z,61
@lomo1407,Kratos and boy were hunting a deer while all of this were happening btw.,2026-06-03T02:28:56Z,41191
@TheRealRehman,"Atreus ""Mom was pretty chill.""
Kratos ""Boy, sometimes the red circle would appear over my head.""",2026-06-03T06:58:26Z,17339
@bashabb7018,"'She's resting in peace now'
The peace:

😂",2026-06-03T06:18:48Z,34446
@amerynonna,The hair technician is mad,2026-06-08T13:22:18Z,1415
@SothThe69th,"""She fought beautifully boy, she could air combo when I could no longer.""",2026-06-02T23:08:30Z,44974
@sinfulwrath666,He fell in love with her because she can air combo and double jump.,2026-06-03T05:19:21Z,23927
@Markus-w8m,"""Afterlife of the gods""
At this point half the population there must have been sent down by Kratos.",2026-06-04T17:20:08Z,7885
@thepunisher8174,"From singer to goddess of war, congratulations Laufey",2026-06-08T05:29:55Z,25
@jalojoes,“She took everything from me boy. My double jump and my air combos”,2026-06-02T23:28:09Z,50503
@connorhawke4373,Kratos wasn’t lying when he said she fought beautifully,2026-06-02T22:15:58Z,35256
@Bowlinpynn99,From the creators of Dad of War. We got Mom of war,2026-06-03T03:49:26Z,20196
@cthullad-666,"“In the beginning, there was the Cube” -Optimus Prime",2026-06-09T10:30:20Z,91
@FiendaroÖ,"“What mythology are we doing now?”

“Yes.”",2026-06-03T17:23:18Z,12410
@treverini.,"2018: BOY
2026: CUBE",2026-06-02T22:16:06Z,52284
@chaffXgrenade,Kratos saw her double-jump once and IMMEDIATELY knew she was the one. 💍,2026-06-03T01:51:12Z,11810
@Andrew-sk1re,"Man if Kratos were in here it’d be like: “None of you seem to understand, I’m not locked in here with you. YOU’RE LOCKED IN HERE WITH ME!”",2026-06-09T07:21:11Z,18
@notslimshady2943,"“Are you a calm and reasonable person?”
Faye: *does air combo*",2026-06-03T20:23:57Z,5467
@notseaththescaleless,Oi hughie they turned ye into a bleedin cube,2026-06-02T22:15:51Z,24893
@wolferno7656,"Kratos and atreus went through so much trouble to scatter her Ash in the highest point of all the realms so that she could attain peace, and look at her in the afterlife 😂",2026-06-03T07:23:16Z,4186
@PurrAndWoof,"Kratos: ""Stay out of trouble.""
Laufey: ""No promises."" 💀🔥",2026-06-07T21:19:18Z,193
@Dgrx73190,"Kratos: my best friend is a talking head
Faye: my best friend is a talking cube",2026-06-03T11:21:42Z,5493
@nicostarrs4674,"Atreus: “Mom is resting in peace, right father?”
Faye subplot:",2026-06-03T07:00:36Z,4229
@terence200000,That fight she had with Thor must’ve been insane with these moves😭🔥,2026-06-03T00:16:00Z,11151
@kobematthews24,Faye definitely got some Zena the warrior princess vibes to her.,2026-06-07T21:10:00Z,10
@TByrdartboy,"After life for the gods?

Man when Faye meets Kratos's extended family.........",2026-06-02T22:32:36Z,11021
@senbonz2814,"Don't be sorry, be more square.
- Laufey",2026-06-02T22:22:56Z,6295
@iTzBato,"2006 : ""Athena!""
2016 : ""Boy!""
2026 : ""Cube!""",2026-06-03T03:02:52Z,4036
@DemonDweller-o2s,if kratos sees the tribe trouble her he will absolutely demolish them☠,2026-06-07T21:13:57Z,9
@increditoaster,"So basically, Odin wanted to know what was in this trailer.",2026-06-03T01:15:59Z,5416
@awesumtoast97,MAN. Kratos wasnt lying. Faye is AWESOME,2026-06-02T23:54:18Z,4516
@Sylphse,"Kratos : Death can have me when it earns me.
Faye : 🗿",2026-06-03T06:34:20Z,2895
@VibrantlyDark,"""Not your boss, Frank""
The Punisher: Karen?
 
Ft. Scorpion's ""get over here""",2026-06-09T03:03:46Z,3
@mariano0175,Kratos walk to let Faye double jump,2026-06-03T01:10:38Z,7570
@pakoflaco6892,Wife of war,2026-06-02T22:17:02Z,10327
@vermark1_5,"2018: BOY 
2026: TOFU",2026-06-02T22:28:48Z,3014
@Johnny_Broflex,"Instead of Atreus, we get a sentient jello square",2026-06-08T05:23:45Z,55
@kitsunrae,She doesn’t have a single song where she needs to be doing this,2026-06-02T23:55:34Z,3056
@daefaron,"Have to applaud a character for once going ""i need some armor,  the skeleton does not need it. I shall take it from him""",2026-06-03T09:59:02Z,2469
@CardSharkOfficial,I want to see a video of the brainstorming session that decided her sidekick would be a gelatinous cube.,2026-06-03T21:29:19Z,3266
@aShadowWizard69,"""I like the cube"" -Kratos, probably",2026-06-07T17:51:19Z,2
@kevinsilva9980,"2010: Zeus
2018: Boy
2026: Cube",2026-06-02T22:21:35Z,8322
@DraconicSun,"When the game is out, I want to see a hypercut video where Kratos and Atreus are mourning Faye and then it cuts to her juggling five demons to doom-like music.",2026-06-02T22:58:03Z,3613
@abdullahggstv5033,“Hughie that was fuckn diabolical”,2026-06-02T22:22:10Z,7064
@arcanegaming3199,I need a flashback in this game to the fight she and Kratos had when they met.,2026-06-09T21:35:17Z,3
@emboozled,crazy retirement life for laufey- from a singer to a warrior,2026-06-02T23:33:29Z,3238
@oddbird5825,"Me: Ooh, which mythos will it be?

Trailer: All of them... and Frank.",2026-06-05T07:21:07Z,1785
@ronaldoeve5951,This is the weirdest way for the boys and daredevil to have a crossover,2026-06-02T22:59:15Z,4535
@Rakueninfinity,"Kratos : You are free
Laufrey : Sure???",2026-06-03T01:46:06Z,1532
@manvirdhaliwal9130,"Studio- how creative are you?
Artist - how about a cube",2026-06-03T17:07:16Z,1754
@WadeMarshall-n5v,"Of all the drugs I've done, I've never thought about talking to a cube or ribbons on a sword",2026-06-07T11:57:30Z,936
@anagabriela776,"It looks great, I can't wait to play it when it's released.",2026-06-09T20:07:36Z,5
@Gojo8178-pv7lq,"""Oi Huey 'Omelanda done turned you into a cube!""",2026-06-03T09:12:38Z,2961
@Tarbnx,Why do I feel like she’s going to run into a few Greek gods.,2026-06-06T12:39:42Z,1679
@leonderkeck4298,"Imagine faye meeting Magni, Modi, Baldur or even Thor and Odin in the afterlife as the game progresses",2026-06-02T22:42:31Z,5014
@travmitti8340,Wish they put this much effort into Kratos combat. but hey it is what it is I guess,2026-06-09T21:57:37Z,5
@AllvesGames,"The floating cube from the PS2 startup proudly proclaims: ""THAT'S MY BOY!""",2026-06-02T22:18:08Z,3942
@coolprogamer0912,nice to see laufey transitioning from jazz music to something more out of the box,2026-06-06T10:56:49Z,1423
@RafaPerez-p2e,Now I understand why Kratos heard her voice in the world of the elves; his wife was very much alive. 😮,2026-06-05T15:37:10Z,1115
@dimndroll,I really want to watch interview with the genius behind the cube idea,2026-06-09T15:57:54Z,3
@bardiakian5482,"“Don’t worry, she can handle herself. She was with the Dare Devil and Punisher in another life…”",2026-06-03T18:22:38Z,1267
@MatveySchmidt,It will turn out Faye is in the world beyond the rift Odin had in his study. And you needed a mask to look inside.,2026-06-02T22:39:39Z,1913
@DhiaMess,Today’s kids don’t know how much 90’s fellas love that ps2/ps3 jump and double jump,2026-06-02T23:50:52Z,1925
@CanonWelding,"Literally unplayable, the bird call in the beginning is of a North American mourning dove which would not be found in Scandinavia. The Eurasian collared dove would have been a more location accurate choice, but their coo's are less distinctive than the ""coo-OOO-ooo-ooo"" of the mourning dove.

Game looks sick tho",2026-06-08T19:42:47Z,6
@ShikiTowa0217,"CC: [Speaking Mongolian]

As a Mongolian, I have no idea what he’s talking about.”",2026-06-03T03:06:47Z,2170
@DarKsiders751,"""It's what Faye would have wanted""
- Kratos",2026-06-03T05:35:29Z,2366
@DarthToji,That mask is what Odin went insane for in the previous game,2026-06-03T00:14:50Z,2238
@Nerex7,"""I'm not your boss, Frank""
Gave me that Punisher flashback",2026-06-09T06:23:52Z,1
@Shatter149,"kratos: find peace. 
faye: where is it!!",2026-06-03T08:44:46Z,1902
@BezddDakota,"I'm calling it now. 

Faye is the one who blew the horn in GOW 2018.",2026-06-02T22:26:07Z,3725
@Game_Play_With_Joy,"Comments about game ❌
Comments about double jump ✔️",2026-06-03T09:10:07Z,1364
@jadioj,The person in charge of comment removal deserves a raise,2026-06-08T08:24:09Z,13
@makutarix1769,Why is no one talking about that the villains of the game are the Egyptian and Mongolian gods of war trapped in limbo! This is superb,2026-06-03T10:04:52Z,1155
@oussamaazzaoui5456,"2018: watch your tone BOYYY 
2026: watch your tone cube",2026-06-03T22:12:00Z,704
@Chris1this,Faye moving like doctor strange was not something I expected,2026-06-02T22:20:10Z,3548
@LuciferDFallN1,Imagine if Zeus is also there,2026-06-09T21:24:05Z,4
@Person-ro6uh,She's going full Sora on them with those air combos.,2026-06-02T23:16:35Z,1567
@snappy5440,"2018: World serpent 
2026: Flying Tiger",2026-06-03T04:33:02Z,1327
@yuoqi98,Kratos would absolutely go berserker mode if he found out his wife was being treated like this in the afterlife. He’d kill all them.,2026-06-03T23:17:04Z,572
@azuradovahkiin,that's the kind of combat im looking for!!!!!! absolute fire!,2026-06-08T21:23:18Z,3
@krytonn1137,"Now I understand why Kratos said she fought beautifully!
Girl is an absolute unit!!",2026-06-03T00:24:25Z,968
@JackIam999,"""Thats the one for me!"" 
Kratos after witnessing Faye decapitate someone midair.",2026-06-03T11:33:15Z,704
@osowanaco,Yes for sure this Kratos wife. I can’t wait to play the game.,2026-06-07T21:05:41Z,3
@talos2384,“After life of the gods” I think we’re going to be seeing some of kratos’ extended family…,2026-06-02T22:28:48Z,2948
@yizharabraham6190,Jack Quaid playing a slime block is the most jack Quaid thing ever.,2026-06-02T22:44:40Z,1925
@enderethan144,"Never in my life I would imagine the GOW Series going from killing an entire pantheon to battling alongside a literal cube.

Edit: FYI, no I am not complaining I just find it funny that’s all, obviously we’re going to be killing gods.",2026-06-02T23:03:39Z,3148
@vV_Anas_Vv,The cubes of olympus have abandoned me..,2026-06-09T18:39:37Z,1
@DiazStation1992,"Meanwhile, Kratos and Atreus are hunting a deer.",2026-06-04T17:49:30Z,619
@witchylizzy6024,"""She fought...beautifully.""",2026-06-03T15:00:10Z,1637
@picklejho69,"Before this trailer: How tf did Laufey survive a fight with Thor?
After this trailer: How tf did Thor survive a fight with Laufey?",2026-06-03T04:19:51Z,1421
@solidsnake9898,"Why call this a ""Gameplay reveal"" when 90% of it was cinematics?",2026-06-09T07:12:29Z,11
@krpi7685,Can't believe Deborah brought a gelatinous cube from her DnD campaign,2026-06-04T19:20:50Z,118
@piecrust666,"As a bald man, those hair physics are nice af",2026-06-02T23:50:07Z,1651
@TheBaconHair12,"Mimir: ""She is at peace Atreus"" the peace:",2026-06-04T21:10:06Z,921
@zaion_5369,then we have kratos and atreus thinking she's in the light of alfheim now,2026-06-09T20:51:38Z,2
@millerx95,"Faye getting a jump button before Kratos is wild. Looks cool tho, lore implications are crazy",2026-06-02T23:23:23Z,1550
@thojoe_,"As soon as I heard that cube talk, all I could think of was “OI HUGHIE”",2026-06-03T05:01:23Z,403
@ColAbernathy,"Devil May Faye, hands rated E for Everyone",2026-06-03T22:28:41Z,975
@luisclaudio118,"Kratos : por fin la bruja de tu madre fue quemada

Laufey : soy la bruja de Oz .",2026-06-08T20:50:46Z,1
@iransencyclopedia12,"Everybody who hates Laufey, for sure got psychological issue with his mother. Scientists  put it in the test.",2026-06-09T04:40:49Z,3
@mrthngn5,Mom of War is crazy,2026-06-03T13:40:29Z,987
@Smeekay,"""Oi Hughie, stop talkin outta the cube and help me get Omlander"" - Butcher",2026-06-04T04:32:29Z,77
@abdel_amazigh,the cube 💀💀,2026-06-02T22:15:35Z,2974
@ZukaraTheGame,Soooo who else held the button to speed up the 1 minute of darkness,2026-06-08T23:48:45Z,2
@Islam_shortvideos,"""Your mother, she fought...beautifully""",2026-06-05T08:27:47Z,730
@GamrzVault,Kratos can't jump while his wife is jumping and air juggling enemies like Dante😂,2026-06-03T06:03:54Z,944
@jakedempsey3809,"OI, HUGHIE, WHATCHA BEIN' A CUBE FOR?",2026-06-03T17:25:36Z,500
@DreDay2000,They really used Amber Heard's character to make Faye lol,2026-06-08T05:02:28Z,5
@spogoinks,their honeymoon must’ve been WILD,2026-06-03T06:46:11Z,1097
@yavvid8520,"Kratos sees Faye in an illusion, Faye sees Kratos in an illusion, a match made in heaven.",2026-06-03T16:32:04Z,499
@jet30yblack47,Kratos's wife fighting alongside a jelly cube was not on my bingo card,2026-06-02T22:35:15Z,1214
@AEaston,Glad to see this is continuing the time honored tradition of LEGO games saying that women can double jump.,2026-06-07T22:30:30Z,2
@RDavid-ei8cv,I just had a thought of what could happen to that red guy if Kratos saw him hit his wife 💀,2026-06-02T22:24:15Z,1729
@davoftw6921,"""oi Cubie""",2026-06-04T17:22:56Z,605
@paa6193,Now I understand why Kratos calmed tf down after meeting her. Girl's an absolute BEAST in combat 😂,2026-06-03T22:11:38Z,393
@heynae2016,9:20 Feels like I'm witnessing a Shrek 1 here with all the imprisoning of pretty cute creatures,2026-06-08T00:59:20Z,3
@UnderTakerNumber3,Everyone else got cool and mythological names. Meanwhile Frank and Rue: Most Modern Names,2026-06-04T16:29:50Z,692
@eugenio027,Laufey really went all out with this music video.,2026-06-03T22:00:42Z,681
@abrahamlincoln3181,Some kids are definitely going to be named Phranque.,2026-06-03T04:10:38Z,970
@samirkalil.odonto,Came here to LIKE the video only. AWESOME,2026-06-09T17:27:20Z,2
@markw2118,Bruh the cube seems like something someone would mod in as a joke 😂,2026-06-05T01:38:11Z,669
@MiloArnold,No way we got hughie from the boys voicing a talking cube,2026-06-02T22:42:16Z,740
@jimmysauceda2628,22:21 see you soon Faye we’ll be looking forward for your afterlife journey,2026-06-03T12:19:39Z,352
@PranavChhabra-b4p,"This 'Everywhen' is the exact place that Mimir warned Kratos about in the GOW 2018 in the HELHIEM saying ""NEVER GO THERE ""  🤯🤯🤯🤯🤯🤯",2026-06-09T11:35:50Z,1
@DwikySulistyawan,Now we know how chaotic and exhausted their family is,2026-06-03T12:10:26Z,319
@Raiko01,"Kratos: your mother is resting now
The mother: stuck in 20 minutes of cutscene",2026-06-03T15:04:34Z,286
@theblkdragon,“That Time Frank Reincarnated As A Cube”,2026-06-06T07:58:57Z,206
@TheIriidescent,"Sacada de trailer, de gameplay y de personajes. Santa Mónica sorprende para bien una vez más.",2026-06-09T05:59:14Z,2
@PowBamZing,My mom trying to find me in Disney World.,2026-06-03T12:33:15Z,746
@TheCheese25,"Fey ,a Talking Ribbon, and a blueberry flavored Jell-o",2026-06-04T22:30:28Z,400
@jeremiahmorris1852,I can see now why Kratos fell in love with her,2026-06-03T04:25:28Z,831
@skelator_history,This game look tuff,2026-06-08T22:44:41Z,3
@nezuko4014,"kratos fell in love with her the moment he saw that double jump, air combo and that she can parry with her hand😭",2026-06-03T20:56:28Z,421
@nusunterikx,devs opened blender and were like: hmm the default cube? keep it!,2026-06-05T10:11:42Z,190
@bonelesschickennuggets1868,"Ahh I get it, so this is the god's afterlife Odin was so obsessed to know about, and the mask he had as the only proof of it existing are the ones present in here. 

Glad to know that plotline isn't abandoned, just left for a another game to expand upon.",2026-06-03T23:01:05Z,64
