Comment_Text,Source_Row_Index,CKIP_Analysis_Text,CKIP_Matched_Pairs,CKIP_Matched_Pair_Count,CKIP_Matched_Sentences
"No matter how much time passes, hearing Mamamoo together again reminds you that some voices still feel like home. ❤️

아무리 시간이 지나도, 마마무가 다시 함께 노래하는 순간 그들의 목소리가 얼마나 그리웠는지 알게 된다. 마치 집에 돌아온 것처럼. ❤️",0,"無論過了多久，再次聽到 Mamamoo 的聲音都會提醒你，有些聲音仍然有家的感覺。 ❤️

不管過了多久，當Mamamoo再次一起唱歌的那一刻，你就會發現你是多麼想念他們的聲音。就像回家一樣。 ❤️",,0,
"no wonder the past 4 years felt so LONG, there was no mamamoo!",1,難怪過去四年感覺那麼漫長，沒有mamamoo！,感覺|漫長,1,難怪 過去 四 年 感覺 那麼 漫長 ， 沒有 mamamoo
Finally a song that doesn’t follow TikTok trends and is actually more than two mins,2,終於有一首不跟隨 TikTok 趨勢、實際上超過兩分鐘的歌曲了,趨勢|實際,1,終於 有 一 首 不 跟隨  TikTok  趨勢 、 實際 上 超過 兩 分鐘 的 歌曲 了
"In a world full of trendy music Mamamoo don't keep doing the hip, gogobebe type genre anymore but they never stop showcasing their extraordinary  vocals",3,在一個充滿潮流音樂的世界裡，Mamamoo不再繼續做時髦、gogobebe類型的音樂，但他們從未停止展示他們非凡的歌聲,歌聲|非凡; 音樂|時髦; 類型|時髦,3,在 一 個 充滿 潮流 音樂 的 世界 裡 ， Mamamoo 不再 繼續 做 時髦 、 gogobebe 類型 的 音樂 ， 但 他們 從未 停止 展示 他們 非凡 的 歌聲
"As we expected, they didn't went by the trend,but they went by the QUALITY,the queens always know how to feed us",4,正如我們所料，他們沒有追隨潮流，而是注重質量，皇后們總是知道如何養活我們,們|知道; 皇后|知道; 質量|知道,3,正 如 我們 所 料 ， 他們 沒有 追隨 潮流 ， 而是 注重 質量 ， 皇后 們 總是 知道 如何 養活 我們
"This comeback really feels like it's made for moomoos 🌸 harmonies, meaningful lyrics, melodic rap, high note, beautiful visuals, .. we got everything that make mamamoo MAMAMOO",5,這次的回歸真的感覺就像是為moomoos而生，和聲，有意義的歌詞，旋律說唱，高音，美麗的視覺效果，..我們擁有製作mamamoo MAMAMOO的一切,效果|美麗; 旋律|美麗; 視覺|美麗; 高音|美麗,4,這 次 的 回歸 真的 感覺 就 像是 為 moomoos 而 生 ， 和聲 ， 有 意義 的 歌詞 ， 旋律 說唱 ， 高音 ， 美麗 的 視覺 效果 ， .. 我們 擁有 製作 mamamoo  MAMAMOO 的 一切
"I love that nothing here is “trendy”, it’s all MAMAMOO’s identity: their genre, vocals, instrumentation, styling, creativity. It’s them, what they love, who they are, and what music means to them. That’s authenticity ❤‍🔥. Protect them at all costs 🥹❤",6,我喜歡這裡沒有什麼是「時尚」的，這都是 MAMAMOO 的特色：他們的流派、聲音、樂器、造型、創造力。是他們，他們熱愛什麼，他們是誰，以及音樂對他們意味著什麼。這就是真實性❤‍🔥。不惜一切代價保護他們🥹❤,音樂|意味,1,是 他們 ， 他們 熱愛 什麼 ， 他們 是 誰 ， 以及 音樂 對 他們 意味 著 什麼
"From the amazing music production, the harmony of their individual voices, and the long awaited reunion of these women, i am truly grateful. Please sing for a very long time, our MAMAMOO! 🥹",7,從令人驚嘆的音樂製作、她們個人聲音的和諧，以及這些女性期待已久的團聚，我真的很感激。請唱好久好久，我們的MAMAMOO！ 🥹,女性|久; 女性|團聚; 女性|期待,3,從 令 人 驚嘆 的 音樂 製作 、 她們 個人 聲音 的 和諧 ， 以及 這些 女性 期待 已 久 的 團聚 ， 我 真的 很 感激
The last time Mamamoo had a comeback I had just started college and this last month I just graduated. I missed them so much I'm so happy they're back.,8,上次 Mamamoo 復出時我剛上大學，上個月我剛畢業。我非常想念他們，我很高興他們回來了。,月|畢業,1,上 次  Mamamoo  復出 時 我 剛 上 大學 ， 上 個 月 我 剛 畢業
"Mamamoo promised not to separate for so long again. ""Mamamoo will continue"".",9,Mamamoo答應不會再分開這麼久了。 「Mamamoo會繼續」。,,0,
