Entity,Sentiment_Word,Co_occurrence_Count,Inferred_Reason
音樂,流行,22,'音樂' is a noun entity and '流行' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,喜歡,14,'歌' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,好聽,11,'歌' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,在一起,9,'人' is a noun entity and '在一起' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,棒,7,'歌' is a noun entity and '棒' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,美麗,7,'歌曲' is a noun entity and '美麗' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,喜歡,5,'人' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
時間,長,5,'時間' is a noun entity and '長' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,流行,5,'歌曲' is a noun entity and '流行' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,美妙,5,'歌曲' is a noun entity and '美妙' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
空氣,新鮮,5,'空氣' is a noun entity and '新鮮' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,上癮,4,'人' is a noun entity and '上癮' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,失望,4,'人' is a noun entity and '失望' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
團體,完整,4,'團體' is a noun entity and '完整' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,好,4,'歌' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,喜歡,4,'歌曲' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,好,4,'歌曲' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,好聽,4,'歌曲' is a noun entity and '好聽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
組合,喜歡,4,'組合' is a noun entity and '喜歡' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,流行,3,'人' is a noun entity and '流行' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,知道,3,'人' is a noun entity and '知道' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,耳目一新,3,'人' is a noun entity and '耳目一新' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
團體,這樣,3,'團體' is a noun entity and '這樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
媽媽,相信,3,'媽媽' is a noun entity and '相信' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
才華,美麗,3,'才華' is a noun entity and '美麗' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌,完美,3,'歌' is a noun entity and '完美' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,耳目一新,3,'歌曲' is a noun entity and '耳目一新' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
歌曲,這樣,3,'歌曲' is a noun entity and '這樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
聲音,在一起,3,'聲音' is a noun entity and '在一起' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
音樂,美妙,3,'音樂' is a noun entity and '美妙' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
