Comment_Author,Comment_Text,Comment_Date,Like_Count
@xxkrstnrg,"No matter how much time passes, hearing Mamamoo together again reminds you that some voices still feel like home. ❤️

아무리 시간이 지나도, 마마무가 다시 함께 노래하는 순간 그들의 목소리가 얼마나 그리웠는지 알게 된다. 마치 집에 돌아온 것처럼. ❤️",2026-06-09T04:28:57Z,249
@Amywhy,"no wonder the past 4 years felt so LONG, there was no mamamoo!",2026-06-09T14:25:11Z,87
@Shuuporangporanglinossss,Finally a song that doesn’t follow TikTok trends and is actually more than two mins,2026-06-08T20:11:04Z,390
@bekindwithyourwords,"In a world full of trendy music Mamamoo don't keep doing the hip, gogobebe type genre anymore but they never stop showcasing their extraordinary  vocals",2026-06-09T17:13:39Z,21
@theday9thime,"As we expected, they didn't went by the trend,but they went by the QUALITY,the queens always know how to feed us",2026-06-04T19:58:27Z,3836
@Philouu_moomoo,"This comeback really feels like it's made for moomoos 🌸 harmonies, meaningful lyrics, melodic rap, high note, beautiful visuals, .. we got everything that make mamamoo MAMAMOO",2026-06-08T21:02:25Z,134
@BasouRSS,"I love that nothing here is “trendy”, it’s all MAMAMOO’s identity: their genre, vocals, instrumentation, styling, creativity. It’s them, what they love, who they are, and what music means to them. That’s authenticity ❤‍🔥. Protect them at all costs 🥹❤",2026-06-04T18:01:47Z,1855
@regregreg,"From the amazing music production, the harmony of their individual voices, and the long awaited reunion of these women, i am truly grateful. Please sing for a very long time, our MAMAMOO! 🥹",2026-06-09T02:00:56Z,32
@emmataylor147,The last time Mamamoo had a comeback I had just started college and this last month I just graduated. I missed them so much I'm so happy they're back.,2026-06-06T06:43:08Z,2147
@hamstar_byulie,"Mamamoo promised not to separate for so long again. ""Mamamoo will continue"".",2026-06-08T16:17:24Z,53
@debolinasaha6490,"''even scattered, we share the same root"" ok girl 😭😭😭",2026-06-07T16:37:45Z,494
@infamux78,"They returned after 4 years and all 4 of them together, my wish came true, I missed them so much and I'm so glad they're here with us. Mamamoo, thank you for this, it's like a band-aid for my heart.  I'm going to cry, THE SONG IT'S SO BEAUTIFUL OMGGG 😭💕💕💕",2026-06-07T15:42:57Z,12
@ForeverwithGot7,So happy about their comeback. And their voices amazing as ever 🎉,2026-06-09T16:08:00Z,15
@purplekissluvsu5437,They said this wasn’t the last comeback and just the beginning of a new era. I’m so happy 😭😭 NEVER LETTING GO 🫶🏾,2026-06-04T17:41:34Z,1869
@immyownperson1375,I'm still disappointed it's only a single but I'll never be disppointed by the music they release. In Mamamoo we trust.,2026-06-05T15:19:48Z,703
@TruffetNecropolis,"Mamamoo,nmixx and itzy saving kpop with songs not for the charts but for the arts",2026-06-07T14:55:07Z,13
@marylinmorales5629,Mamamoo has being with me during hard times. Im overjoyed they are back. Thank you so much to our girls for your healing vocals and presence. Never letting go.,2026-06-08T02:15:15Z,47
@aaaaaaaaaaaaaaaaaaaasaaass2388,"""Here again, back to the top"" yesssss 🔥",2026-06-09T05:41:29Z,48
@daphnequirozcenturion7245,Tearing up. I've missed you girls so much ❤,2026-06-09T16:26:03Z,39
@michellpiala,"While others chase novelty, these Queens chose soul and made it sound effortless.
Their voices feel like all the good things in this world
woven into sound and sent straight to the heart.",2026-06-09T17:41:41Z,6
@WheeSaisMyEverything,"I've realized that 4 Flowers is actually a masterpiece. It does everything it needs to do. And nothing it doesn't.  It's catchy, it's beautifully sentimental, it delivers a message about them and their status. It spotlights their vocal talent across all 4 members. I'm in love ❤️",2026-06-08T08:34:47Z,17
@zackookie3250,Suddenly it's 2018 again🍃,2026-06-08T18:18:17Z,85
@mtd7868,waiting 4yrs seems kinda crazy to other people but there is no place i would rather be rn .I am happy to the point that i could cryyyyyyy. MOOMOO 4EVER,2026-06-04T09:26:00Z,4790
