Comment_Text,Source_Row_Index,CKIP_Analysis_Text,CKIP_Matched_Pairs,CKIP_Matched_Pair_Count,CKIP_Matched_Sentences,Stage1_Relevance_Score,Gemini_Emotion,Gemini_Reason,Gemini_Model
The only group where I can't pick a favorite. I love these four so much that it feels like my heart will burst out of my chest just seeing them smiling together.,40,唯一一個我無法選出最喜歡的組合。我非常喜歡這四個人，只要看到他們在一起微笑，我的心就會從胸口跳出來。,人|喜歡; 人|在一起; 心|在一起; 組合|喜歡,4,唯一 一 個 我 無法 選出 最 喜歡 的 組合 || 我 非常 喜歡 這 四 個 人 ， 只要 看到 他們 在一起 微笑 ， 我 的 心 就 會 從 胸口 跳出來,3,感動,看到四人合體非常感動,gemini-3.1-flash-lite
Literally the best Kpop song I heard in a long time and I'm not even a stan. I've been missing real music in kpop and real singing .,46,從字面上看，這是我很長一段時間以來聽到的最好的韓國流行歌曲，但我甚至不是粉絲。我一直在懷念韓流中真正的音樂和真正的歌唱。,時間|好; 時間|長; 歌曲|好; 歌曲|流行,4,從 字面 上 看 ， 這 是 我 很 長 一 段 時間 以來 聽到 的 最 好 的 韓國 流行 歌曲 ， 但 我 甚至 不 是 粉絲,3,興奮,稱讚歌曲與唱功極佳,gemini-3.1-flash-lite
"Mamamoo,nmixx and itzy saving kpop with songs not for the charts but for the arts",15,Mamamoo、nmixx 和 itzy 用歌曲拯救韓國流行音樂，不是為了排行榜，而是為了藝術,歌曲|流行; 音樂|流行,2,Mamamoo 、 nmixx  和  itzy   用 歌曲 拯救 韓國 流行 音樂 ， 不 是 為 了 排行榜 ， 而是 為了 藝術,2,期待,肯定團體對音樂的堅持,gemini-3.1-flash-lite
Someone is finally saving the kpop industry. I can finally stop listening to music that has lyrics sounding like it was written by a 6 years old american child.,30,終於有人拯救了韓國流行音樂產業。我終於可以不再聽歌詞聽起來像是個 6 歲美國小孩寫的音樂了。,人|流行; 產業|流行; 音樂|流行,3,終於 有 人 拯救 了 韓國 流行 音樂 產業,2,興奮,讚賞歌詞深度與品質,gemini-3.1-flash-lite
"제가 유일하게 아이돌 관련한 물품으로 캘린더를 산 마마무, 계속 확인할 정도로 팬은 아니지만 우연히라도 노래가 떴다는 소식을 듣거나 보면 노래는 꼭 들어보고 있습니다. 네 분 다 매력과 개성이 넘치고 그런 점을 녹여낸 곡들이 너무 좋은 것 같습니다. 좋은 노래 항상 감사합니다.",84,Mamamoo，我買的唯一與偶像相關的物品是日曆。我不是一個足以繼續檢查的歌迷，但當我聽到或看到這首歌已經發行時，我總是會聽這首歌，即使是偶然。你們四個人都充滿魅力和個性，我認為反映這一點的歌曲非常好。永遠感謝你的好歌。,個性|反映; 偶像|相關; 日曆|相關; 歌|好; 歌|感謝; 歌曲|反映; 歌曲|好; 物品|相關,8,Mamamoo ， 我 買 的 唯一 與 偶像 相關 的 物品 是 日曆 || 你們 四 個 人 都 充滿 魅力 和 個性 ， 我 認為 反映 這 一 點 的 歌曲 非常 好 || 永遠 感謝 你 的 好 歌,2,感動,感謝團體帶來好音樂,gemini-3.1-flash-lite
"Mamamoo’s new comeback is honestly a breath of fresh air. It has full Korean lyrics, amazing vocals, and rap—everything we need. It's such a vibe and so easy to enjoy. Now THIS is real K-pop",97,Mamamoo 的新回歸確實帶來了一股新鮮空氣。它有完整的韓語歌詞、令人驚嘆的歌聲和說唱——我們需要的一切。這是一種如此的氛圍，如此容易享受。現在這才是真正的韓國流行音樂,歌詞|完整; 氛圍|如此; 氛圍|容易; 空氣|新鮮; 韓語|完整; 音樂|流行,6,Mamamoo  的 新 回歸 確實 帶來 了 一 股 新鮮 空氣 || 它 有 完整 的 韓語 歌詞 、 令 人 驚嘆 的 歌聲 和 說唱 — — 我們 需要 的 一切 || 這 是 一 種 如此 的 氛圍 ， 如此 容易 享受 || 現在 這 才 是 真正 的 韓國 流行 音樂,2,興奮,認為這是真正的K-p,gemini-3.1-flash-lite
"Holy shit vocals and what a great song. 
You know, I've seen people say that Kpop companies need to create more groups like Mamamoo. But I think that sells them short in a big way - you can't just ""create"" a group like this, they are a once in a lifetime thing.",112,"神聖的歌聲和多麼棒的歌曲。 
你知道，我看過有人說韓國流行音樂公司需要創造更多像 Mamamoo 這樣的團體。但我認為這在很大程度上低估了他們——你不能只是「創造」這樣一個團體，他們是一生一次的事情。",人|流行; 人|知道; 團體|這樣; 歌曲|棒; 歌聲|棒; 歌聲|神聖; 程度|大; 音樂|流行; 音樂|需要,9,神聖 的 歌聲 和 多麼 棒 的 歌曲 || 你 知道 ， 我 看過 有 人 說 韓國 流行 音樂 公司 需要 創造 更多 像  Mamamoo  這樣 的 團體 || 但 我 認為 這 在 很 大 程度 上 低估 了 他們 — — 你 不能 只是 「 創造 」 這樣 一 個 團體 ， 他們 是 一生 一 次 的 事情,2,感動,認為她們是無可取代的,gemini-3.1-flash-lite
mamamoos vocals are absolutely incredible!! this song is a breath of fresh air in kpop these days ❤️,118,mamamoos的聲音絕對令人難以置信！這首歌是當今韓國流行音樂中的一股新鮮空氣❤️,歌|流行; 空氣|新鮮; 音樂|新鮮; 音樂|流行,4,這 首 歌 是 當今 韓國 流行 音樂 中 的 一 股 新鮮 空氣 ❤ ️,2,興奮,稱讚唱功與歌曲清新,gemini-3.1-flash-lite
this & Motto by ITZY are my favorite k-pop releases this year,151,ITZY 的 this 和 Motto 是我今年最喜歡的韓國流行歌曲,歌曲|喜歡; 歌曲|流行,2,ITZY  的  this  和  Motto  是 我 今年 最 喜歡 的 韓國 流行 歌曲,2,期待,列為年度最愛歌曲之一,gemini-3.1-flash-lite
"몇년만에 완전체야ㅠㅜㅜ😢😢
이 조합을 내가 얼마나 기다렸는데ㅠㅜ 진짜 너무 행복하다💚💚
근데 요번 노래 진짜 잘 뽑은듯.
ㄹㅇ?ㅇㅇ
다들 믿듣맘무 하세요!!",174,"幾年後就是一個完整的團體ㅠㅜㅜ😢😢
等這個組合好久了ㅠㅜ好開心💚💚
但我覺得這首歌選得很好。
ㄹㅇ?ㅇㅇ
請大家相信並聽聽！ ！",團體|完整; 歌|好; 歌|覺得; 組合|久,4,幾 年 後 就 是 一 個 完整 的 團體 ㅠㅜㅜ😢😢 || 等 這 個 組合 好 久 了 ㅠ ㅜ 好 開心 💚 💚 || 但 我 覺得 這 首 歌 選 得 很 好,2,興奮,等待多年終於合體回歸,gemini-3.1-flash-lite
genuinely one of the best kpop songs i have heard this year.... and its three mins long!!! mothers are showing the newgens how its done!,200,確實是我今年聽過的最好的韓國流行歌曲之一......而且它長達三分鐘！媽媽們正在向新生們展示它是如何做到的！,歌曲|好; 歌曲|流行,2,確實 是 我 今年 聽 過 的 最 好 的 韓國 流行 歌曲 之 一 ...... 而且 它 長達 三 分鐘,2,興奮,稱讚是年度最佳歌曲,gemini-3.1-flash-lite
"코첼라에서 다시 불러주면 조케따...
빚내서라도 보러갈듯..ㅜ
맘무언니들 좋은노래 내줘서 고마워용
오랜만에 언니들 노래 한창 듣던 학생일때로 다시 돌아간 느낌이여서 좋았어요
역시 믿듣맘무ㅜ 더알려져라",217,"如果你在科切拉音樂節再唱一次，那一定是 Joqueta...
我想即使要藉錢我也會去看..ㅜ
媽媽們，謝謝你們發布了這麼好聽的歌曲。
這很好，因為很長一段時間以來第一次聽到我姐妹們的歌曲，感覺就像回到了學生時代。
正如所料，我相信你。請讓更多人知道。",人|知道; 們|感覺; 姐妹|感覺; 學生|感覺; 時間|長; 歌曲|好聽; 歌曲|感覺,7,媽媽 們 ， 謝謝 你們 發布 了 這麼 好聽 的 歌曲 || 這 很 好 ， 因為 很 長 一 段 時間 以來 第一 次 聽到 我 姐妹 們 的 歌曲 ， 感覺 就 像 回到 了 學生 時代 || 請 讓 更多 人 知道,2,感動,回憶起學生時代的感動,gemini-3.1-flash-lite
케이팝에 필요했던 장르다 노래대박!!,230,這是韓國流行音樂需要的一種曲風。這是一首很棒的歌！ ！,曲風|需要; 歌|棒; 音樂|流行; 音樂|需要,4,這 是 韓國 流行 音樂 需要 的 一 種 曲風 || 這 是 一 首 很 棒 的 歌,2,興奮,認為是K-pop所需,gemini-3.1-flash-lite
It's so refreshing to hear a new K-pop song that's vocal-heavy.,251,聽到一首充滿人聲的新韓國流行歌曲真是令人耳目一新。,人|流行; 人|耳目一新; 人聲|新; 人聲|流行; 歌曲|新; 歌曲|流行; 歌曲|耳目一新,7,聽到 一 首 充滿 人聲 的 新 韓國 流行 歌曲 真是 令 人 耳目一新,2,興奮,喜愛以唱功為主的歌曲,gemini-3.1-flash-lite
