Comment_Text,Source_Row_Index,CKIP_Analysis_Text,CKIP_Matched_Pairs,CKIP_Matched_Pair_Count,CKIP_Matched_Sentences
本集最強怪物：沙蟲,0,本集最強怪物：沙蟲,怪物|強; 沙蟲|強; 集|強,3,本 集 最 強 怪物 ： 沙蟲
別的魔物辛苦的在與阿斯近戰，阿斯在遠程輕輕鬆鬆地射爆魔物的跨下,1,別的魔物辛苦的在與阿斯近戰，阿斯在遠程輕輕鬆鬆地射爆魔物的跨下,阿斯|輕輕鬆鬆; 阿斯|辛苦; 阿斯|近戰; 魔物|輕輕鬆鬆; 魔物|辛苦,5,別的 魔物 辛苦 的 在 與 阿斯 近戰 ， 阿斯 在 遠程 輕輕鬆鬆 地 射爆 魔物 的 跨下
19:32 這落地船超帥 然後後面的幽靈騎士的動畫也超帥,2,19:32 這落地船超帥 然後後面的幽靈騎士的動畫也超帥,動畫|帥; 動畫|超; 幽靈|帥; 幽靈|超; 落地船|帥; 落地船|超; 騎士|帥; 騎士|超,8,19:32  這 落地船 超 帥   然後 後面 的 幽靈 騎士 的 動畫 也 超 帥
"阿斯
可以問模組名字嗎",3,"阿斯
可以問模組名字嗎",,0,
奇怪的液體？😂😂😂,4,奇怪的液體？😂😂😂,液體|奇怪,1,奇怪 的 液體
"太棒了!
辛苦了!",5,"太棒了!
辛苦了!",,0,
😂😂😂😂😂😂😂😂,6,😂😂😂😂😂😂😂,,0,
世界溶解者<水TNT,7,世界溶解者<水TNT,水|溶解; 者|溶解,2,世界 溶解 者 < 水 TNT
現代軍火力量生存🔫🗡,8,現代軍火力量生存🔫🗡,力量|生存; 軍火|生存,2,現代 軍火 力量 生存 🔫 🗡
不是說會拍寄生蟲的第三集嗎？,9,不是說會拍寄生蟲的第三集嗎？,,0,
最後也最強,10,最後也最強,,0,
阿斯。你每一个影片都很。好看❤❤❤❤,11,阿斯。你每一个影片都很。好看❤❤❤❤,,0,
😊😊😊,12,😊😊😊,,0,
有,13,有,,0,
38秒前！为什么还有比我快的人,14,38秒前！為什麼還有比我快的人,人|快,1,為什麼 還 有 比 我 快 的 人
七步之外槍快 七步之內槍又準又快,15,七步之外槍快 七步之內槍又準又快,槍|快; 槍|準,2,七 步 之外 槍 快   七 步 之內 槍 又 準 又 快
這是我看過最好看的一集,16,這是我看過最好看的一集,,0,
阿斯玩这个模組不错🎉🎉,17,阿斯玩這個模組不錯🎉🎉,模組|不錯; 阿斯|不錯,2,阿斯 玩 這 個 模組 不錯 🎉 🎉
阿斯這次的開場白有點不一樣😂😂😂,18,阿斯這次的開場白有點不一樣😂😂😂,開場白|一樣,1,阿斯 這 次 的 開場白 有點 不 一樣 😂 😂 😂
厲害喔,19,厲害喔,,0,
霰弹枪,20,霰弹枪,,0,
那個是創世神應,21,那個是創世神應,,0,
今日最強： 槍,22,今日最強： 槍,,0,
有水蟲嗎？😂😂😂,23,有水蟲嗎？😂😂😂,,0,
爽吃,24,爽吃,,0,
又来到我们最喜欢的模组了😂,25,又來到我們最愛的模組了😂,,0,
