Entity,Sentiment_Word,Co_occurrence_Count,Inferred_Reason
模組,感覺,2,'模組' is a noun entity and '感覺' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
火力,不足,2,'火力' is a noun entity and '不足' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
火力,恐懼,2,'火力' is a noun entity and '恐懼' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
事,好,1,'事' is a noun entity and '好' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
事,擔心,1,'事' is a noun entity and '擔心' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,快,1,'人' is a noun entity and '快' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
人,知道,1,'人' is a noun entity and '知道' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
傷害,不行,1,'傷害' is a noun entity and '不行' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
力量,生存,1,'力量' is a noun entity and '生存' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
動物,掉,1,'動物' is a noun entity and '掉' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
動畫,帥,1,'動畫' is a noun entity and '帥' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
動畫,超,1,'動畫' is a noun entity and '超' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
名字,好玩,1,'名字' is a noun entity and '好玩' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
名字,感覺,1,'名字' is a noun entity and '感覺' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
含金量,不足,1,'含金量' is a noun entity and '不足' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
含金量,恐懼,1,'含金量' is a noun entity and '恐懼' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
哈拿槍,好笑,1,'哈拿槍' is a noun entity and '好笑' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
噴火龍,弱,1,'噴火龍' is a noun entity and '弱' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
噴火龍,覺得,1,'噴火龍' is a noun entity and '覺得' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
地形,記得,1,'地形' is a noun entity and '記得' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
天,眼熟,1,'天' is a noun entity and '眼熟' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
威力,感覺,1,'威力' is a noun entity and '感覺' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
威力,現代,1,'威力' is a noun entity and '現代' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
子彈,所謂,1,'子彈' is a noun entity and '所謂' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
封面,記得,1,'封面' is a noun entity and '記得' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
導士,好愛,1,'導士' is a noun entity and '好愛' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
幽靈,帥,1,'幽靈' is a noun entity and '帥' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
幽靈,超,1,'幽靈' is a noun entity and '超' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
床,帥,1,'床' is a noun entity and '帥' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
影片,擔心,1,'影片' is a noun entity and '擔心' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
影片,新,1,'影片' is a noun entity and '新' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
影片,特別,1,'影片' is a noun entity and '特別' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
影片,知道,1,'影片' is a noun entity and '知道' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
怪物,強,1,'怪物' is a noun entity and '強' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
感覺,帥,1,'感覺' is a noun entity and '帥' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
感覺,爽,1,'感覺' is a noun entity and '爽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
手,不見了,1,'手' is a noun entity and '不見了' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
手,多,1,'手' is a noun entity and '多' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
掉落物,一樣,1,'掉落物' is a noun entity and '一樣' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
斯,好笑,1,'斯' is a noun entity and '好笑' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
時代,變,1,'時代' is a noun entity and '變' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
時候,好笑,1,'時候' is a noun entity and '好笑' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
李玉群,感覺,1,'李玉群' is a noun entity and '感覺' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
槍,快,1,'槍' is a noun entity and '快' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
槍,準,1,'槍' is a noun entity and '準' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
槍射龍,爽,1,'槍射龍' is a noun entity and '爽' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
槍械,不足,1,'槍械' is a noun entity and '不足' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
槍械,恐懼,1,'槍械' is a noun entity and '恐懼' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
模組,不錯,1,'模組' is a noun entity and '不錯' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
模組,好好玩,1,'模組' is a noun entity and '好好玩' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
模組,好玩,1,'模組' is a noun entity and '好玩' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
模組,平板,1,'模組' is a noun entity and '平板' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
模組,生存,1,'模組' is a noun entity and '生存' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
模組,眼熟,1,'模組' is a noun entity and '眼熟' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
樹葉,知道,1,'樹葉' is a noun entity and '知道' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
樹葉,記得,1,'樹葉' is a noun entity and '記得' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
武器,感覺,1,'武器' is a noun entity and '感覺' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
武器,掉,1,'武器' is a noun entity and '掉' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
武器,現代,1,'武器' is a noun entity and '現代' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
殭屍生,生存,1,'殭屍生' is a noun entity and '生存' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
氣水,感覺,1,'氣水' is a noun entity and '感覺' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
氣質,感覺,1,'氣質' is a noun entity and '感覺' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
水,溶解,1,'水' is a noun entity and '溶解' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
沙蟲,強,1,'沙蟲' is a noun entity and '強' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
沙蟲,記得,1,'沙蟲' is a noun entity and '記得' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
液體,奇怪,1,'液體' is a noun entity and '奇怪' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
涼帽,感覺,1,'涼帽' is a noun entity and '感覺' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
滅龍魔,好愛,1,'滅龍魔' is a noun entity and '好愛' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
熾足獸,爆炸,1,'熾足獸' is a noun entity and '爆炸' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
片段,好笑,1,'片段' is a noun entity and '好笑' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
牛,轉生成,1,'牛' is a noun entity and '轉生成' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
真理,所謂,1,'真理' is a noun entity and '所謂' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
終結龍,弱,1,'終結龍' is a noun entity and '弱' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
終結龍,覺得,1,'終結龍' is a noun entity and '覺得' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
經驗值,注意,1,'經驗值' is a noun entity and '注意' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
經驗值,結尾,1,'經驗值' is a noun entity and '結尾' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
者,溶解,1,'者' is a noun entity and '溶解' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
英文,亂七八糟,1,'英文' is a noun entity and '亂七八糟' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
落地船,帥,1,'落地船' is a noun entity and '帥' is a sentiment-bearing word; they appear within a 5-token window in the same sentence.
