Comment_Author,Comment_Text,Comment_Date,Like_Count
@川燈_JenD,本集最強怪物：沙蟲,2026-06-04T09:37:48Z,110
@天天珊瑚Sky_Coral,別的魔物辛苦的在與阿斯近戰，阿斯在遠程輕輕鬆鬆地射爆魔物的跨下,2026-06-04T10:19:18Z,32
@LZzzz62,19:32 這落地船超帥 然後後面的幽靈騎士的動畫也超帥,2026-06-04T08:47:49Z,50
@賴葳仁,"阿斯
可以問模組名字嗎",2026-06-04T09:22:39Z,93
@翁啟哲-x6q,奇怪的液體？😂😂😂,2026-06-07T07:47:16Z,0
@ipis2427,"太棒了!
辛苦了!",2026-06-04T09:02:38Z,10
@帥氣的藍髮男,😂😂😂😂😂😂😂😂,2026-06-06T05:08:43Z,0
@帥氣的藍髮男,世界溶解者<水TNT,2026-06-06T05:08:36Z,0
@葉正合,現代軍火力量生存🔫🗡,2026-06-06T14:49:25Z,0
@s何祖豪,不是說會拍寄生蟲的第三集嗎？,2026-06-05T09:35:59Z,0
@黄同學-b1y,最後也最強,2026-06-06T23:48:53Z,0
@VivianCheah-q4w,阿斯。你每一个影片都很。好看❤❤❤❤,2026-06-04T09:43:51Z,5
@陳貴美-d3b,😊😊😊,2026-06-07T02:10:53Z,0
@HyChu-w3g,有,2026-06-06T10:17:08Z,0
@kouhi-l7j,38秒前！为什么还有比我快的人,2026-06-04T09:01:06Z,17
@k412,七步之外槍快 七步之內槍又準又快,2026-06-06T06:00:15Z,0
@郭筱涵-u7m,這是我看過最好看的一集,2026-06-06T05:40:28Z,1
@fahkiechong85,阿斯玩这个模組不错🎉🎉,2026-06-04T11:45:01Z,3
@林阿耀-l2k,阿斯這次的開場白有點不一樣😂😂😂,2026-06-07T10:14:57Z,0
@陳貴美-d3b,厲害喔,2026-06-07T02:10:37Z,1
@王太-d8t,霰弹枪,2026-06-05T05:25:44Z,0
@吳沛緁,那個是創世神應,2026-06-06T08:19:52Z,0
@遊戲旅行者,今日最強： 槍,2026-06-06T06:48:25Z,0
@aaliyahUne,有水蟲嗎？😂😂😂,2026-06-05T22:47:24Z,0
@zoper3273,爽吃,2026-06-04T09:00:39Z,0
@初夏海风游戏频道,又来到我们最喜欢的模组了😂,2026-06-04T15:41:54Z,0
@0000u3u-t,最強魔王：阿斯,2026-06-05T13:44:18Z,0
@哥仔妹仔小家,阿斯換頭像,2026-06-07T07:15:20Z,0
@鄭乃賓-e3i,各位能幫忙嗎,2026-06-06T08:19:58Z,0
@ryanko-hn6wl,那隻雪怪我上次跟鐵巨人一起打就打贏了,2026-06-07T15:14:54Z,0
@姜大大QWQ,模組要多少錢呢？,2026-06-05T11:39:57Z,0
@王太-d8t,"那把枪温切斯特
😊😊😊😊",2026-06-05T05:25:37Z,0
@黃佑生-q3r,"啊斯～ 可以玩玩 殭屍生生存嗎？
麥塊的 看國外玩很刺激！",2026-06-05T12:13:10Z,0
@ure1756,"哈哈打這個為
位置🐔",2026-06-06T12:44:22Z,0
@TWSean,這次開頭特別,2026-06-04T11:04:10Z,1
@Aka-Chan0519,時代變了😂,2026-06-05T07:33:47Z,0
@hfsvcbmf,讚,2026-06-04T10:59:40Z,0
@菜乃花綾崎,阿斯應該要開一個都市傳說模組所有scp的模組生存，好像有看過麥塊有人玩過，阿斯玩應該蠻有趣的,2026-06-04T10:57:48Z,1
@Harper尹,wow,2026-06-04T11:08:20Z,2
@小柔柔-67,阿斯还有一个模组要介绍给你就是史蒂夫模组,2026-06-05T14:46:32Z,0
@AFOWOJB,後面幾個片段超好笑🤣,2026-06-04T12:45:17Z,0
@edwinang6751,那个没有树叶的树木地形是herobrine的地形,2026-06-04T11:15:43Z,2
@看電影themovier,20:25  感覺現代武器的威力不及四張床+戰歌 😂,2026-06-05T12:34:38Z,2
@yanlingsong-fc6bf,是不是每只動物都會掉武器啊😂,2026-06-04T13:46:53Z,0
@Ice_creamO3O,"要素過多（X）
槍射龍很爽
雖然用床炸感覺更帥更爽一點",2026-06-08T01:39:39Z,0
@lovesenior22,哈囉囉囉囉 彈舌彈起來,2026-06-04T11:55:29Z,0
@AaronWang-pl6ds,him的傳說就是會把樹葉都挖掉,2026-06-06T13:35:25Z,0
@Piggybank-o8b,很好奇阿斯记忆体总共有多少？,2026-06-05T08:47:33Z,0
@Lokulo,我的天一堆眼熟的模組,2026-06-04T19:11:58Z,0
@yanlingsong-fc6bf,喝氣水涼帽感覺阿斯帶上很符合氣質😂,2026-06-04T13:45:34Z,0
@曉之扉_kabala6029,"咦？封面換了？
我記得原本是沙蟲的封面0.0",2026-06-04T22:53:45Z,0
@有感布丁-m8m,你好,2026-06-04T09:25:05Z,1
@ddyuan,那是狙榴槍,2026-06-07T09:34:53Z,0
@stickybacteria300,超多要素,2026-06-04T11:43:48Z,0
@ren8270,開頭依舊熟悉彈舌,2026-06-06T08:10:04Z,2
@pauper1129,這個模組感覺不弄隨機掉落也很有趣呢,2026-06-04T19:44:13Z,0
@吸瓜-r3f,安安,2026-06-04T09:00:24Z,1
@yanlingsong-fc6bf,怎麼覺得噴火龍比終結龍還弱啊😂,2026-06-04T14:08:27Z,0
@shuang3211,這個水tnt我想看xd,2026-06-04T11:45:11Z,0
@黃兆佑-l4j,"阿斯
可以問模組名字嗎感覺很好玩",2026-06-04T10:43:48Z,0
@tailu2559,那個豬銀行應該是minecraft地下城的寶箱豬,2026-06-04T12:30:51Z,0
