Comment_Text,Source_Row_Index,CKIP_Analysis_Text,CKIP_Matched_Pairs,CKIP_Matched_Pair_Count,CKIP_Matched_Sentences
經典故事教訓我們別動人家的狗⋯後果嚴重。,0,經典故事教訓我們別動人家的狗⋯後果嚴重。,後果|嚴重; 狗|嚴重,2,經典 故事 教訓 我們 別 動 人家 的 狗 ⋯ 後果 嚴重
超少女之瘋狂麥斯,1,超少女之瘋狂麥斯,麥斯|瘋狂,1,超少女 之 瘋狂 麥斯
"很重要所以要強調三次
克拉克是卡拉的是堂弟！！！
克拉克是卡拉的是堂弟！！！
克拉克是卡拉的是堂弟！！！
誰跟你堂哥？？誰翻的啦！！",2,"很重要所以要強調三次
克拉克是卡拉的是堂弟！！！
克拉克是卡拉的是堂弟！！！
克拉克是卡拉的是堂弟！！！
誰跟你堂哥？？誰翻的啦！！",,0,
堂弟變了堂哥，翻譯的沒做功課嗎？,3,堂弟變了堂哥，翻譯的沒做功課嗎？,,0,
Can’t wait😊,4,等不及了😊,,0,
期待啊,5,期待啊,,0,
不錯喔…看預告完全不知道這部想講什麼故事…挺好，至少比看預告就等於看完全片好…只是真的不知道這部定位在哪😂⋯⋯單純帶出超少女嗎？,6,不錯喔…看預告完全不知道這部想講什麼故事…挺好，至少比看預告就等於看完全片好…只是真的不知道這部定位在哪😂⋯⋯單純帶出超少女嗎？,定位|單純; 定位|知道; 故事|好; 片|好; 超少女|單純; 預告|好,6,不錯 喔 … 看 預告 完全 不 知道 這 部 想 講 什麼 故事 … 挺 好 ， 至少 比 看 預告 就 等於 看完 全 片 好 … 只是 真的 不 知道 這 部 定位 在 哪 😂 ⋯⋯ 單純 帶出 超少女 嗎
末摩亞 終於可以演自己了,7,末摩亞 終於可以演自己了,,0,
可以看,8,可以看,,0,
不是堂弟嗎?,9,不是堂弟嗎?,,0,
00:57 當 水行俠 想在陸地上當摩托車暴走族時的樣子~😂,10,00:57 當 水行俠 想在陸地上當摩托車暴走族時的樣子~😂,,0,
"隨著時間的推進：超少女、超女人、超熟女、超阿姨、超阿婆、超阿嬤...
單純的女超人不好嗎？",11,"隨著時間的推進：超少女、超女人、超熟女、超阿姨、超阿婆、超阿嬤...
單純的女超人不好嗎？",女|單純; 女|好; 超人|單純; 超人|好,4,單純 的 女 超人 不 好 嗎
充滿星際異攻隊的影子,12,充滿星際異攻隊的影子,,0,
應該找影集版女演員來演女超人,13,應該找影集版女演員來演女超人,,0,
看完小丑女系列「再推超少女作品」,14,看完小丑女系列「再推超少女作品」,,0,
Gunn的異攻隊風格。。😢,15,Gunn的異攻隊風格。。😢,,0,
我記得我們那年代的超少女是觀月亞里莎XD,16,我記得我們那年的超少女是觀月亞裡莎XD,超|記得,1,我 記得 我們 那 年 的 超 少女 是 觀月 亞裡莎X D
尚未看超人，最後出現彩蛋，超少女❤,17,尚未看超人，最後出現彩蛋，超少女❤,彩蛋|出現; 超人|出現; 超少女|出現,3,尚未 看 超人 ， 最後 出現 彩蛋 ， 超少女 ❤
"為什麼要找個路人來演
注定票房爛",18,"為什麼要找個路人來演
注定票房爛",票房|注定; 票房|爛,2,注定 票房 爛
岡恩的風格太重了… 他果然很喜歡星際異攻隊,19,岡恩的風格太重了… 他果然很喜歡星際異攻隊,岡恩|重; 異攻隊|喜歡; 風格|重,3,岡恩 的 風格 太 重 了 …   他 果然 很 喜歡 星際 異攻隊
很期待❤尤其看完原著很好奇會怎麼呈現,20,很期待❤尤其看完原著很好奇會怎麼呈現,原著|好奇; 原著|期待,2,很 期待 ❤ 尤其 看完 原著 很 好奇 會 怎麼 呈現
我想看！預告好熱血！！,21,我想看！預告好熱血！！,,0,
岡恩：「接下來的作品豐富，依序是星際異攻隊4、星際異攻隊5、星際異攻隊6、星際異攻隊7、星際異攻隊8，很期待吧，恩對。」,22,岡恩：「接下來的作品豐富，依序是星際異攻隊4、星際異攻隊5、星際異攻隊6、星際異攻隊7、星際異攻隊8，很期待吧，恩對。」,作品|豐富; 恩|期待; 異攻隊|期待; 異攻隊|豐富,4,岡恩 ： 「 接下來 的 作品 豐富 ， 依序 是 星際 異攻隊 4 、 星際 異攻隊 5 、 星際 異攻隊 6 、 星際 異攻隊 7 、 星際 異攻隊 8 ， 很 期待 吧 ， 恩 對
不懂好幾部超人電影都是大帥哥主演沒問題！？好不容易等到一部超少女電影徧要這樣..........?,23,不懂好幾部超人電影都是大帥哥主演沒問題！？好不容易等到一部超少女電影徧要這樣..........?,問題|大帥哥; 少女|這樣; 超人|大帥哥; 超人|懂; 電影|大帥哥; 電影|懂; 電影|這樣,7,不 懂 好幾 部 超人 電影 都 是 大帥哥 主演 沒 問題 || 好不容易 等到 一 部 超 少女 電影 徧 要 這樣 ..........
女主角不好看，等於沒看的必要,24,女主角不好看，等於沒看的必要,主角|好看; 女|好看,2,女 主角 不 好看 ， 等於 沒 看 的 必要
本片採用已經超過40年的排行榜冠軍曲call me，真是感動震撼啊，老美懷舊經典的精神令人敬佩🎉,25,本片採用已經超過40年的排行榜冠軍曲call me，真是感動震撼啊，老美懷舊經典的精神令人敬佩🎉,人|懷舊; 冠軍曲|感動; 精神|懷舊; 經典|懷舊; 老美|感動; 老美|懷舊,6,本 片 採用 已經 超過 40年 的 排行榜 冠軍曲 call  me ， 真是 感動 震撼 啊 ， 老美 懷舊 經典 的 精神 令 人 敬佩 🎉
😂還是重看美少女戰士好了……,26,😂還是重看美少女戰士好了……,少女|美; 戰士|美,2,😂 還是 重看 美 少女 戰士 好了 … …
靠妹,27,靠妹,,0,
她真的是女版亞當術士演員！長的有夠像,28,她真的是女版亞當術士演員！長的有夠像,,0,
我要看我要看我要看我要看！！！！,29,我要看我要看我要看我要看！！！！,,0,
劇情節要：給我狗藥,30,劇情節要：給我狗藥,,0,
阿薛,31,阿薛,,0,
怎麼感覺會比新超人還難看?,32,怎麼感覺會比新超人還難看?,超人|感覺; 超人|新; 超人|難看,3,怎麼 感覺 會 比 新 超人 還 難看
我也想,33,我也想,,0,
怎辦？我是進來聽預告片音樂的,34,怎辦？我是進來聽預告片音樂的,,0,
華納高層是不是認為超人電影的敗因是因為演員太帥?,35,華納高層是不是認為超人電影的敗因是因為演員太帥?,敗因|帥; 敗因|超人; 演員|帥; 電影|超人; 高層|超人,5,華納 高層 是 不 是 認為 超人 電影 的 敗因 是 因為 演員 太 帥
果然氪星人在其他外星種族裡也只是普通略強的存在,36,果然氪星人在其他外星種族裡也只是普通略強的存在,種族|普通,1,果然 氪星人 在 其他 外星 種族 裡 也 只 是 普通 略 強 的 存在
瘋狂麥斯：超人來襲,37,瘋狂麥斯：超人來襲,超人|瘋狂; 麥斯|瘋狂,2,瘋狂 麥斯 ： 超人 來襲
下集預告:超老人,38,下集預告:超老人,,0,
感覺不會有續集了,39,感覺不會有續集了,續集|感覺,1,感覺 不會 有 續集 了
期待之後能看到爆狼跟水行俠聯手😂,40,期待之後能看到爆狼跟水行俠聯手😂,水行俠|爆; 水行俠|聯手; 狼|期待; 狼|爆; 狼|聯手,5,期待 之後 能 看到 爆 狼 跟 水行俠 聯手 😂
小龍女轉生異世界變成超女的那檔事,41,小龍女轉生異世界變成超女的那檔事,小龍女|轉生; 超女|轉生,2,小龍女 轉生 異世界 變成 超女 的 那 檔 事
期待跟亞當術士、阿薛夢幻聯動,42,期待跟亞當術士、阿薛夢幻聯動,亞當|期待; 術士|期待; 阿薛|期待,3,期待 跟 亞當 術士 、 阿薛 夢幻 聯動
超英毀滅之路 人人都在添磚加瓦,43,超英毀滅之路 人人都在添磚加瓦,,0,
岡恩就愛這種鏡頭,44,岡恩就愛這種鏡頭,,0,
雖然女主不是正妹  但打鬥場面看起來還滿經採    so  還是會捧場,45,雖然女主不是正妹  但打鬥場面看起來還滿經採    so  還是會捧場,,0,
充滿星際異攻隊風范…,46,充滿星際異攻隊風范…,,0,
