Comment_Author,Comment_Text,Comment_Date,Like_Count
@peacefulomen,經典故事教訓我們別動人家的狗⋯後果嚴重。,2026-06-03T17:09:55Z,192
@Kaoru-c6x,超少女之瘋狂麥斯,2026-06-03T17:20:49Z,109
@Min-El-dg9tq,"很重要所以要強調三次
克拉克是卡拉的是堂弟！！！
克拉克是卡拉的是堂弟！！！
克拉克是卡拉的是堂弟！！！
誰跟你堂哥？？誰翻的啦！！",2026-06-03T17:15:43Z,215
@nakal7,堂弟變了堂哥，翻譯的沒做功課嗎？,2026-06-03T17:48:34Z,11
@GBGOATBENNY,Can’t wait😊,2026-06-04T02:29:13Z,0
@陳運生-j4r,期待啊,2026-06-04T10:35:18Z,1
@ankosea9773,不錯喔…看預告完全不知道這部想講什麼故事…挺好，至少比看預告就等於看完全片好…只是真的不知道這部定位在哪😂⋯⋯單純帶出超少女嗎？,2026-06-03T16:39:11Z,51
@lifegamer9887,末摩亞 終於可以演自己了,2026-06-04T02:19:46Z,4
@李建錡-b6h,可以看,2026-06-03T17:46:48Z,0
@akw45966,不是堂弟嗎?,2026-06-03T16:48:44Z,36
@abcd9738116,00:57 當 水行俠 想在陸地上當摩托車暴走族時的樣子~😂,2026-06-03T17:37:24Z,29
@risejimsu,"隨著時間的推進：超少女、超女人、超熟女、超阿姨、超阿婆、超阿嬤...
單純的女超人不好嗎？",2026-06-05T00:14:41Z,2
@伊森-e7e,充滿星際異攻隊的影子,2026-06-03T17:30:41Z,43
@邱玉米-v5b,應該找影集版女演員來演女超人,2026-06-03T22:40:45Z,32
@云庭宋,看完小丑女系列「再推超少女作品」,2026-06-06T10:38:29Z,0
@baiqi87,Gunn的異攻隊風格。。😢,2026-06-03T16:25:34Z,63
@leo78915,我記得我們那年代的超少女是觀月亞里莎XD,2026-06-04T06:17:20Z,2
@Old-fish-yu,尚未看超人，最後出現彩蛋，超少女❤,2026-06-03T19:57:31Z,0
@kit7575,"為什麼要找個路人來演
注定票房爛",2026-06-05T08:44:18Z,3
@BryanPan-ic9bn,岡恩的風格太重了… 他果然很喜歡星際異攻隊,2026-06-03T18:25:31Z,44
@jwjpswij7273,很期待❤尤其看完原著很好奇會怎麼呈現,2026-06-03T17:44:00Z,0
@黃慶強,我想看！預告好熱血！！,2026-06-04T12:27:19Z,0
@adamison2018,岡恩：「接下來的作品豐富，依序是星際異攻隊4、星際異攻隊5、星際異攻隊6、星際異攻隊7、星際異攻隊8，很期待吧，恩對。」,2026-06-03T19:20:15Z,1
@AsAs-m6x9o,不懂好幾部超人電影都是大帥哥主演沒問題！？好不容易等到一部超少女電影徧要這樣..........?,2026-06-05T09:52:04Z,4
@a123a12360,女主角不好看，等於沒看的必要,2026-06-05T03:26:21Z,4
@Peter-vw9pw,本片採用已經超過40年的排行榜冠軍曲call me，真是感動震撼啊，老美懷舊經典的精神令人敬佩🎉,2026-06-05T13:07:47Z,0
@lovingthink,😂還是重看美少女戰士好了……,2026-06-04T22:13:54Z,2
@rickala1217,靠妹,2026-06-05T05:56:09Z,2
@翁健智-h8i,她真的是女版亞當術士演員！長的有夠像,2026-06-05T14:43:32Z,1
@4254654687,我要看我要看我要看我要看！！！！,2026-06-06T12:00:05Z,0
@myboringplace,劇情節要：給我狗藥,2026-06-04T00:15:55Z,0
@kurokoshiroke4089,阿薛,2026-06-03T17:36:29Z,5
@夜曉雨,怎麼感覺會比新超人還難看?,2026-06-05T18:30:28Z,2
@影慣闔x-swordman,我也想,2026-06-04T11:22:35Z,0
@PODREAM193,怎辦？我是進來聽預告片音樂的,2026-06-04T00:25:48Z,0
@鍵盤魔術師,華納高層是不是認為超人電影的敗因是因為演員太帥?,2026-06-04T14:29:27Z,1
@yingjieyuan,果然氪星人在其他外星種族裡也只是普通略強的存在,2026-06-03T17:10:50Z,23
@terry5994,瘋狂麥斯：超人來襲,2026-06-04T03:20:50Z,0
@Littlebear-0613,下集預告:超老人,2026-06-04T00:20:27Z,1
@朦朧哥哥,感覺不會有續集了,2026-06-03T17:48:51Z,0
@caspar1260,期待之後能看到爆狼跟水行俠聯手😂,2026-06-06T14:14:16Z,0
@PIKA_QAQ,小龍女轉生異世界變成超女的那檔事,2026-06-03T17:46:51Z,0
@BrianLu0106,期待跟亞當術士、阿薛夢幻聯動,2026-06-04T03:01:15Z,1
@airds123ify,超英毀滅之路 人人都在添磚加瓦,2026-06-03T17:18:33Z,2
@李建錡-b6h,岡恩就愛這種鏡頭,2026-06-03T20:27:33Z,1
@johncook-t6y,雖然女主不是正妹  但打鬥場面看起來還滿經採    so  還是會捧場,2026-06-07T05:54:47Z,1
@Mitchie7788,充滿星際異攻隊風范…,2026-06-05T15:42:53Z,0
@carlnilssonyoung8961,Trailer已看完整套。😂沒賣點。,2026-06-04T17:19:41Z,0
@xw0406,Damn 真帥欸,2026-06-09T05:02:14Z,0
@chentzuyi,沒有讓黑人來演，已經是很大的成功了🎉⋯⋯,2026-06-07T07:23:27Z,1
@BoyBoy-re7pb,超少女: GOG edition~  導演也直接認了 0:40,2026-06-05T01:43:14Z,0
@tdem2009,堂哥，外甥吧...!?😅😅😅,2026-06-04T10:01:38Z,1
@aminiboyisbruce,腦海中只有阿薛,2026-06-04T05:27:46Z,0
@真實心聲的評論,英雄的定義本來就因人而異，但英雄的職責就是守護需要守護的生命和地方，以及懲戒為非作歹的惡徒,2026-06-05T12:39:56Z,0
@riker729,"時代越進步, 衣服穿越多, 懷念以前神力女超人年代......喔! 這個是少女, 那沒事了!",2026-06-05T10:09:49Z,0
@vincentnes,會飛的功夫少女,2026-06-03T22:15:55Z,0
@Ruls2635,...我記得之前有個選角比這個漂亮的,2026-06-03T19:47:00Z,3
@SungWa-b1u,會不會又是後面新番的前導片，只有超人，沒有聯盟嗎？,2026-06-05T14:18:22Z,0
@slimdc3141,我是中国大陆的DC粉 最近才开始关注YouTube 但是我怎么搜都是些国内博主 评论区有台胞可以推荐一下YouTube上的海外DC粉繁中账号吗？讲漫画或者DC电影动画的 谢谢你们,2026-06-06T03:56:19Z,1
@林偉偉-k1b,可惜不是電視版女主角!,2026-06-03T23:42:39Z,2
@changfan7118,超人是超少女的堂弟，因為超人比較早幾年到地球從睡眠中覺醒年齡反而比超少女大,2026-06-04T09:52:57Z,0
@zerochang1101,超人異攻隊。檳榔少吃一點,2026-06-04T00:55:42Z,2
@SIN401248,個人比較期待能拍 Power Girl 😂,2026-06-04T18:16:01Z,0
@侯政瑜,你沉醉?!,2026-06-04T04:00:53Z,0
@zito0611,愛狗人士協會喜提會員一枚,2026-06-04T00:24:13Z,1
@cheebc9981,1:52 裙子底下竟然還有安全褲，差評。,2026-06-04T12:35:54Z,2
@zero40537,英雄電影真的很麻木😢😢,2026-06-05T09:39:33Z,0
@sonny99123,如果 John Wick 是個擁有超能力的年輕女孩~~~,2026-06-03T22:37:42Z,0
@powerkaifu,其實可以繼續拍閃電俠啦，先拍個三集我支持,2026-06-03T19:25:52Z,2
@tonyelmanify,阿薛總算能當主角了......,2026-06-03T19:29:26Z,11
@eatplaymrq,"我對語言跟文字還蠻寬容的，但是""最燃暑假""我真的不行🙄",2026-06-05T04:15:06Z,1
@蔡琳琳-j6x,好奇詢問一下，超人的力量是來自太陽系的這顆黃色太陽，遠離後，來到其他星系，還會有超能力嗎？,2026-06-03T17:24:50Z,0
@ronnie14715,0:47 這戰鬥場面，讓我覺得超少女會被打死~~,2026-06-03T17:52:40Z,0
@臭老頭-i4t,好老的臉，身材一點都不會讓人有遐想，跟之前的挨打超人一樣，真是優質電影，但我不會去電影院支持,2026-06-04T04:24:30Z,3
@gbaxbox,"挖哩，閃電俠裡的超少女跟服裝好多了，這版本是找演超人的嬸嬸嗎  🤒
挑選的對手有夠雜魚，和正統DC宇宙的大魔王相比有夠弱的",2026-06-04T02:01:26Z,5
@chean05071,傑森·摩莫亞的暴狼也太帥了吧,2026-06-09T04:08:06Z,0
@yeeee-i9f,超人電影早就爛掉了，從剛開始的超人出現設定就是無敵，現在要出什麼反派都超無感，不像漫威的薩諾斯真的給人喘不過氣的壓迫感。,2026-06-07T04:32:07Z,1
@IndustryWinterSoldier,三小爛片,2026-06-04T12:52:15Z,4
@Ggdjdjdjhd,嗯。。,2026-06-05T07:00:28Z,0
@ChiChingchiu,好萊塢DEI代表作之一,2026-06-04T03:09:56Z,2
@Scyfish511WholeFamilyOwnedByMe,DEI審美，勸退👋🏻👋🏻,2026-06-04T02:52:45Z,4
@山茲木,中二的感覺不見了😂,2026-06-03T23:37:04Z,0
@lsrchen,"眼睛會射光線 , 那為何還要出拳腳?????",2026-06-05T08:08:14Z,1
@za0613,漫威電影蜘蛛人4 復聯5都把都怕劇透 預告都搞得很神秘.  但超少女看完預告片 等於把劇情都講光.,2026-06-03T17:52:40Z,0
@Nerve5289-e8g,劇情感覺很混亂，而且有種太科幻的樣子。影集的傻白甜形象也沒有不好，一定要弄成girl boss 嗎?,2026-06-03T17:28:53Z,3
@weihungliu9667,超級賽亞人大拍賣,2026-06-03T21:11:42Z,0
@tom-n6h7m,感覺是個爛片💩,2026-06-04T04:09:12Z,3
@WTF-y2v,"感覺上應該會比上一部""超人""好看。",2026-06-03T17:28:06Z,1
@abin0606,玩具總動員阿薛！？🤨,2026-06-05T14:43:12Z,0
@SJZhan,唯一可慶的是SG沒變黑人來演....,2026-06-06T05:17:51Z,0
@XCSIM,主演：阿薛,2026-06-04T04:46:04Z,0
@tentenchichi1,超少女...跟奧少年有夢幻連動嗎?,2026-06-05T01:05:40Z,0
@onizuka500,看完先猜留言區一定一堆唱衰仔,2026-06-03T16:31:34Z,26
@too-too-too,米利 艾考克 長的有點像剛出道的艾薇兒,2026-06-05T00:10:39Z,0
@kaihuang497,雖然最愛Melissa Benoist的Supergirl....這個有大螢幕還是會進去看,2026-06-05T14:26:57Z,0
@阿峻-t9p,這反派是水行俠飾演的嗎？,2026-06-06T18:08:49Z,0
@lxotu5330,我只想跟表妹  ...,2026-06-05T20:41:04Z,0
@aliancheong7769,那个头好像没洗那样,2026-06-04T10:52:56Z,0
@jarvanyu241,看上去有點爛,2026-06-03T18:45:19Z,3
@阿冠-q2x,拉完了 DC的電影完全不會想看了 浪費錢拍這些幹嘛,2026-06-05T00:11:18Z,2
@James_Chen,堂弟吧⋯⋯,2026-06-04T12:36:42Z,0
@superwu6392,背景音樂是哪一首???,2026-06-03T17:02:32Z,0
@deathis13,"小狗祭天法力無邊（X
什麼不好殺去動人家小狗😅",2026-06-03T18:06:08Z,0
@nataliepower0708,其實我覺得Milly Alcock長得蠻可愛的呀～至少我喜歡這樣有點酷酷的女孩子。,2026-06-05T20:21:11Z,0
@放進去就好-i8x,爛戲,2026-06-04T20:35:36Z,3
@TaiwaNo.1,動保女超人,2026-06-08T13:22:33Z,0
@keroroer,超少男？,2026-06-04T05:16:55Z,1
@minrueiguo2891,星際異攻隊的影子,2026-06-06T01:49:25Z,0
@richardhsu1370,預告連個大場面都沒有?,2026-06-04T01:12:39Z,1
@達利翹鬍是誰給他的思,很满满的银河守护者风格，但也是可以接受的,2026-06-05T03:36:05Z,0
@李唯唯-t2e,阿薛😂,2026-06-03T17:36:26Z,13
@RRRN2121,DC的都是預告拍得好看，實際就....,2026-06-05T18:35:14Z,0
@yxuen3051,看起來很爽欸,2026-06-03T17:18:45Z,13
@amuro7610,還是等蜘蛛人好了,2026-06-04T05:33:49Z,0
@dkh6392,色彩很鮮豔就是好人嗎XD? 現實世界可不是這樣,2026-06-04T03:21:18Z,0
@Mads-k3x,不好看,2026-06-04T00:58:11Z,3
@jih4188,愛狗聯盟又多了一位強大戰力～,2026-06-05T18:21:50Z,0
@Hardeleiar,"一开始我记得公布 supergirl 的选角时好像有点声音，主要是演员的形象没以往的 supergirl 的样子：比较单纯兼正向。
然后我看到预告片后就不得不说：啊，选得真贴切，就是要这种杀光坏人的正义才够真实。",2026-06-04T11:46:16Z,0
@mo_1019,"水行俠前傳??   還是我看錯?  1:00  在整點的時候~~~~

還是水行俠前輩子???!  祖先??",2026-06-03T17:21:24Z,0
@jjjhoh705,感覺劇情預告就講完了,2026-06-03T17:03:19Z,6
@JiaJun_yt,滿滿的崗恩味....沒了,2026-06-04T05:40:28Z,0
@PiPiCatStudio,烂片,2026-06-03T23:43:21Z,2
@明河minghe,这风格让我回想起了justice league的院线版，就一坨,2026-06-04T11:38:23Z,0
@k945huang,至少膚色還是白的...😂😂😂,2026-06-03T23:30:55Z,0
@LIUPPOT,又要拉了,2026-06-04T02:16:53Z,3
@СтефанияБеляк,Привет Россия Сша ❤❤❤❤❤❤❤❤❤,2026-06-03T18:30:50Z,0
@johncook-t6y,"很那悶為何不找flash 裡 飾演超女那位     那位顏質明顯高出許多   
不管劇情如何,  至少女主顏質能讓大眾認為起碼值回票價",2026-06-09T00:21:17Z,0
@肚肚怪怪der,長得好像黑相集的小女孩😂,2026-06-04T08:05:54Z,0
@markyaya123,沒興趣,2026-06-04T05:50:18Z,2
@jpjj9588,個樣已經唔得㗎啦個波仲要執到咁假,2026-06-03T18:51:23Z,0
@look4zheng,"看半天
看不清楚她的臉",2026-06-03T21:10:57Z,1
@ken77725,"為何氪星人需要跟雜魚肉搏？
蝙蝠俠也是用了氪石才能跟超人勢均力敵，還是這部每個雜魚都有氪星人這麼強嗎？
感覺像是換皮星際異攻隊，完全不會想看...",2026-06-06T14:13:10Z,1
@DboyBlade,不太行，和影集版的完全沒法比,2026-06-08T01:11:37Z,0
@kevinke6612,星際義工女超人？,2026-06-04T06:51:23Z,0
@傑森魚,關於是堂弟還是堂哥，官方其實已經有答案了 https://www.youtube.com/watch?v=s9s-m1wIyt0,2026-06-06T02:29:40Z,0
@yun1421,為什麼不是影集版的來演，可愛多了,2026-06-04T00:15:48Z,7
@coinday888,她爸是祖國人嗎？,2026-06-05T11:32:55Z,0
@winzz12345,你們看就好，反正我不會看,2026-06-03T17:38:11Z,11
@王动-r6c,"讨厌这版SG，包括演员、角色和故事设定，全都讨厌！！演员太丑，角色个性不讨喜，故事风格跟超人也太雷同，超不喜欢！！
SG只是比超人早出生，但实际生理和心理年龄都比超人年幼得多，应该以校园青春为故事主调，跟超人以拯救世界为主调的故事拉开差距
而且传统SG的个性标签虽然也是叛逆期，但最主要的是对超人的崇拜，这版从超人片尾来看恐怕是以叛逆为主，未必有崇拜，单纯的叛逆性格真的很不讨喜，这里面恐怕有DEI的成分！
最关键的是，这演员也太TM丑了！！！史上最丑SG！！！说没有DEI成分你信吗？？",2026-06-05T00:08:32Z,1
@胡柏薰,超人放屁會怎麼樣嗎?,2026-06-06T14:27:36Z,0
@Gbear1989,哎…不是端出女英雄票房就會比較好…,2026-06-06T16:32:00Z,0
@Peculiar音樂,這種漫威式電影已經不吸引人了，等HBO就好！,2026-06-04T08:47:26Z,1
