Rank,Video_ID,Title,Channel,Category,Upload_Time,Duration,View_Count,Like_Count,Comment_Count
1,x3eqqoZPV_E,BABYMONSTER - '춤 (CHOOM)' M/V,BABYMONSTER,Music,2026-05-04T09:21:33Z,00:03:25,46890122,1050820,73589
2,Qb-N2obH5Os,《STRANGER THAN HEAVEN》發表第一支預告片,SEGAasia,Gaming,2026-05-07T00:09:01Z,00:04:58,95144,4087,474
3,GPjVI7kpIbw,[中文] T1 vs DNS | KRX vs GEN | 2026 LCK,LCK-Carry,Gaming,2026-05-08T12:40:01Z,04:33:33,362833,1235,25
4,iJZzZh91wXw,停顿的钟 R&B完整版,凯文-Kevin - Topic,Music,2026-05-05T22:35:04Z,00:03:14,108572,1111,0
5,oYhaW-Vr4wg,Forza Horizon 6 – Official Launch Trailer,Forza,Gaming,2026-05-08T15:00:16Z,00:01:36,1040686,71027,3835
6,4mCyzzMlXY0,我在ROBLOX的+1跳躍進化塔裡進化成最搞笑的動物！,Yuan2020,Gaming,2026-05-10T05:09:53Z,00:12:28,78333,2058,86
7,F0UIsSnotlA,"HAN ""back to life"" | [Stray Kids : SKZ-PLAYER]",Stray Kids,Music,2026-05-08T15:00:02Z,00:04:20,1868125,399953,33539
8,ecbfKVwM508,【奧德賽】最新預告 - 17.07.26 全台戲院見,環球影片 官方頻道,Film & Animation,2026-05-05T05:09:27Z,00:02:26,266498,2662,280
9,aslmbRhOBjI,【有感筆電】我討厭腦腐.. 不要再tung tung tung sahur了!!【Roblox I HATE BRAINROT 全破】,有感筆電 Daptoper,Gaming,2026-05-08T10:00:05Z,00:15:13,259554,8591,752
10,kRpaqR5sbf0,CORTIS (코르티스) 'TNT' Official MV,HYBE LABELS,Music,2026-05-04T08:58:06Z,00:03:04,4241151,480547,25889
11,MoyAio-MUZU,《紙房子》全新篇章持續發酵 | 正式預告 | Netflix,Netflix Taiwan,Entertainment,2026-05-09T20:28:32Z,00:01:05,10759,175,16
12,-T-2kLRJ-PI,我第一個拿到200萬YouTuber Cruz的專屬吊飾 (Rivals 競爭者),SlingshotBwai 中文頻道,Gaming,2026-05-09T10:00:01Z,00:14:22,85462,2862,326
13,XHtO7as5v0I,IVE - BANG BANG | Live from Vevo Studios,IVEVEVO,Music,2026-05-06T16:01:01Z,00:03:03,871619,51234,1823
14,s_CAEbrvKjc,我被機長黃瓜威脅了? 機長黃瓜開掛事件落幕 | 霜淇淋,霜淇淋的遊戲時間 Berd Lo,Gaming,2026-05-10T04:00:33Z,00:03:01,38790,1477,334
15,SCySL2FKuCc,Blue Lips,CORTIS - Topic,Music,2026-05-04T09:00:40Z,00:02:22,1740641,100395,4668
