日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1150415,00400A,主動國泰動能高息,70919272.0,821589813.0,11.42,11.67,11.42,11.56,0.27,14076.0
1150415,00401A,主動摩根台灣鑫收,21165549.0,233825210.0,10.96,11.11,10.95,11.03,0.17,2791.0
1150415,0050,元大台灣50,127729350.0,10793181456.0,84.1,85.1,83.8,84.15,1.05,122459.0
1150415,0051,元大中型100,102283.0,12108402.0,118.3,118.85,117.85,118.5,1.25,669.0
1150415,0052,富邦科技,45864087.0,2304704286.0,50.0,50.65,49.8,50.2,0.87,26096.0
1150415,0053,元大電子,24103.0,4616394.0,191.5,192.3,190.5,190.5,2.2,254.0
1150415,0055,元大MSCI金融,429827.0,14303022.0,33.11,33.37,33.11,33.3,0.19,382.0
1150415,0056,元大高股息,81974850.0,3310004758.0,40.22,40.55,40.21,40.25,0.28,40543.0
1150415,0057,富邦摩台,34073.0,8545946.0,250.65,252.25,249.5,249.5,2.9,159.0
1150415,0061,元大寶滬深,248306.0,5997329.0,24.05,24.24,24.05,24.13,0.13,193.0
1150415,006203,元大MSCI台灣,6674.0,1028276.0,153.8,154.6,153.8,154.0,2.7,119.0
1150415,006204,永豐臺灣加權,6001.0,1108543.0,185.65,185.65,184.05,184.1,1.35,108.0
1150415,006205,富邦上証,556748.0,22551599.0,40.2,40.65,40.2,40.38,0.36,406.0
1150415,006206,元大上證50,115884.0,4320623.0,36.87,37.37,36.87,37.27,0.45,143.0
1150415,006207,復華滬深,140602.0,4554102.0,32.26,32.5,32.26,32.33,0.31,69.0
1150415,006208,富邦台50,4846100.0,948057454.0,194.2,197.0,194.0,195.05,3.0,11397.0
1150415,00625K,富邦上証+R,,,,,,,0.0,
1150415,00631L,元大台灣50正2,269676043.0,6887945170.0,25.54,25.84,25.25,25.33,0.5,62709.0
1150415,00632R,元大台灣50反1,106703379.0,1358041873.0,12.76,12.8,12.65,12.78,-0.11,15231.0
1150415,00633L,富邦上証正2,4940028.0,248568401.0,50.05,50.55,50.05,50.2,1.33,860.0
1150415,00634R,富邦上証反1,891921.0,2797689.0,3.17,3.17,3.13,3.15,-0.04,36.0
1150415,00635U,期元大S&P黃金,6762825.0,344438658.0,50.85,51.3,50.75,50.85,0.7,7032.0
1150415,00636,國泰中國A50,1186601.0,33277361.0,27.82,28.13,27.82,28.0,0.33,536.0
1150415,00636K,國泰中國A50+U,300.0,2653.0,8.84,8.85,8.84,8.85,0.02,3.0
1150415,00637L,元大滬深300正2,29168158.0,605592600.0,20.65,20.87,20.65,20.69,0.51,3898.0
1150415,00638R,元大滬深300反1,303262.0,2044877.0,6.8,6.8,6.73,6.76,-0.1,46.0
1150415,00639,富邦深100,911078.0,15193377.0,16.69,16.81,16.57,16.59,0.09,486.0
1150415,00640L,富邦日本正2,454004.0,42650843.0,94.4,94.5,93.5,93.5,0.7,221.0
1150415,00641R,富邦日本反1,1046728.0,4204687.0,4.01,4.04,4.0,4.03,-0.01,77.0
1150415,00642U,期元大S&P石油,21382766.0,569686456.0,26.54,26.9,26.39,26.83,-0.82,7320.0
1150415,00643,群益深証中小,1855717.0,34994186.0,18.98,19.05,18.79,18.85,0.07,322.0
1150415,00643K,群益深証中小+R,,,,,,,0.0,
1150415,00645,富邦日本,282617.0,15026254.0,53.25,53.45,53.0,53.05,0.25,354.0
1150415,00646,元大S&P500,3077985.0,213123096.0,68.9,69.35,68.9,69.25,0.75,3371.0
1150415,00647L,元大S&P500正2,90903.0,10700645.0,117.5,117.9,117.35,117.35,2.35,195.0
1150415,00648R,元大S&P500反1,1242212.0,5324491.0,4.3,4.3,4.28,4.3,-0.04,116.0
1150415,00650L,復華香港正2,5912833.0,105290729.0,17.82,17.91,17.62,17.62,0.38,929.0
1150415,00651R,復華香港反1,858449.0,4436364.0,5.21,5.21,5.15,5.18,-0.09,56.0
